arm,query_id,doc_id,difficulty,gold_pages,predicted_pages_top3,hit3,strict_correct,quote_support,failure_mode,extracted_answer,cited_pages,cited_spans,context_chars_used,latency_ms,table_query,financial_table_query,violations
baseline,Q_2021_FIN_01,Grampian-2020-2021,MOD,[28],"[28, 29]",1,1,1,strict_correct,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4362,7193.478,1,0,
baseline,Q_2021_FIN_02,Grampian-2020-2021,MOD,[28],"[28, 29]",1,1,1,strict_correct,"1,278,002",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4362,3916.725,1,0,
baseline,Q_2021_FIN_03,Grampian-2020-2021,MOD,[28],"[28, 89]",1,1,1,strict_correct,769,[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4304,3613.653,1,0,
baseline,Q_2021_FIN_P1,Grampian-2020-2021,MOD,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5258.889,1,0,parse_or_generation_error
baseline,Q_2021_FIN_04,Grampian-2020-2021,MOD,[28],"[28, 34]",1,1,1,strict_correct,"1,298,124",[28],"[""Cash Requirement 1,298,124 1,298,124 -""]",4300,3886.62,1,0,
baseline,Q_2021_FIN_05,Grampian-2020-2021,LEX,[28],"[28, 89]",1,0,0,did_not_identify_gold,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4304,3970.347,1,0,
baseline,Q_2021_FIN_06,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"42,246",[28],"[""Core Capital Resource Limit 42,246 42,246 -""]",4304,3823.008,1,0,
baseline,Q_2021_FIN_P2,Grampian-2020-2021,STR,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5482.124,1,0,parse_or_generation_error
baseline,Q_2021_CAP_P1,Grampian-2020-2021,MOD,[28],"[28, 29]",1,1,1,strict_correct,"43,316",[28],"[""Core Capital Resource Limit 42,246 42,246 - Non-Core Capital Resource Limit 1,070 1,070 - Total 43,316 43,316 -""]",4362,4764.623,1,0,
baseline,Q_2021_GOV_03,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"32,340",[28],"[""Non-Core Revenue Resource Limit 32,340 32,340 -""]",4304,3877.624,1,0,
baseline,Q_2021_GOV_04,Grampian-2020-2021,LEX,[23],"[88, 114]",0,0,0,did_not_identify_gold,,[],[],3994,3787.052,1,0,
baseline,Q_2022_FIN_01,Grampian-2021-2022,STR,[21],"[12, 21, 22]",1,0,0,did_not_identify_gold,,[],[],4254,3247.015,1,0,
baseline,Q_2022_FIN_02,Grampian-2021-2022,MOD,[21],"[21, 22]",1,1,1,strict_correct,"1,357,936",[21],"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",4302,4329.389,1,0,
baseline,Q_2022_FIN_03,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,130,[21],"[""Core Revenue Resource Variance Surplus in 2021/22 130""]",4302,4068.002,1,0,
baseline,Q_2022_FIN_04,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"1,434,610",[21],"[""Cash Requirement 1,434,610 1,434,610 -""]",4302,4141.687,1,0,
baseline,Q_2022_FIN_05,Grampian-2021-2022,LEX,[21],"[21, 22]",1,0,0,did_not_identify_gold,"1,358,066",[21],"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",4302,4263.269,1,0,
