doc_id,query_id,difficulty,hit_at_3,answer_correct,generation_status,answer_status
Grampian-2020-2021,Q_2021_GOV_03,LEX,1,0,ok,partial
Grampian-2020-2021,Q_2021_CAP_02,LEX,1,0,insufficient_evidence,incorrect
Grampian-2020-2021,Q_2021_IJB_03,LEX,1,1,ok,correct
Grampian-2020-2021,Q_2021_SAV_P2,MOD,1,0,ok,partial
Grampian-2020-2021,Q_2021_GOV_01,STR,1,0,ok,partial
Grampian-2020-2021,Q_2021_IJB_06,LEX,1,0,insufficient_evidence,incorrect
Grampian-2020-2021,Q_2021_COV_03,LEX,1,1,ok,correct
Grampian-2021-2022,Q_2022_GOV_P1,STR,1,0,ok,partial
Grampian-2021-2022,Q_2022_SAV_P2,MOD,1,0,ok,partial
Grampian-2021-2022,Q_2022_IJB_05,LEX,1,0,insufficient_evidence,incorrect
Grampian-2021-2022,Q_2022_FIN_01,STR,1,0,insufficient_evidence,incorrect
Grampian-2021-2022,Q_2022_STR_04,STR,1,0,insufficient_evidence,incorrect
Grampian-2021-2022,Q_2022_AE_P1,MOD,1,0,ok,partial
Grampian-2021-2022,Q_2022_IJB_02,LEX,1,0,insufficient_evidence,incorrect
Grampian-2021-2022,Q_2022_GOPES_01,STR,1,0,ok,partial
Grampian-2022-2023,Q_2023_FIN_15,LEX,1,0,insufficient_evidence,incorrect
Grampian-2022-2023,Q_2023_FIN_P2,MOD,1,0,ok,partial
Grampian-2022-2023,Q_2023_FIN_02,LEX,1,0,ok,partial
Grampian-2022-2023,Q_2023_FIN_09,LEX,1,0,insufficient_evidence,incorrect
Grampian-2022-2023,Q_2023_FIN_04,MOD,1,0,ok,partial
Grampian-2023-2024,Q_2024_DEL_01,LEX,1,0,ok,partial
Grampian-2023-2024,Q_2024_ESC_03,MOD,1,0,ok,partial
Grampian-2023-2024,Q_2024_FIN_12,MOD,1,1,ok,correct
Grampian-2023-2024,Q_2024_DEL_03,LEX,1,0,ok,partial
Grampian-2023-2024,Q_2024_GOV_04,LEX,1,0,insufficient_evidence,incorrect
Grampian-2023-2024,Q_2024_FIN_06,STR,1,0,insufficient_evidence,incorrect
Grampian-2023-2024,Q_2024_IJB_03,LEX,1,1,ok,correct
Grampian-2023-2024,Q_2024_FIN_01,LEX,1,0,ok,incorrect
Grampian-2023-2024,Q_2024_FIN_02,STR,1,0,insufficient_evidence,incorrect
Grampian-2024-2025,Q_2025_FIN_02,MOD,1,0,insufficient_evidence,incorrect
Grampian-2024-2025,Q_2025_FIN_P3,STR,1,0,ok,partial
Grampian-2024-2025,Q_2025_FIN_06,STR,1,0,insufficient_evidence,incorrect
Grampian-2024-2025,Q_2025_FIN_09,LEX,1,0,ok,partial
Grampian-2024-2025,Q_2025_FIN_10,STR,1,0,insufficient_evidence,incorrect
Grampian-2024-2025,Q_2025_AE_P1,MOD,1,0,ok,partial
Grampian-2024-2025,Q_2025_PLAN_01,STR,1,0,ok,partial
Grampian-2024-2025,Q_2025_STR_01,LEX,1,0,ok,partial
Grampian-2024-2025,Q_2025_IJB_04,LEX,1,0,insufficient_evidence,incorrect
Grampian-2024-2025,Q_2025_DEL_03,LEX,1,0,insufficient_evidence,incorrect
