query_id,hit_at_1_a,hit_at_1_b,delta_hit_at_1_a_minus_b,hit_at_3_a,hit_at_3_b,delta_hit_at_3_a_minus_b,mrr_a,mrr_b,delta_mrr_a_minus_b
Q_2023_AE_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_AE_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_AE_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_AE_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_AE_07,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0
Q_2023_AE_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_AE_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_COV_01,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0
Q_2023_COV_02,0.0,1.0,-1.0,1.0,1.0,0.0,0.5,1.0,-0.5
Q_2023_DEL_01,0.0,0.0,0.0,0.0,1.0,-1.0,0.25,0.5,-0.25
Q_2023_DEL_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_DEL_P1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Q_2023_FIN_01,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Q_2023_FIN_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_FIN_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_FIN_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_FIN_05,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
Q_2023_FIN_06,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_FIN_07,0.0,1.0,-1.0,0.0,1.0,-1.0,0.25,1.0,-0.75
Q_2023_FIN_08,0.0,1.0,-1.0,1.0,1.0,0.0,0.3333333333333333,1.0,-0.6666666666666667
Q_2023_FIN_09,0.0,1.0,-1.0,0.0,1.0,-1.0,0.16666666666666666,1.0,-0.8333333333333334
Q_2023_FIN_10,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0
Q_2023_FIN_11,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_FIN_14,0.0,1.0,-1.0,0.0,1.0,-1.0,0.2,1.0,-0.8
Q_2023_FIN_15,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666667
Q_2023_FIN_16,0.0,0.0,0.0,0.0,1.0,-1.0,0.16666666666666666,0.3333333333333333,-0.16666666666666666
Q_2023_FIN_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_FIN_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_GOV_01,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Q_2023_GOV_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_GOV_03,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1111111111111111,0.0888888888888889
Q_2023_GOV_05,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Q_2023_GOV_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_IJB_01,0.0,0.0,0.0,0.0,1.0,-1.0,0.1111111111111111,0.5,-0.3888888888888889
Q_2023_IJB_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_IJB_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_IJB_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_IJB_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_2023_IJB_06,0.0,1.0,-1.0,1.0,1.0,0.0,0.5,1.0,-0.5
Q_2023_IJB_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_2023_IJB_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_IJB_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_PLAN_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_PLAN_02,0.0,1.0,-1.0,1.0,1.0,0.0,0.5,1.0,-0.5
Q_2023_SAV_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_SAV_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_SAV_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_SAV_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_SAV_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2023_SAV_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
