doc_id,query_id,hit3_base,pred_pages_base,hit3_var,pred_pages_var,delta
Grampian-2020-2021,Q_2021_FIN_01,1,"[28, 29]",1,"[28, 29]",0
Grampian-2020-2021,Q_2021_FIN_02,1,"[28, 29]",1,"[28, 29]",0
Grampian-2020-2021,Q_2021_FIN_03,1,"[28, 89]",1,"[28, 105]",0
Grampian-2020-2021,Q_2021_FIN_P1,1,"[28, 89]",1,"[28, 105]",0
Grampian-2020-2021,Q_2021_FIN_04,1,"[28, 34]",1,"[28, 34, 84]",0
Grampian-2020-2021,Q_2021_FIN_05,1,"[28, 89]",1,"[28, 115]",0
Grampian-2020-2021,Q_2021_FIN_06,1,"[28, 89]",1,"[28, 115]",0
Grampian-2020-2021,Q_2021_FIN_07,1,"[27, 28]",1,"[28, 105, 115]",0
Grampian-2020-2021,Q_2021_FIN_P2,1,"[28, 89]",1,"[28, 89]",0
Grampian-2020-2021,Q_2021_SAV_01,1,[29],1,"[29, 40]",0
Grampian-2020-2021,Q_2021_SAV_02,0,"[34, 127]",0,"[34, 68]",0
Grampian-2020-2021,Q_2021_SAV_03,1,"[27, 28, 29]",1,"[28, 29]",0
Grampian-2020-2021,Q_2021_SAV_04,1,[29],1,[29],0
Grampian-2020-2021,Q_2021_SAV_P1,1,[29],1,[29],0
Grampian-2020-2021,Q_2021_COV_01,1,"[28, 29]",1,"[28, 29]",0
Grampian-2020-2021,Q_2021_COV_02,0,[30],0,[30],0
Grampian-2020-2021,Q_2021_COV_P1,1,"[7, 24, 28]",0,"[7, 14, 24]",-1
Grampian-2020-2021,Q_2021_IJB_01,0,"[80, 82, 132]",0,"[80, 132]",0
Grampian-2020-2021,Q_2021_IJB_02,1,"[26, 27, 132]",1,"[26, 27, 132]",0
Grampian-2020-2021,Q_2021_IJB_03,1,"[27, 34, 82]",1,"[27, 34, 82]",0
Grampian-2020-2021,Q_2021_IJB_04,1,"[27, 132]",1,"[27, 132]",0
Grampian-2020-2021,Q_2021_IJB_05,1,"[23, 27, 28]",1,"[23, 27, 28]",0
Grampian-2020-2021,Q_2021_IJB_06,1,"[26, 27]",1,"[26, 27]",0
Grampian-2020-2021,Q_2021_IJB_P1,0,"[28, 30]",0,"[6, 28]",0
Grampian-2020-2021,Q_2021_GOV_01,1,"[7, 28]",1,"[7, 28]",0
Grampian-2020-2021,Q_2021_GOV_02,1,"[28, 31]",1,"[28, 31]",0
