k,doc_id,query_id,difficulty,generation_status,answer_correct,answer_status,latency_ms,context_chunks_used,context_chars_used,context_truncated
1,Grampian-2020-2021,Q_2021_GOV_03,LEX,ok,False,partial,5512.463,1,1471,False
1,Grampian-2020-2021,Q_2021_CAP_02,LEX,insufficient_evidence,False,incorrect,1259.328,1,1485,False
1,Grampian-2020-2021,Q_2021_IJB_07,LEX,insufficient_evidence,False,incorrect,722.234,1,495,False
1,Grampian-2020-2021,Q_2021_IJB_03,LEX,ok,True,correct,1688.161,1,772,False
1,Grampian-2020-2021,Q_2021_IJB_01,MOD,insufficient_evidence,False,incorrect,2775.088,1,2255,False
1,Grampian-2020-2021,Q_2021_SAV_P2,MOD,ok,False,partial,2807.949,1,1463,False
1,Grampian-2020-2021,Q_2021_GOV_01,STR,ok,False,partial,2643.48,1,1424,False
1,Grampian-2020-2021,Q_2021_IJB_06,LEX,insufficient_evidence,False,incorrect,985.758,1,772,False
1,Grampian-2020-2021,Q_2021_IJB_P1,STR,insufficient_evidence,False,incorrect,1456.17,1,1471,False
1,Grampian-2020-2021,Q_2021_COV_03,LEX,ok,True,correct,2744.551,1,1485,False
1,Grampian-2021-2022,Q_2022_GOV_P1,STR,ok,False,partial,2475.635,1,1416,False
1,Grampian-2021-2022,Q_2022_SAV_P2,MOD,ok,False,partial,3565.275,1,1433,False
1,Grampian-2021-2022,Q_2022_IJB_05,LEX,insufficient_evidence,False,incorrect,1159.394,1,1057,False
1,Grampian-2021-2022,Q_2022_FIN_01,STR,insufficient_evidence,False,incorrect,1520.134,1,1429,False
1,Grampian-2021-2022,Q_2022_STR_04,STR,insufficient_evidence,False,incorrect,1242.262,1,1319,False
1,Grampian-2021-2022,Q_2022_AE_P1,MOD,ok,False,partial,1852.879,1,1318,False
1,Grampian-2021-2022,Q_2022_IJB_02,LEX,insufficient_evidence,False,incorrect,889.357,1,451,False
1,Grampian-2021-2022,Q_2022_GOPES_01,STR,ok,False,partial,3471.024,1,1434,False
1,Grampian-2021-2022,Q_2022_FIN_08,LEX,insufficient_evidence,False,incorrect,1358.44,1,1484,False
1,Grampian-2021-2022,Q_2022_FIN_P2,MOD,ok,False,partial,2720.745,1,1443,False
1,Grampian-2022-2023,Q_2023_FIN_15,LEX,ok,False,incorrect,3019.376,1,1446,False
1,Grampian-2022-2023,Q_2023_FIN_14,LEX,ok,False,incorrect,2334.593,1,1446,False
1,Grampian-2022-2023,Q_2023_FIN_P2,MOD,ok,False,partial,2311.267,1,1422,False
1,Grampian-2022-2023,Q_2023_FIN_02,LEX,ok,False,partial,2268.247,1,767,False
1,Grampian-2022-2023,Q_2023_FIN_16,LEX,ok,False,incorrect,2974.324,1,1446,False
1,Grampian-2022-2023,Q_2023_FIN_07,STR,insufficient_evidence,False,incorrect,1632.496,1,1391,False
1,Grampian-2022-2023,Q_2023_FIN_10,LEX,insufficient_evidence,False,incorrect,1000.981,1,747,False
1,Grampian-2022-2023,Q_2023_IJB_07,LEX,insufficient_evidence,False,incorrect,679.824,1,186,False
1,Grampian-2022-2023,Q_2023_FIN_09,LEX,ok,False,incorrect,2340.563,1,1446,False
1,Grampian-2022-2023,Q_2023_FIN_04,MOD,insufficient_evidence,False,incorrect,1315.651,1,1475,False
1,Grampian-2023-2024,Q_2024_DEL_01,LEX,insufficient_evidence,False,incorrect,992.853,1,823,False
1,Grampian-2023-2024,Q_2024_ESC_03,MOD,ok,False,partial,2387.789,1,1415,False
