doc_id,query_id,difficulty,question,answer_type,expected_answer
Grampian-2020-2021,Q_2021_STR_04,LEX,How many remobilisation plans did NHS Grampian develop in response to COVID-19?,text,"Three separate remobilisation plans (May 2020, July 2020 and February 2021)"
Grampian-2020-2021,Q_2021_FIN_02,MOD,How much did NHS Grampian actually spend against its core resource budget in 2020/21?,number,"£1,278,002 (£000)"
Grampian-2020-2021,Q_2021_FIN_P2,STR,How did NHS Grampian's total cash financing requirement compare to the limit set by the Scottish Government in 2020/21?,text,"NHS Grampian met the Cash Requirement exactly at £1,298,124 with no variance"
Grampian-2021-2022,Q_2022_FIN_04,LEX,What was the Cash Requirement limit for NHS Grampian in 2021/22?,number,"£1,434,610 (£000)"
Grampian-2021-2022,Q_2022_SAV_03,MOD,What proportion of the 2021/22 savings were classified as recurring?,number,£1.0 million
Grampian-2021-2022,Q_2022_IJB_01,STR,What was the overall financial outcome for Aberdeen City's integrated health and social care partnership in 2021/22?,number,£33.156 million
Grampian-2022-2023,Q_2023_DEL_02,LEX,How many days were patients spending in hospital due to delayed discharge in Grampian in March 2023?,number,"2,575 days"
Grampian-2022-2023,Q_2023_DEL_01,MOD,How many patients at the March 2023 census were waiting longer than the standard threshold before discharge from hospital?,number,72 patients (70 delayed more than 3 days)
Grampian-2022-2023,Q_2023_PLAN_02,STR,What value and sustainability programme was initiated in 2022/23?,text,A local value and sustainability programme to develop and deliver short-term efficiency savings and longer-term sustainable services and pathways of care
Grampian-2023-2024,Q_2024_SAV_01,LEX,What efficiency savings did NHS Grampian achieve in 2023/24 against its target?,number,£17.52 million achieved against a target of £16.51 million
Grampian-2023-2024,Q_2024_AE_04,MOD,How did the number of patients waiting over 12 hours in A&E change between March 2023 and March 2024?,number,Increased from 250 to 370 patients
Grampian-2023-2024,Q_2024_IJB_08,STR,How did the Aberdeen City IJB's earmarked reserves change between 2022/23 and 2023/24?,number,Earmarked reserves fell from £24.646 million in 2022/23 to £7.334 million in 2023/24
Grampian-2024-2025,Q_2025_FIN_07,LEX,How much repayable brokerage was provided by the Scottish Government in 2024/25?,number,"£65,200 (£000)"
Grampian-2024-2025,Q_2025_SAV_P1,MOD,What were the main sources of efficiency savings delivered in 2024/25?,text,"Agency spend including medical locum and nursing costs, hospital drug cost savings from switching to generic medicines, staff cost control including vacancy freeze and overtime reduction, procurement, increased catering charges"
Grampian-2024-2025,Q_2025_FIN_01,STR,What ceiling did the Scottish Government place on NHS Grampian's core operational spending for 2024/25?,number,"£1,559,285 (£000)"
