arm,query_id,doc_id,difficulty,gold_pages,predicted_pages_top3,hit3,strict_correct,quote_support,failure_mode,extracted_answer,cited_pages,cited_spans,context_chars_used,latency_ms,table_query,violations
two_stage,Q_2021_GOV_03,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"32,340",[28],"[""Non-Core Revenue Resource Limit 32,340 32,340 -""]",4304,4787.8,0,
two_stage,Q_2021_CAP_02,Grampian-2020-2021,LEX,[32],"[28, 32]",1,1,1,strict_correct,£43.316 million,[32],"[""capital funding from the SGHSCD (\u00a343.316 million, see note 7d)""]",4384,4879.05,0,
two_stage,Q_2021_IJB_07,Grampian-2020-2021,LEX,[31],"[17, 30, 132]",0,0,0,did_not_identify_gold,,[],[],3000,2823.79,0,
two_stage,Q_2021_IJB_03,Grampian-2020-2021,LEX,[27],"[27, 28, 34]",1,1,1,strict_correct,£20.449 million,[27],"[""Aberdeenshire IJB reported a surplus for the year of \u00a320.449 million (2019/20: deficit of \u00a31.288m) increasing the retained reserves carried forward to \u00a320.566 million (2019/20 \u00a30.117 million).""]",3648,5525.981,0,
two_stage,Q_2021_IJB_01,Grampian-2020-2021,MOD,[26],"[23, 88, 132]",0,0,0,did_not_identify_gold,,[],[],3279,4004.387,0,
two_stage,Q_2021_SAV_P2,Grampian-2020-2021,MOD,[29],[29],1,0,0,did_not_identify_gold,,[],[],4113,5889.148,0,parse_or_generation_error
two_stage,Q_2021_GOV_01,Grampian-2020-2021,STR,[28],"[7, 28]",1,0,0,did_not_identify_gold,,[],[],4318,6431.965,0,parse_or_generation_error
two_stage,Q_2021_IJB_06,Grampian-2020-2021,LEX,[27],"[26, 27]",1,0,0,did_not_identify_gold,,[],[],2106,2746.906,0,
two_stage,Q_2021_IJB_P1,Grampian-2020-2021,STR,[27],"[23, 28]",0,0,0,did_not_identify_gold,NHS Grampian,[28],"[""Recognising the exceptional nature of 2020-21 and the impact on delivery of financial plans, additional non- repayable funding was provided to support in-year financial balance across all NHS Boards. NHS Grampian received \u00a347.3m.""]",2551,4164.095,0,
two_stage,Q_2021_COV_03,Grampian-2020-2021,LEX,[30],"[30, 63]",1,0,0,did_not_identify_gold,,[],[],4257,5863.236,0,parse_or_generation_error
two_stage,Q_2022_GOV_P1,Grampian-2021-2022,STR,[31],"[31, 53]",1,0,0,did_not_identify_gold,,[],[],4027,5383.869,0,evidence_span_not_in_context
two_stage,Q_2022_SAV_P2,Grampian-2021-2022,MOD,[22],"[22, 28]",1,0,0,did_not_identify_gold,,[],[],4242,5927.278,0,parse_or_generation_error
two_stage,Q_2022_IJB_05,Grampian-2021-2022,LEX,[20],"[17, 20, 146]",1,1,1,strict_correct,£10.679 million,[20],"[""Moray IJB reported a surplus for the year of \u00a310.679 million (2020/21: \u00a36.155m) increasing the retained reserves carried forward to \u00a317.021 million (2020/21 \u00a36.342 million).""]",1772,4148.094,0,
two_stage,Q_2022_FIN_01,Grampian-2021-2022,STR,[21],"[12, 21, 22]",1,0,0,did_not_identify_gold,,[],[],4254,3799.111,0,
two_stage,Q_2022_STR_04,Grampian-2021-2022,STR,[15],"[15, 46]",1,0,0,did_not_identify_gold,,[],[],4038,5505.191,0,evidence_span_not_in_context
