query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_pages,route_intent,route_confidence,gold_exists,gold_chunk_count,gold_pages_found,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_18_FIN_01,FIN,18,1,1,number,Shetland-2017-2018,,[6],table_metric_financial_statements,0.8,True,3,[6],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[69],['Shetland-2017-2018:p0069_000'],['Shetland-2017-2018']
Q_18_FIN_01,FIN,18,1,3,number,Shetland-2017-2018,,[6],table_metric_financial_statements,0.8,True,3,[6],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,"[69, 29]","['Shetland-2017-2018:p0069_000', 'Shetland-2017-2018:p0069_001', 'Shetland-2017-2018:p0029_001']","['Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018']"
Q_18_FIN_01,FIN,18,1,5,number,Shetland-2017-2018,,[6],table_metric_financial_statements,0.8,True,3,[6],hit,0,0.0,[],1.0,0.25,0.25,1.0,0.2,0.2,"[69, 29, 46, 6]","['Shetland-2017-2018:p0069_000', 'Shetland-2017-2018:p0069_001', 'Shetland-2017-2018:p0029_001', 'Shetland-2017-2018:p0046_000', 'Shetland-2017-2018:p0006_002']","['Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018']"
Q_18_FIN_01,FIN,18,1,10,number,Shetland-2017-2018,,[6],table_metric_financial_statements,0.8,True,3,[6],hit,0,0.0,[],1.0,0.125,0.25,1.0,0.1,0.2,"[69, 29, 46, 6, 3, 40, 31, 8]","['Shetland-2017-2018:p0069_000', 'Shetland-2017-2018:p0069_001', 'Shetland-2017-2018:p0029_001', 'Shetland-2017-2018:p0046_000', 'Shetland-2017-2018:p0006_002']","['Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018']"
Q_18_FIN_03,FIN,18,3,1,number,Shetland-2017-2018,,[6],table_metric_financial_targets,0.85,True,3,[6],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[6],['Shetland-2017-2018:p0006_002'],['Shetland-2017-2018']
Q_18_FIN_03,FIN,18,3,3,number,Shetland-2017-2018,,[6],table_metric_financial_targets,0.85,True,3,[6],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[6, 3]","['Shetland-2017-2018:p0006_002', 'Shetland-2017-2018:p0006_001', 'Shetland-2017-2018:p0003_001']","['Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018']"
Q_18_FIN_03,FIN,18,3,5,number,Shetland-2017-2018,,[6],table_metric_financial_targets,0.85,True,3,[6],hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,"[6, 3, 46, 29]","['Shetland-2017-2018:p0006_002', 'Shetland-2017-2018:p0006_001', 'Shetland-2017-2018:p0003_001', 'Shetland-2017-2018:p0046_001', 'Shetland-2017-2018:p0029_001']","['Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018']"
Q_18_FIN_03,FIN,18,3,10,number,Shetland-2017-2018,,[6],table_metric_financial_targets,0.85,True,3,[6],hit,0,0.0,[],1.0,0.14285714285714285,1.0,1.0,0.2,1.0,"[6, 3, 46, 29, 56, 69, 4]","['Shetland-2017-2018:p0006_002', 'Shetland-2017-2018:p0006_001', 'Shetland-2017-2018:p0003_001', 'Shetland-2017-2018:p0046_001', 'Shetland-2017-2018:p0029_001']","['Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018']"
Q_18_FIN_04,FIN,18,4,1,number,Shetland-2017-2018,,[6],table_metric_financial_targets,0.85,True,3,[6],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[6],['Shetland-2017-2018:p0006_002'],['Shetland-2017-2018']
Q_18_FIN_04,FIN,18,4,3,number,Shetland-2017-2018,,[6],table_metric_financial_targets,0.85,True,3,[6],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[6, 3]","['Shetland-2017-2018:p0006_002', 'Shetland-2017-2018:p0006_001', 'Shetland-2017-2018:p0003_001']","['Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018']"
Q_18_FIN_04,FIN,18,4,5,number,Shetland-2017-2018,,[6],table_metric_financial_targets,0.85,True,3,[6],hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,"[6, 3, 8, 4]","['Shetland-2017-2018:p0006_002', 'Shetland-2017-2018:p0006_001', 'Shetland-2017-2018:p0003_001', 'Shetland-2017-2018:p0008_000', 'Shetland-2017-2018:p0004_000']","['Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018']"
Q_18_FIN_04,FIN,18,4,10,number,Shetland-2017-2018,,[6],table_metric_financial_targets,0.85,True,3,[6],hit,0,0.0,[],1.0,0.14285714285714285,1.0,1.0,0.2,1.0,"[6, 3, 8, 4, 46, 69, 31]","['Shetland-2017-2018:p0006_002', 'Shetland-2017-2018:p0006_001', 'Shetland-2017-2018:p0003_001', 'Shetland-2017-2018:p0008_000', 'Shetland-2017-2018:p0004_000']","['Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018']"
Q_18_FIN_06,FIN,18,6,1,number,Shetland-2017-2018,,[6],table_metric_financial_targets,0.85,True,3,[6],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[6],['Shetland-2017-2018:p0006_002'],['Shetland-2017-2018']
Q_18_FIN_06,FIN,18,6,3,number,Shetland-2017-2018,,[6],table_metric_financial_targets,0.85,True,3,[6],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[6, 46]","['Shetland-2017-2018:p0006_002', 'Shetland-2017-2018:p0006_001', 'Shetland-2017-2018:p0046_001']","['Shetland-2017-2018', 'Shetland-2017-2018', 'Shetland-2017-2018']"
