query_id,hit_at_1_a,hit_at_1_b,delta_hit_at_1_a_minus_b,hit_at_3_a,hit_at_3_b,delta_hit_at_3_a_minus_b,mrr_a,mrr_b,delta_mrr_a_minus_b
Q_2022_AE_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_AE_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_AE_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_AE_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_AE_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_AE_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_CAP_01,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0
Q_2022_CAP_02,0.0,1.0,-1.0,1.0,1.0,0.0,0.5,1.0,-0.5
Q_2022_CAP_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_CAP_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_COV_01,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
Q_2022_FIN_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_FIN_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_FIN_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_FIN_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_FIN_05,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_FIN_06,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_FIN_07,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_FIN_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666
Q_2022_FIN_09,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_FIN_12_P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_2022_FIN_P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666
Q_2022_FIN_P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25
Q_2022_GOPES_01,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.16666666666666669
Q_2022_GOV_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_GOV_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_GOV_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_GOV_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_2022_GOV_P1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.75
Q_2022_IJB_01,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.25,0.08333333333333331
Q_2022_IJB_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_IJB_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_IJB_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_IJB_05,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_IJB_06,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_IJB_07,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_IJB_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_IJB_P2,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.16666666666666666,0.33333333333333337
Q_2022_SAV_01,0.0,1.0,-1.0,1.0,1.0,0.0,0.5,1.0,-0.5
Q_2022_SAV_02,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0
Q_2022_SAV_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_SAV_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_SAV_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_SAV_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_STR_01,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,-0.031746031746031744
Q_2022_STR_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_STR_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_STR_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2022_STR_P1,0.0,0.0,0.0,0.0,1.0,-1.0,0.2,0.5,-0.3
Q_2022_STR_P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
