doc_id,query_id,difficulty,generation_status,chunk_text_truncations,context_truncated,context_chunks_used,context_chars_used,citations_valid,answer_correct_ref,answer_status_ref
Grampian-2020-2021,Q_2021_STR_04,LEX,error,0,False,5,5633,0,True,correct
Grampian-2020-2021,Q_2021_FIN_02,MOD,insufficient_evidence,0,False,5,7107,0,False,incorrect
Grampian-2020-2021,Q_2021_FIN_P2,STR,error,0,False,5,7094,0,False,partial
Grampian-2021-2022,Q_2022_FIN_04,LEX,ok,0,False,5,6531,1,True,correct
Grampian-2021-2022,Q_2022_SAV_03,MOD,error,0,False,5,6957,0,True,correct
Grampian-2021-2022,Q_2022_IJB_01,STR,error,2,False,5,8583,0,False,incorrect
Grampian-2022-2023,Q_2023_DEL_02,LEX,error,0,False,5,5099,0,True,correct
Grampian-2022-2023,Q_2023_DEL_01,MOD,ok,0,False,5,5082,1,False,partial
Grampian-2022-2023,Q_2023_PLAN_02,STR,insufficient_evidence,0,False,5,6350,0,False,incorrect
Grampian-2023-2024,Q_2024_SAV_01,LEX,error,0,False,5,7128,0,True,correct
Grampian-2023-2024,Q_2024_AE_04,MOD,ok,0,False,5,5100,1,False,incorrect
Grampian-2023-2024,Q_2024_IJB_08,STR,error,1,False,5,3916,0,True,correct
Grampian-2024-2025,Q_2025_FIN_07,LEX,insufficient_evidence,0,False,5,6150,0,False,incorrect
Grampian-2024-2025,Q_2025_SAV_P1,MOD,error,0,False,5,6770,0,False,partial
Grampian-2024-2025,Q_2025_FIN_01,STR,insufficient_evidence,0,False,5,6274,0,False,incorrect
