arm,query_id,doc_id,difficulty,gold_pages,predicted_pages_top3,hit3,strict_correct,quote_support,failure_mode,extracted_answer,cited_pages,cited_spans,context_chars_used,latency_ms,table_query,financial_table_query,violations,question,expected_answer,answer_type,audit_label,audit_reason
baseline,Q_2021_FIN_05,Grampian-2020-2021,LEX,[28],"[28, 89]",1,0,0,did_not_identify_gold,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4304,3970.347,1,0,,What was the Total Revenue Resource Limit for 2020/21?,"£1,311,111 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
baseline,Q_2021_FIN_P1,Grampian-2020-2021,MOD,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5258.889,1,0,parse_or_generation_error,"Did NHS Grampian overspend or underspend its Core Revenue Resource Limit in 2020/21, and by how much?","Underspend of £769,000",number,model_extraction_error,retrieval hit but model failed to produce gold answer
baseline,Q_2021_FIN_P2,Grampian-2020-2021,STR,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5482.124,1,0,parse_or_generation_error,How did NHS Grampian's total cash financing requirement compare to the limit set by the Scottish Government in 2020/21?,"NHS Grampian met the Cash Requirement exactly at £1,298,124 with no variance",text,model_extraction_error,retrieval hit but model failed to produce gold answer
baseline,Q_2021_GOV_04,Grampian-2020-2021,LEX,[23],"[88, 114]",0,0,0,did_not_identify_gold,,[],[],3994,3787.052,1,0,,What were the total consolidated net assets of NHS Grampian group at 31 March 2021?,"£418,000 (£000)",number,context_missing,gold page not in top-3
baseline,Q_2022_FIN_01,Grampian-2021-2022,STR,[21],"[12, 21, 22]",1,0,0,did_not_identify_gold,,[],[],4254,3247.015,1,0,,What ceiling did the Scottish Government place on NHS Grampian's core operational spending for 2021/22?,"£1,358,066 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
baseline,Q_2022_FIN_05,Grampian-2021-2022,LEX,[21],"[21, 22]",1,0,0,did_not_identify_gold,"1,358,066",[21],"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",4302,4263.269,1,0,,What was the Total Revenue Resource Limit for 2021/22?,"£1,386,551 (£000)",number,model_extraction_error,retrieval hit but model failed to produce gold answer
baseline,Q_2022_GOV_03,Grampian-2021-2022,LEX,[17],"[17, 96, 122]",1,0,0,did_not_identify_gold,49.308 million,[17],"[""The Charity had net assets of \u00a349.308 million at 31 March 2022 (\u00a345.921 million * restated at 31 March 2021).""]",3762,4740.569,1,0,,What were the consolidated net assets of the NHS Grampian group at 31 March 2022?,"£461,044 (£000)",number,ambiguous_question,question or evidence contains multiple plausible numeric candidates
baseline,Q_2023_COV_01,Grampian-2022-2023,STR,[25],"[24, 103, 148]",0,0,0,did_not_identify_gold,,[],[],3050,2701.01,1,0,,What cost-reduction measures did NHS Grampian deploy to bring branded pharmaceuticals expenditure down in 2022/23?,£9.96 million,number,context_missing,gold page not in top-3
baseline,Q_2023_COV_02,Grampian-2022-2023,LEX,[25],"[25, 79, 148]",1,0,0,did_not_identify_gold,,[],[],3035,2834.152,1,0,,How much was spent on Test and Protect activities in 2022/23?,£3.97 million,number,model_extraction_error,retrieval hit but model failed to produce gold answer
baseline,Q_2023_GOV_03,Grampian-2022-2023,LEX,[19],"[19, 45, 121]",1,0,0,did_not_identify_gold,£45.3 million,[45],"[""which had assets at 31 March 2023 valued at \u00a345.3 million (31 March 2022 valued at \u00a349.3 million).""]",3033,3887.365,1,0,,What were the consolidated net assets of the NHS Grampian group at 31 March 2023?,"£580,541 (£000)",number,ambiguous_question,question or evidence contains multiple plausible numeric candidates
baseline,Q_2024_FIN_01,Grampian-2023-2024,LEX,[26],"[26, 27]",1,0,0,did_not_identify_gold,"48,416",[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3126,3274.045,1,0,,What was the Core Revenue Resource Limit for NHS Grampian in 2023/24?,"£1,440,632 thousand",number,model_extraction_error,retrieval hit but model failed to produce gold answer
baseline,Q_2024_FIN_02,Grampian-2023-2024,STR,"[26, 118]","[26, 27]",1,0,0,did_not_identify_gold,0,[26],"[""Core Revenue Resource Limit 48,416 48,416 0""]",3082,3285.049,1,1,,What gap existed between the resource ceiling and actual spend on core NHS Grampian services in 2023/24?,"£1,440,535 thousand",number,model_extraction_error,retrieval hit but model failed to produce gold answer
