query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_pages,route_intent,route_confidence,gold_exists,gold_chunk_count,gold_pages_found,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_DEF_2023_01,DEF,2023,1,1,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),[21],unknown,0.5,True,3,[21],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[22],['Grampian-2022-2023:p0022_001'],['Grampian-2022-2023']
Q_DEF_2023_01,DEF,2023,1,3,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),[21],unknown,0.5,True,3,[21],hit,0,0.0,[],1.0,0.5,0.5,1.0,0.3333333333333333,0.5,"[22, 21]","['Grampian-2022-2023:p0022_001', 'Grampian-2022-2023:p0021_001', 'Grampian-2022-2023:p0022_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_01,DEF,2023,1,5,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),[21],unknown,0.5,True,3,[21],hit,0,0.0,[],1.0,0.5,0.5,1.0,0.6,0.5,"[22, 21]","['Grampian-2022-2023:p0022_001', 'Grampian-2022-2023:p0021_001', 'Grampian-2022-2023:p0022_000', 'Grampian-2022-2023:p0021_002', 'Grampian-2022-2023:p0021_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_01,DEF,2023,1,10,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),[21],unknown,0.5,True,3,[21],hit,0,0.0,[],1.0,0.16666666666666666,0.5,1.0,0.3,0.5,"[22, 21, 148, 26, 25, 123]","['Grampian-2022-2023:p0022_001', 'Grampian-2022-2023:p0021_001', 'Grampian-2022-2023:p0022_000', 'Grampian-2022-2023:p0021_002', 'Grampian-2022-2023:p0021_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_01,DEF,2023,1,100,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),[21],unknown,0.5,True,3,[21],hit,0,0.0,[],1.0,0.015151515151515152,0.5,1.0,0.03,0.5,"[22, 21, 148, 26, 25, 123, 35, 38, 81, 83]","['Grampian-2022-2023:p0022_001', 'Grampian-2022-2023:p0021_001', 'Grampian-2022-2023:p0022_000', 'Grampian-2022-2023:p0021_002', 'Grampian-2022-2023:p0021_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_REV_2023_01,REV,2023,1,1,number,Grampian-2022-2023,"Performance Report, Performance Analysis",[28],unknown,0.5,True,2,[28],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2022-2023:p0028_000'],['Grampian-2022-2023']
Q_REV_2023_01,REV,2023,1,3,number,Grampian-2022-2023,"Performance Report, Performance Analysis",[28],unknown,0.5,True,2,[28],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,"[28, 25, 78]","['Grampian-2022-2023:p0028_000', 'Grampian-2022-2023:p0025_000', 'Grampian-2022-2023:p0078_001']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_REV_2023_01,REV,2023,1,5,number,Grampian-2022-2023,"Performance Report, Performance Analysis",[28],unknown,0.5,True,2,[28],hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,"[28, 25, 78, 27, 79]","['Grampian-2022-2023:p0028_000', 'Grampian-2022-2023:p0025_000', 'Grampian-2022-2023:p0078_001', 'Grampian-2022-2023:p0027_002', 'Grampian-2022-2023:p0079_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_REV_2023_01,REV,2023,1,10,number,Grampian-2022-2023,"Performance Report, Performance Analysis",[28],unknown,0.5,True,2,[28],hit,0,0.0,[],1.0,0.125,1.0,1.0,0.1,1.0,"[28, 25, 78, 27, 79, 148, 115, 5]","['Grampian-2022-2023:p0028_000', 'Grampian-2022-2023:p0025_000', 'Grampian-2022-2023:p0078_001', 'Grampian-2022-2023:p0027_002', 'Grampian-2022-2023:p0079_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_REV_2023_01,REV,2023,1,100,number,Grampian-2022-2023,"Performance Report, Performance Analysis",[28],unknown,0.5,True,2,[28],hit,0,0.0,[],1.0,0.015151515151515152,1.0,1.0,0.02,1.0,"[28, 25, 78, 27, 79, 148, 115, 5, 24, 45]","['Grampian-2022-2023:p0028_000', 'Grampian-2022-2023:p0025_000', 'Grampian-2022-2023:p0078_001', 'Grampian-2022-2023:p0027_002', 'Grampian-2022-2023:p0079_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
