group,query_id,topic,answer_type,page_mrr_at_k_dense,page_mrr_at_k_hybrid,delta_hybrid_minus_dense,query_text
above_diagonal,Q_2023_FIN_15,,number,0.0,1.0,1.0,What was the COVID-19 Test and Protect expenditure in 2022/23?
above_diagonal,Q_2023_FIN_P1,,text,0.0,1.0,1.0,Did NHS Grampian overspend or underspend its Core Revenue Resource Limit in 2022/23?
above_diagonal,Q_2023_GOV_01,,text,0.0,1.0,1.0,Were all three of NHS Grampian's statutory financial obligations met in 2022/23?
above_diagonal,Q_2023_FIN_02,,number,0.5,1.0,0.5,What was the actual Core Revenue Resource outturn in 2022/23?
above_diagonal,Q_2023_FIN_04,,number,0.0,0.5,0.5,What was the approved cash financing requirement for NHS Grampian in 2022/23?
on_diagonal,Q_2023_AE_01,,number,1.0,1.0,0.0,How many patients attended an Emergency Department in Grampian during March 2023?
on_diagonal,Q_2023_SAV_04,,number,1.0,1.0,0.0,How much of the 2022/23 efficiency savings were non-recurring?
on_diagonal,Q_2023_SAV_03,,number,1.0,1.0,0.0,What portion of the 2022/23 efficiency savings were of a recurring nature?
on_diagonal,Q_2023_SAV_02,,number,1.0,1.0,0.0,What was the efficiency savings target for 2022/23?
on_diagonal,Q_2023_SAV_01,,number,1.0,1.0,0.0,How much in efficiency savings did NHS Grampian deliver in 2022/23?
below_diagonal,Q_2023_COV_01,,number,1.0,0.0,-1.0,What cost-reduction measures did NHS Grampian deploy to bring branded pharmaceuticals expenditure down in 2022/23?
below_diagonal,Q_2023_FIN_07,,number,1.0,0.0,-1.0,By how much did NHS Grampian's total spending on health and care services grow between 2021/22 and 2022/23?
below_diagonal,Q_2023_FIN_10,,number,1.0,0.0,-1.0,By how much did Staff Costs increase in 2022/23?
below_diagonal,Q_2023_PLAN_02,,text,1.0,0.3333333333333333,-0.6666666666666667,What value and sustainability programme was initiated in 2022/23?
below_diagonal,Q_2023_COV_02,,number,1.0,0.5,-0.5,How much was spent on Test and Protect activities in 2022/23?
