doc_id,query_id,difficulty,answer_type,question,expected_answer,llm_status,json_parse_ok,answer,evidence_quote,guard_violations,answer_correct,answer_status,quote_supports_gold,quote_status,strict_correct,failure_mode,evidence_is_verbatim_in_context,retrieval_hit_at_k,context_chunks_used,context_chars_used,context_truncated
Grampian-2020-2021,Q_2021_GOV_03,LEX,number,What was the Non-Core Revenue Resource Limit for 2020/21?,"£32,340 (£000)",ok,True,"32,340","Non-Core Revenue Resource Limit 32,340 32,340 -",,True,correct,True,partial,True,strict_correct,True,True,3,5153,False
Grampian-2020-2021,Q_2021_CAP_02,LEX,number,How much capital funding from SGHSCD was used for infrastructure investment in 2020/21?,£43.316 million,ok,True,£43.316 million,"The Board delivered a programme of infrastructure investment totalling £62.283 million during 2020/21. This overall programme was resourced using a combination of capital funding from the SGHSCD (£43.316 million, see note 7d), income from donations (£1.050 million), revenue budgets (£17.819 million) and £0.098 million net proceeds from asset disposals, mainly equipment.",,True,correct,True,correct,True,strict_correct,True,True,3,3812,False
Grampian-2020-2021,Q_2021_IJB_07,LEX,number,How much did NHS Grampian contribute to Integration Joint Board expenditure in 2020/21?,Expenditure of £637.088 million passed to IJBs,guard_violation,True,,,answer_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,False,3,2890,False
Grampian-2020-2021,Q_2021_IJB_03,LEX,number,What surplus did Aberdeenshire IJB report for 2020/21?,£20.449 million,ok,True,£20.449 million,Aberdeenshire IJB reported a surplus for the year of £20.449 million (2019/20: deficit of £1.288m) increasing the retained reserves carried forward to £20.566 million (2019/20 £0.117 million).,,True,correct,True,correct,True,strict_correct,True,True,3,4431,False
Grampian-2020-2021,Q_2021_IJB_01,MOD,number,What was the net financial position of Aberdeen City IJB at the end of 2020/21?,£15.634 million,guard_violation,True,,,evidence_span_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,False,3,5052,False
Grampian-2020-2021,Q_2021_SAV_P2,MOD,text,What were the primary sources of efficiency savings achieved in 2020/21?,Mainly from reduction in the use of agency medical and nursing staff compared to 2019/20,ok,True,reduction in the use of agency medical and nursing staff,mainly from the reduction in the use of agency medical and nursing staff compared to 2019/20,,True,correct,True,partial,True,strict_correct,True,True,3,4112,False
Grampian-2020-2021,Q_2021_GOV_01,STR,text,What are the three statutory financial targets NHS Boards must meet according to the 2020/21 annual report?,Revenue Resource Limit; Capital Resource Limit; Cash Requirement,guard_violation,True,,,evidence_span_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,True,3,4317,False
Grampian-2020-2021,Q_2021_IJB_06,LEX,number,What were Moray IJB's retained reserves carried forward from 2020/21?,£6.342 million,ok,True,£0.117 million,"An increase in earmarked reserves of £15.852 million to £15.969 million (2019/20 - £0.117 million), due to the allocation",,False,incorrect,False,incorrect,False,did_not_identify_gold,True,True,3,2163,False
Grampian-2020-2021,Q_2021_IJB_P1,STR,text,Which of the three Grampian IJBs reported the largest financial surplus in 2020/21?,Aberdeenshire IJB with a surplus of £20.449 million,ok,True,"Aberdeen City, Aberdeenshire and Moray","Each of the three IJBs in Grampian (Aberdeen City, Aberdeenshire and Moray) are established as a separate legal organisation under the terms of the Public Bodies (Joint Working) (Scotland) Act 2014",,False,incorrect,False,incorrect,False,did_not_identify_gold,True,False,3,3120,False
Grampian-2020-2021,Q_2021_COV_03,LEX,number,How much did Independent Primary Care Services costs increase in 2020/21 due to COVID-19?,£8.6 million,ok,True,£8.6 million,"Independent Primary care service costs increased by £8.6 million mainly due to the additional support available to General Medical, Pharmaceutical, General Dental and General Ophthalmic practitioners, to ensure accessibility and sustainability of critical primary care services throughout the COVID-19 pandemic.",,True,correct,True,correct,True,strict_correct,True,True,3,4256,False
Grampian-2021-2022,Q_2022_GOV_P1,STR,text,Which three operational phases did NHS Grampian implement in response to COVID-19 across 2020-2022?,"Operation Rainbow (April–May 2020), Operation Snowdrop (January–March 2021), Operation Iris (December–March 2022)",ok,True,"Operation Rainbow (April to May 2020), Operation Snowdrop (January to March 2021) and Operation Iris (December to March 2022)","Within NHS Grampian the three main phases of our response comprised Operation Rainbow (April to May 2020), Operation Snowdrop (January to March 2021) and Operation Iris (December to March 2022).",,True,partial,True,partial,True,strict_correct,True,True,3,4026,False
Grampian-2021-2022,Q_2022_SAV_P2,MOD,text,What were the main sources of efficiency savings in 2021/22?,"Successful recruitment into medical and nursing vacancies previously filled by agency staff, transfer of agency staff to direct engagement contracts, increased use of biosimilar drugs, savings in non-clinical areas",ok,True,"mainly from the successful recruitment in to medical and nursing vacancies that were previously filled using temporary agency staff in the first half of the year, the transfer of some agency staff on to a direct engagement contractual model, the increased use of biosimilar drugs and savings across a number of non-clinical areas.","Efficiency Savings Efficiency savings of £2.2 million were achieved against a target of £2.6 million for NHS Grampian services, mainly from the successful recruitment in to medical and nursing vacancies that were previously filled using temporary agency staff in the first half of the year, the transfer of some agency staff on to a direct engagement contractual model, the increased use of biosimilar drugs and savings across a number of non-clinical areas.",,True,partial,True,partial,True,strict_correct,True,True,3,4243,False
Grampian-2021-2022,Q_2022_IJB_05,LEX,number,What surplus did Moray IJB report for 2021/22?,£10.679 million,ok,True,0.323 million,a surplus on charitable activities of £0.323 million* (2020/21 restated £0.828 million*),,False,incorrect,False,incorrect,False,did_not_identify_gold,True,True,3,2940,False
Grampian-2021-2022,Q_2022_FIN_01,STR,number,What ceiling did the Scottish Government place on NHS Grampian's core operational spending for 2021/22?,"£1,358,066 (£000)",guard_violation,True,,,evidence_span_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,True,3,4253,False
Grampian-2021-2022,Q_2022_STR_04,STR,number,How many people participated in the public engagement exercise that shaped the NHS Grampian Plan for the Future?,"Over 2,100 people living in Grampian",ok,True,"over 2,100 people","The public consultation was launched in June 2021 and detailed feedback was received from over 2,100 people living in Grampian.",,True,correct,True,correct,True,strict_correct,True,True,3,4037,False
Grampian-2021-2022,Q_2022_AE_P1,MOD,number,By what percentage did A&E attendances increase in March 2022 compared to March 2021?,37% increase over March 2021,ok,True,37%,"Total A&E attendances in March 2022 were 9,581, an increase of 37% over March 2021.",,True,correct,True,partial,True,strict_correct,True,True,3,3628,False
Grampian-2021-2022,Q_2022_IJB_02,LEX,number,What were Aberdeen City IJB's retained reserves at year end 2021/22?,£51.392 million,ok,True,£49.062 million,Aberdeenshire IJB reported a surplus for the year of £28.496 million (2020/21: £20.449m) increasing the retained reserves carried forward to £49.062 million (2020/21 £20.566 million).,,False,incorrect,False,incorrect,False,did_not_identify_gold,True,True,3,3341,False
Grampian-2021-2022,Q_2022_GOPES_01,STR,text,What is the Grampian Operational Pressure Escalation System (G-OPES)?,"G-OPES is a system-wide escalation model linked to portfolio leadership to manage winter pressures and surge, developed as part of the new portfolio and system leadership management model",ok,True,Grampian Operational Pressure Escalation System (G-OPES),We adapted this learning into the development of a whole system escalation response model (Grampian Operational Pressure and Escalation System – G-OPES) to manage the expected range of service pressures during the 2021/22 winter period.,,False,incorrect,False,incorrect,False,did_not_identify_gold,True,True,3,4050,False
Grampian-2021-2022,Q_2022_FIN_08,LEX,number,What was the increase in Staff Costs in 2021/22 compared to 2020/21?,£46.5 million increase,guard_violation,True,,,answer_not_in_context,False,incorrect,False,incorrect,False,did_not_identify_gold,False,False,3,4294,False
Grampian-2021-2022,Q_2022_FIN_P2,MOD,text,What was the principal cause of the increase in staff costs in 2021/22?,Annual pay uplift of £33.4 million,ok,True,annual pay uplift (£33.4 million),"Staff Costs increased by £46.5 million mainly due to the annual pay uplift (£33.4 million), an increase in the level of untaken annual leave (£2.2 million).",,True,partial,True,partial,True,strict_correct,True,True,3,4306,False
Grampian-2022-2023,Q_2023_FIN_15,LEX,number,What was the COVID-19 Test and Protect expenditure in 2022/23?,£3.97 million,ok,True,£23.1 million,"The main areas incurring additional costs were in additional Personal Protective equipment, vaccinations programmes, testing and contact tracing and staffing and other costs to support infection control measures.",,False,incorrect,False,incorrect,False,did_not_identify_gold,True,True,3,3538,False
