arm,doc_id,query_id,difficulty,judge_status,judge_label,judge_rationale_short,quote_contains_gold,answer_mismatch_type,expected_answer,model_answer,evidence_quote,judge_raw_output
baseline,Grampian-2020-2021,Q_2021_FIN_P2,STR,skipped_no_quote,,,,,"NHS Grampian met the Cash Requirement exactly at £1,298,124 with no variance","NHS Grampian's total cash financing requirement was £1,298,124,000, which matched the limit set by the Scottish Government.",,
baseline,Grampian-2021-2022,Q_2022_FIN_04,LEX,skipped_no_quote,,,,,"£1,434,610 (£000)","The Cash Requirement limit for NHS Grampian in 2021/22 was £1,434,610,000.",,
baseline,Grampian-2022-2023,Q_2023_DEL_01,MOD,skipped_no_quote,,,,,72 patients (70 delayed more than 3 days),70,,
baseline,Grampian-2024-2025,Q_2025_SAV_P1,MOD,skipped_no_quote,,,,,"Agency spend including medical locum and nursing costs, hospital drug cost savings from switching to generic medicines, staff cost control including vacancy freeze and overtime reduction, procurement, increased catering charges","The main sources of efficiency savings delivered in 2024/25 were in the areas of agency spend including medical locum and nursing costs, hospital drug costs from switching from branded medicines to generic alternatives, staff cost control measures including vacancy freeze and reduction of overtime, procurement and increased charges for catering.",,
grounded_reasoning,Grampian-2020-2021,Q_2021_STR_04,LEX,skipped_no_quote,,,,,"Three separate remobilisation plans (May 2020, July 2020 and February 2021)",three,,
grounded_reasoning,Grampian-2021-2022,Q_2022_FIN_04,LEX,skipped_no_quote,,,,,"£1,434,610 (£000)","1,434,610",,
grounded_reasoning,Grampian-2022-2023,Q_2023_DEL_01,MOD,skipped_no_quote,,,,,72 patients (70 delayed more than 3 days),70,,
grounded_reasoning,Grampian-2024-2025,Q_2025_FIN_07,LEX,skipped_no_quote,,,,,"£65,200 (£000)",£65.2 million,,
grounded_reasoning,Grampian-2024-2025,Q_2025_SAV_P1,MOD,skipped_no_quote,,,,,"Agency spend including medical locum and nursing costs, hospital drug cost savings from switching to generic medicines, staff cost control including vacancy freeze and overtime reduction, procurement, increased catering charges","The main savings achieved in addition to technical adjustments (£28.6m) were in the areas of agency spend including medical locum and nursing costs, hospital drug costs from switching from branded medicines to generic alternatives, staff cost control measures including vacancy freeze and reduction of overtime, procurement and increased charges for catering.",,
quote_then_answer,Grampian-2020-2021,Q_2021_FIN_P2,STR,ok,quote_supports_gold_but_answer_misread,"The quote correctly states the cash requirement, but the model answer incorrectly states there was no variance, while the quote shows a variance of 0.",True,misread_number,"NHS Grampian met the Cash Requirement exactly at £1,298,124 with no variance","NHS Grampian's total cash financing requirement of 1,298,124 £000’s was equal to the limit set by the Scottish Government in 2020/21.","Cash Requirement 1,298,124 1,298,124 -","{
  ""judge_label"": ""quote_supports_gold_but_answer_misread"",
  ""judge_rationale_short"": ""The quote correctly states the cash requirement, but the model answer incorrectly states there was no variance, while the quote shows a variance of 0."",
  ""quote_contains_gold"": true,
  ""answer_mismatch_type"": ""misread_number""
}"
quote_then_answer,Grampian-2020-2021,Q_2021_STR_04,LEX,ok,quote_supports_gold_but_answer_misread,"The quote contains the correct number of remobilisation plans but the answer incorrectly states they were developed in response to COVID-19, when the plans were developed in response to the pandemic.",True,wrong_response_context,"Three separate remobilisation plans (May 2020, July 2020 and February 2021)",NHS Grampian developed three remobilisation plans in response to COVID-19.,"three separate remobilisation plans (May 2020, July 2020 and February 2021).","{
  ""judge_label"": ""quote_supports_gold_but_answer_misread"",
  ""judge_rationale_short"": ""The quote contains the correct number of remobilisation plans but the answer incorrectly states they were developed in response to COVID-19, when the plans were developed in response to the pandemic."",
  ""quote_contains_gold"": true,
  ""answer_mismatch_type"": ""wrong_response_context""
}"
quote_then_answer,Grampian-2022-2023,Q_2023_DEL_01,MOD,ok,quote_supports_gold_but_answer_misread,"The quote contains the correct number of patients, but the model answer misreads the number of patients waiting more than 3 days as 70 instead of 72.",True,misread_number,72 patients (70 delayed more than 3 days),70 patients were waiting more than the standard threshold (3 days) at the March 2023 census date.,"72 patients, of which 70 were more than 3 days delayed at the March 2023 census date (104 at March 2022, of which 91 were delayed more than 3 days).","{
  ""judge_label"": ""quote_supports_gold_but_answer_misread"",
  ""judge_rationale_short"": ""The quote contains the correct number of patients, but the model answer misreads the number of patients waiting more than 3 days as 70 instead of 72."",
  ""quote_contains_gold"": true,
  ""answer_mismatch_type"": ""misread_number""
}"
