arm,query_id,doc_id,difficulty,question,expected_answer,extracted_answer,failure_mode,audit_label,manual_label,manual_note,cited_spans,hit3,strict_correct
baseline,Q_2021_FIN_05,Grampian-2020-2021,LEX,What was the Total Revenue Resource Limit for 2020/21?,"£1,311,111 (£000)","1,278,771",did_not_identify_gold,model_extraction_error,model_extraction_error,Question asks Total Revenue Resource Limit; model picked Core limit row.,"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",1,0
row_preserving,Q_2021_FIN_05,Grampian-2020-2021,LEX,What was the Total Revenue Resource Limit for 2020/21?,"£1,311,111 (£000)","1,278,771",did_not_identify_gold,model_extraction_error,model_extraction_error,Same wrong row selection (core vs total).,"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",1,0
baseline,Q_2022_FIN_05,Grampian-2021-2022,LEX,What was the Total Revenue Resource Limit for 2021/22?,"£1,386,551 (£000)","1,358,066",did_not_identify_gold,model_extraction_error,model_extraction_error,Question asks Total Revenue Resource Limit; extracted core limit.,"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",1,0
row_preserving,Q_2022_FIN_05,Grampian-2021-2022,LEX,What was the Total Revenue Resource Limit for 2021/22?,"£1,386,551 (£000)","1,358,066",did_not_identify_gold,model_extraction_error,model_extraction_error,Same core-vs-total selection error.,"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",1,0
baseline,Q_2024_FIN_01,Grampian-2023-2024,LEX,What was the Core Revenue Resource Limit for NHS Grampian in 2023/24?,"£1,440,632 thousand","48,416",did_not_identify_gold,model_extraction_error,model_extraction_error,"Core RRL asked, model cited unrelated smaller line value (48,416).","[""Core Revenue Resource Limit 48,416 48,416 0""]",1,0
row_preserving,Q_2024_FIN_01,Grampian-2023-2024,LEX,What was the Core Revenue Resource Limit for NHS Grampian in 2023/24?,"£1,440,632 thousand","48,416",did_not_identify_gold,model_extraction_error,model_extraction_error,Same unrelated line selected from table context.,"[""Core Revenue Resource Limit 48,416 48,416 0""]",1,0
baseline,Q_2022_GOV_03,Grampian-2021-2022,LEX,What were the consolidated net assets of the NHS Grampian group at 31 March 2022?,"£461,044 (£000)",49.308 million,did_not_identify_gold,ambiguous_question,ambiguous_question,Retrieved charity net-assets sentence; scope differs from consolidated-group target.,"[""The Charity had net assets of \u00a349.308 million at 31 March 2022 (\u00a345.921 million * restated at 31 March 2021).""]",1,0
baseline,Q_2023_GOV_03,Grampian-2022-2023,LEX,What were the consolidated net assets of the NHS Grampian group at 31 March 2023?,"£580,541 (£000)",£45.3 million,did_not_identify_gold,ambiguous_question,ambiguous_question,Multiple net-assets figures/scopes in context; likely scope ambiguity.,"[""which had assets at 31 March 2023 valued at \u00a345.3 million (31 March 2022 valued at \u00a349.3 million).""]",1,0
row_preserving,Q_2021_GOV_04,Grampian-2020-2021,LEX,What were the total consolidated net assets of NHS Grampian group at 31 March 2021?,"£418,000 (£000)",£45.441 million,did_not_identify_gold,ambiguous_question,ambiguous_question,"Context contains charity net-assets value, not required consolidated figure.","[""The Charity had net assets of \u00a345.441 million at 31 March 2021 (\u00a336.767 million at 31 March 2020).""]",1,0
row_preserving,Q_2023_FIN_09,Grampian-2022-2023,LEX,What was the total COVID-19 expenditure across NHS Grampian and its IJBs in 2022/23?,"£41.04 million total (£23.06 million NHS Grampian, £17.97 million IJBs)",Expenditure of £23.1 million was incurred on non-delegated Board services.,did_not_identify_gold,ambiguous_question,ambiguous_question,Question requires total + breakdown; context has multiple plausible COVID figures.,"[""The impact of the pandemic was less severe on services in 2022/23 than in 2021/22 but significant costs were still incurred across a range of services, including the COVID vaccination programme and the provision of sustainability payments to social care providers. Expenditure of \u00a323.1 million was incurred on non-delegated Board services.""]",1,0
baseline,Q_2024_IJB_06,Grampian-2023-2024,STR,What were the consolidated net assets for all three IJBs as a joint venture in 2023/24?,"Aberdeen City: £4,918k; Aberdeenshire: £0; Moray: £1,012k; total consolidated group net assets: £700,580k","645,802",did_not_identify_gold,model_extraction_error,ambiguous_question,Multi-entity/multi-number question; extracted single figure from dense numeric context.,"[""645,802 645,802 513,009""]",1,0
