doc_id,page,proposed_subsection,toc_subsection,reason,top_lines_snippet
Grampian-2022-2023,8,B PERFORMANCE ANALYSIS,b) Remuneration and Staff Report,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS 1. Delivering the Plan for the Future As outlined above, our approach to delivering the ambitions set out in the Plan for the Future is focussed on three pillars (People, Places and Pathways), along with key priorities highlighted by the Scottish Government. Our Delivery Plan is our mechanism to set out the organisations priorities for change which the Board (via sub committees), and the Scottish Government seeks assurance on. The Delivery Plan acts as a contract between the NHS Board and the Scottish Government. The agreed objectives over the period August 2022 to March 2023 were: 1. Reducing delays in accessing care (Pathways with a focus on access and whole system working) 2. Support colleagues to be safe and well at work (People with a focus on colleagues) 3. Create the conditions for sustainable change (Places with a focus on communities and environment) Performance and assurance reporting has been further developed during 2022 to ensure better alignment against the Plan for the Future and the Delivery Plan. This has consisted of: Quarterly reports to the Chief Executive Team Quarterly Performance Meeting, prior to submission to the Scottish Government Bi-monthly Performance report to the Performance Assurance, Finance and Infrastructure Committee (PAFIC) Assurance on specific aspects of the PAFIC Report is sought from other assurance Boards/Committees based on their remits Bi- meeting. being developed by the Board. Overall performance against the 124 milestones across people, places and pathways within the Delivery Plan for 2022/23 at the 31 March 2023 is summarised below. NHS Grampian has a performance framework through which a culture of continuous improvement is supported. Our vision, proudly working together to improve our health, is supported by a set of strategic themes: Improving health and reducing inequalities; Delivering high quality care in the right place; Involving our patients, public, staff and partners; and Developing and empowering our staff."
Grampian-2022-2023,9,B PERFORMANCE ANALYSIS,b) Remuneration and Staff Report,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS The core values of the Board are caring, listening and improving. These values are embedded in everything we do in making the vision a reality. The continued impact of the COVID-19 pandemic and the wider system pressures on the NHS, our partner organisations and the public was significant this year and although the Board has successfully met its financial targets for 2022/23, performance against the key national clinical treatment targets has clearly been impacted by the changes made to ensure the delivery of safe and effective services throughout the year as part of our COVID-19 response. All clinical services are now open and accepting referrals. The length of wait for treatment in some services is impacted by the historical backlog that built up during the COVID response period and also by enhanced infection control measures that remain in place. Recognising the current operational and workforce challenges alongside growing financial pressures, the Scottish Government have clarified the areas of activity to be prioritised during the coming year as a phased reduction in waiting times with no outpatient waiting longer than one year by March 2023 and no-one waiting longer than one year for in- patient/day case treatment by September 2024. A proposed plan to achieve reduction in current waiting times through investment in a range of initiatives is under consideration by the Scottish Government. Significant Delay Complete Milestones Progress: Jun-22 Sep-22 Dec-22 Mar-23 Complete 0 2 8 28 On Track 88 78 65 40 Minor Delay 22 37 43 49 Significant Delay 0 7 8 7 Proposal 11 0 0 0 Minor On Track"
Grampian-2022-2023,10,B PERFORMANCE ANALYSIS,i) Remuneration Report,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS 2. Non-Financial Performance Summary 2.1 Key National Treatment Targets The impact of these emergency measures on the key national treatment targets is summarised below: Attendance at Accident & Emergency 98% of patients should wait no more than 4 hours from arrival to admission, discharge or transfer for accident and emergency treatment. Performance Total A&E attendances in March 2023 were 9,767, an increase of 1.9% over March 2022. ED attendance rates per 100,000 population in NHS Grampian are consistently among the lowest in Scotland. The percentage seen within 4 hours in an A&E department in March was 65.2% (71.8% for March 2022) compared to the Scotland wide rate of 68% (71.6% March 2022). The number who waited over 4 hours in March 2023 was 3,396, of whom 250 waited over 12 hours, compared to 2,698 (178 over 12 hours) in March 2022."
Grampian-2022-2023,11,B PERFORMANCE ANALYSIS,i) Remuneration Report,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS The pressures on Emergency Departments (ED) during the year continue to be well publicised across the NHS in Scotland and the UK. Our local analysis suggests that the ED performance was acting as the bellwether of the pressures experienced right across the whole health and social care system with capacity and flow factors affecting each step in a patients pathway combining to manifest at the front door of the hospital affecting the 4-hour performance. Delayed Discharge Reduction in the number of patients awaiting discharge from hospital into a more appropriate care setting, once treatment is complete (standard and code 9 delay reasons). Performance There were 72 patients, of which 70 were more than 3 days delayed at the March 2023 census date (104 at March 2022, of which 91 were delayed more than 3 days). Of the mainland Boards, NHS Grampian consistently has one of the lowest number of standard and code 9 delays per 100,000 population."
Grampian-2022-2023,12,B PERFORMANCE ANALYSIS,i) Remuneration Report,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS Patients spent 2,575 days in hospital due to delays in discharge in Grampian in March 2023 (3,143 in March 2022). Treatment Time Guarantee 12 week in-patient / daycase Treatment Time Guarantee (TTG) and 12 weeks for first outpatient appointment. Performance Available capacity is targeted at urgent and priority patients (Elective Surgery Category System (ESCatS) 0 and 1 including cancer) and to address long waiting patients. The tables below set out the increases in the number of patients waiting for in- patient/daycase treatment and a first outpatient appointment. The proportion of patients waiting over 12 weeks for in-patient/daycase treatment was 78.2% at 31 March 2023 (72.1% at 31 March 2022) 49.2% of patients on the new outpatient list were waiting over 12 weeks at 31 March 2023 (48.4% at 31 March 2022)"
Grampian-2022-2023,13,B PERFORMANCE ANALYSIS,i) Remuneration Report,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS Grampian has an established clinical prioritisation system (Elective Surgery Category System (ESCatS)) for planned care. This ensures that all urgent and priority patients are identified following determination of treatment and that patients are seen according to clinical need. Capacity building has been targeted at urgent and priority patients (ESCatS 0 and 1 including cancer) and to address long waiting patients. Nevertheless the waiting list size for all ESCatS 0 and 1 has increased during 2022/23. The number of patients waiting over 104 weeks has decreased through the year,"
Grampian-2022-2023,14,B PERFORMANCE ANALYSIS,i) Remuneration Report,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS size) at 31 March 2023; in comparison to 587 new outpatients (1.5% of list size) and 2,523 TTG patients (15.6% of list size) at 31 March 2022. Cancer Cancer Access Times: 31 days from decision to treat (95%) and 62 days from urgent referral with suspicion of cancer (95%). Performance Cancer performance against the 31 day standard has been above the 95% standard for the last 3 quarters of 2022/23. The 62 day performance has decreased through 2022/23 and has not yet met the national standard. An increased rate of both urgent suspected cancer referrals and backlog in Urology and Colorectal pathways continues to be seen in Grampian as mirrored with the overall national picture. Performance against both targets is shown below."
Grampian-2022-2023,15,B PERFORMANCE ANALYSIS,i) Remuneration Report,allow_list_reject(score=0.377),PERFORMANCE REPORT B PERFORMANCE ANALYSIS Mental Health Services Child and Adolescent Mental Health Services (CAMHS): treatment within 18 weeks of referral (90%) Performance CAMHS performance has been above the 90% target since May 2022.
Grampian-2022-2023,16,B PERFORMANCE ANALYSIS,i) Remuneration Report,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS Performance Psychological Therapies performance has not met the 90% target during 2022/23 2.2 Hospital Occupancy Occupancy levels across hospital sites has continued at high levels through the year, reflecting the whole system pressures that have been experienced. The diagram below highlights the bed capacity pressures at ARI over the last year compared to previous years. Source: Tableau (Hospital Occupancy)"
Grampian-2022-2023,17,B PERFORMANCE ANALYSIS,i) Remuneration Report,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS COVID-19 occupancy has been lower through the second half of 2022/23 compared to the previous twelve months. For the period October 2022-March 2023, across Grampian an average of 47 beds were occupied each day by patients with COVID-19 (around 11% of whom were admissions for COVID-19), continuing the pressure on the system. Source: Tableau (Hospital Occupancy) Mental health inpatients services have continued to experience pressure during 2022/23, with the bed base being adapted to accommodate the final stages of the ligature reduction programme at Royal Cornhill Hospital (RCH). Persistent high levels of occupancy at RCH are shown below. Source: Tableau (Hospital Occupancy) with the SGHSCD can be accessed on the Public Health Scotland website at the following"
Grampian-2022-2023,18,B PERFORMANCE ANALYSIS,ii) Staff Report,allow_list_reject(score=0.377),NHS GRAMPIAN ANNUAL REPORT AND ACCOUNTS FOR YEAR ENDED 31 MARCH 2023 PERFORMANCE REPORT B PERFORMANCE ANALYSIS
Grampian-2022-2023,19,B PERFORMANCE ANALYSIS,,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS 3. Financial Performance and Position 3.1 Consolidated Accounts The Annual Accounts consolidate the results of Grampian Health Board, Grampian Health Board Endowment Funds (a registered Charity) and the three IJBs (Aberdeen City, Aberdeenshire and Moray). The basis of consolidation, explained in note 1 Accounting Policies on Page 90, is determined by the extent of control Grampian Health Board can effectively exercise over each of its partner organisations. All Trustees of the Grampian Health Board Endowment Funds are members of Grampian Health Board. The Board therefore has majority control and, using the principles stipulated by IFRS 10, must consolidate, in full, the financial results of the Grampian Health Board Endowment Funds into the main Board accounts. Voting membership of each of the IJBs is however split equally between members of Grampian Health Board and members of each local council. The Board, therefore, has exactly half of the controlling interest in each IJB and, under IAS 28, is required to consolidate only this share of the net assets, as a Joint Venture, into the main Board accounts. The financial impact of consolidation is summarised below:- Reported Net Consolidated Consolidated assets Net assets Net assets 2022/23 2022/23 2021/22 Partner Organisation 513,009 513,009 352,997 Grampian Health Board 45,252 45,252 49,308 Grampian Health Board Endowment Funds Charity 27,146 13,573 25,696 Aberdeen City IJB 12,730 6,365 24,532 Aberdeenshire IJB 4,684 2342 8,511 Moray IJB 602,821 580,541 461,044 Consolidated Net Assets 3.1.1 Grampian Health Board Endowment Funds Charity (the Charity) The Charity had net assets of £45.252 million at 31 March 2023 (£49.308 million at 31 March 2022). Overall, the funds available to the charity decreased by £4.055 million over the previous year (2021/22 increase of £3.387 million). This decrease related to a net loss on the valuation of investments of £4.165 million (2021/22 gain £3.064 million) combined with a surplus on charitable activities of £0.110 million for the year (2021/22 £0.323 million). The charity had no direct investments in Russian Companies during the year. investment strategy targets investments to deliver sustainable long-term capital growth and consistent income generation, and income generation has been maintained during 2022/23,"
Grampian-2022-2023,20,B PERFORMANCE ANALYSIS,,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS The Charity relies upon the generosity of patients, their relatives and friends, who have experienced the care of Grampian Health Board, and other donors who are generous in their support of the Charity. Total income for the year was £4.112 million (2021/22 £2.799 million) and this is analysed between donations, legacies and income from investments in the chart below. NHS Grampian Endowment Funds Income analysis 1,816 1,509 1,314 930 789 734 674 622 600 570 401 0 12 263 255 200 0 0 OTHER COVID NHS CHARITIES CAPITAL LEGACIES INVESTMENT DONATIONS DONATIONS TOGETHER FUNDRAISING 2022/23 2021/22 2020/21 Restated Total expenditure for the year was £4.002 million (2021/22 £2.476 million), £3.471 million relating to grants for charitable activities (2021/22 £2.050 million), £0.334 million on staffing and support costs (2021/22 £0.203 million) and £0.197 million on investment management fees (2021/22 £0.223 million). The net effect was a surplus of income over expenditure for the year of £0.110 million. The charity will continue to work closely with all relevant Health and related services as they re- mobilise and return to a more normal footing, to ensure that available funds are utilised effectively, improving the health and wellbeing of patients and staff in line with the wishes of our donors. 3.1.2 Integration Joint Boards (IJBs) - ordination and collaboration of the response and remobilisation from the COVID-19 pandemic. With the whole Grampian Health system continuing to operate under significant operational pressures during 2022/23 there was a transition for many of the core services"
Grampian-2022-2023,21,B PERFORMANCE ANALYSIS,,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS reflect demographic and demand pressures resulting in higher numbers of people receiving support in the community. There continued to be a major focus on preventing admissions, supporting people in the community and minimising the level of delayed discharges in Grampian hospitals. These efforts were underpinned by developments in digital innovations s. A key priority as we move forward is to continue to develop the whole system partnership arrangements to embed learning and transformational change into clinical strategy and core service provision moving forward. Given the high level of IJB Reserves at the end of the 2021/22 financial year, the Scottish Government required that IJBs should use their earmarked Reserves to finance expenditure before receiving new funding allocations for 2022/23 in a number of areas, including funding to support COVID related costs, the Primary Care Improvement Fund and Alcohol & Drug funding. This has led to a significant reduction in the level of IJB Reserves at the end of the 2022/23 financial year compared to 2021/22. The reported financial results for each of the 3.1.2.1 Aberdeen City IJB Aberdeen City IJB reported an overall deficit of £24.246 million for the year (2021/22 surplus £33.156 million), reducing the retained reserves carried forward to £27.146 million (2021/22 £51.392 million). This reflects: A general risk fund of £2.5 million ( 2021/22 £2.5 million) towards the impact of unexpected events or emergencies; and Earmarked reserves of £24.646 million (2021/22 £48.892 million) due to the allocation of funding to the IJB by the Scottish Government for a range of purposes including support for COVID-19 recovery and remobilisation expenditure, the Primary Care Improvement Fund, Action 15 Mental Health Workers and the Community Living Change Fund. A copy of the 2022/23 Aberdeen City IJB annual report and accounts can be viewed at the following link 3.1.2.2 Aberdeenshire Integration Joint Board (IJB) Aberdeenshire IJB reported a deficit for the year of £27.934 million ( 2021/22 surplus £28.496 million) decreasing the retained reserves carried forward to £16.929 million (2021/22 £49.062 million). The use of reserves within 2022-23 was required to offset expenditure in particular on Covid but also on Primary Care Improvement Fund, Action 15 Mental Health Workers and Alcohol and Drugs Partnership. The continuing pressures on the system in areas such as Care Management and Prescribing contributed to the deficit position for 2022-23. This reflects: General reserves of £1.509 million ( 2021/22 £7.908 million) towards the impact of"
Grampian-2022-2023,22,B PERFORMANCE ANALYSIS,,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS Earmarked reserves of £15.420 (2021/22 £41.154 million), due to the allocation of funding to the IJB by the Scottish Government for a range of purposes including support for COVID-19 expenditure, the Primary Care Improvement Fund, Action 15 Mental Health Workers and the Community Living Change Fund and by NHS Grampian for a project to relocate dental services. These retained reserves of £16.929 million are adjusted by £4.2 million to reflect the post balance sheet adjustment made by the auditors to the IJB account in 2021/22. The adjustment relates to an accrual of £4.2 million for Covid sustainability claims, which came into Aberdeenshire in 2022/23 but pertained to 2021/22. There has been no restatement of the prior year figures in the Consolidated Accounts. A copy of the 2022/23 Aberdeenshire IJB annual report and accounts can be viewed at the following link 3.1.2.3 Moray Integration Joint Board (IJB) Moray IJB reported a deficit for the year of £12.338 million (2021/22 surplus £10.679 million) decreasing the retained reserves carried forward to £4.683 million (2021/22 £17.021 million). The core deficit is due to the recurring deficit from the start of the MIJB. The recurring deficit has increased this year mainly due to the increase in prescribing and the cost of care packages. The reserves are as follows: General reserves of £0 million ( 2021/22 £1.257 million) towards the impact of unexpected events or emergencies; and Earmarked reserves of £4.683 million (2021/22 £15.764 million) due to the allocation of funding to the IJB by the Scottish Government for a range of purposes including the Primary Care Improvement Fund, Action 15 Mental Health Workers and the Community Living Change Fund. A copy of the 2022/23 Moray IJB annual report and accounts can be viewed at the following link"
Grampian-2022-2023,23,B PERFORMANCE ANALYSIS,,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS 3.2 Grampian Health Board performance against statutory financial targets The results of each of the partner organisations, although consolidated with the main Board accounts for group accounting purposes, do not form part of the statutory financial target set for NHS Boards by the Scottish Government Health and Social Care Directorates (SGHSCD) and are, therefore, not taken in to account when considering the rmance. NHS Boards have the ability to manage small under/overspends (within 1% of resource) within an overall breakeven position across a three year period (2022-25). The Scottish Government require NHS Boards to meet three key financial targets: Revenue Resource Limit (RRL) a resource budget for ongoing activity; Capital Resource Limit (CRL) a resource budget for net capital investment; and Cash Requirement a financing requirement to fund the cash consequences of ongoing activity and net capital investment. Health Boards are required to contain their net expenditure within these limits, and report on any variation. Grampian Health Board has successfully achieved all three financial targets for the year reporting an outturn against these set limits as follows: Statutory Financial Targets Limit as set Actual Variance by SGHSCD Outturn (Deficit)/Sur plus Core Revenue Resource Limit 1,292,491 1,291,879 612 Non-Core Revenue Resource Limit 46,200 46,200 - Total Revenue Resource Limit 1,338,691 1,338,079 612 Core Capital Resource Limit 104,268 104,268 - Non-Core Capital Resource Limit 1,068 1,068 - Total Capital Resource Limit 105,336 105,336 - Cash Requirement 1,546,903 1,546,903 - Memorandum for In Year Out-turn £000"
Grampian-2022-2023,24,B PERFORMANCE ANALYSIS,,allow_list_reject(score=0.377),"PERFORMANCE REPORT B PERFORMANCE ANALYSIS Financial flexibility: funding banked with/(provided by) 0 Scottish Government Underlying Surplus against Core Revenue Resource Limit 612 0% Further details on non-core elements of expenditure, typically comprising items of a technical accounting nature, can be found in the Summary of Resource Outturn. The Board is reporting an underspend of £0.612 million against a target of breakeven on the revenue resource limit for 2022/23. A one year financial plan was submitted to Scottish Government by NHS Grampian on 21 March 2022. Due to the impact of the COVID-19 pandemic, the normal Scottish Government three year Annual Operating and financial planning process was amended. NHS Boards were required to submit three year financial plans to the Scottish Government in August 2022 covering the period April 2022 - March 2025. Subsequently there has been a return of formal three year financial planning from 2023-24 with an updated financial plan submitted to the Scottish Government in March 2023 covering the period 2023 - 2026. The Board has also updated the five year Medium Term Financial Strategy. The Core Revenue Resource Limit for 2022/23 was also adjusted to include the £0.131 million surplus carried forward from 2021/22. 3.2.1 Efficiency Savings Efficiency savings of £10.2 million were achieved against a target of £5.4 million for NHS Grampian services. The main savings achieved were in the areas of travel costs, review of old orders, reduction of untaken annual leave accrual, procurement, cross boundary charges and skill mix in non-clinical areas. Recurring savings amounted to £2.5 million and non-recurring of £7.7 million. 3.2.2 Financial impact of the COVID-19 Pandemic The impact of the pandemic was less severe on services in 2022/23 than in 2021/22 but significant costs were still incurred across a range of services, including the COVID vaccination programme and the provision of sustainability payments to social care providers. Expenditure of £23.1 million was incurred on non-delegated Board services. The main areas incurring additional costs were in additional Personal Protective equipment, vaccinations programmes, testing and contact tracing and staffing and other costs to support infection control measures. The level of expenditure was fully funded by the Scottish Government. 0 million (2021/22 £62.4 million). The largest element of this was on support payments for Social Care providers. The expenditure was funded from the earmarked Covid reserve held by"
