doc_id,section_title,unknown_subsection_pages
Grampian-2020-2021,Accountability Report,3
Grampian-2020-2021,Financial Statements,2
Grampian-2020-2021,PERFORMANCE REPORT,1
Grampian-2020-2021,Performance Report,32
Grampian-2020-2021,Unknown,1
Grampian-2021-2022,2021 - 2022,1
Grampian-2021-2022,Accountability Report,3
Grampian-2021-2022,Financial Statements,2
Grampian-2021-2022,PERFORMANCE REPORT,1
Grampian-2021-2022,Performance Report,12
Grampian-2022-2023,Accountability Report,5
Grampian-2022-2023,FINANCIAL STATEMENTS,63
Grampian-2022-2023,Financial Statements,1
Grampian-2022-2023,Performance Report,1
Grampian-2022-2023,| FINANCIAL STATEMENTS,2
Grampian-2023-2024,DIRECTIONS BY THE SCOTTISH MINISTERS,2
Grampian-2023-2024,FINANCIAL STATEMENTS,65
Grampian-2023-2024,HIGHER PAID EMPLOYEES REMUNERATION,4
Grampian-2023-2024,Performance Report,1
Grampian-2023-2024,STAFF REPORT,4
Grampian-2023-2024,Scottish Parliament,5
Grampian-2023-2024,Staff Numbers and Costs,1
Grampian-2023-2024,The Trade Union (Facility Time Publication Requirements) Regulations 2017 requirement,1
Grampian-2023-2024,Unknown,1
Grampian-2024-2025,DIRECTIONS BY THE SCOTTISH MINISTERS,2
Grampian-2024-2025,FINANCIAL STATEMENTS,67
Grampian-2024-2025,Performance Report,1
Grampian-2024-2025,Performance Report and Governance Statement,1
Grampian-2024-2025,Scottish Parliament,4
Grampian-2024-2025,Unknown,1
