query_id,question,expected_pages,expected_answer,rank,chunk_id,pages,is_table,section_title,subsection_title,snippet
Q_EFF_2024_01,How many milestones were significantly delayed in Q4 (March 2025)?,"[11, 12]",12,1,p0011_001,[11],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,of enquiry and learning rather than to be punitive or seek to assign blame for under-performance. - Dual purpose of performance reporting within NHS Grampian; it is not only to provide assurance to the Board and Chief Executive Team whether targets are being m
Q_EFF_2024_01,How many milestones were significantly delayed in Q4 (March 2025)?,"[11, 12]",12,2,p0013_000,[13],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"PERFORMANCE REPORT B PERFORMANCE ANALYSIS Places: - 50% of 34 Deliverables reported in Q4 are complete, 12% reported as significant delay, 3% postponed, and 35% minor delay. - Progress on areas such as o Achieved savings target through Value & Sustainability o"
Q_EFF_2024_01,How many milestones were significantly delayed in Q4 (March 2025)?,"[11, 12]",12,3,p0015_000,[15],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,PERFORMANCE REPORT B PERFORMANCE ANALYSIS The pressures on Emergency Departments (ED) during the year continue to be well publicised across the NHS in Scotland and the UK. Our local analysis suggests that the ED performance was acting as the bellwether of the 
Q_EFF_2024_01,How many milestones were significantly delayed in Q4 (March 2025)?,"[11, 12]",12,4,p0062_000,[62],False,ACCOUNTABILITY REPORT,A CORPORATE GOVERNANCE REPORT,"A CORPORATE GOVERNANCE REPORT In support of this, a Three Year delivery plan 2024-2027 was agreed by the Board as part of a single coherent plan including the Annual Delivery Plan and Medium Term Financial Plan for NHS Grampian. This Delivery plan sets out how"
Q_EFF_2024_01,How many milestones were significantly delayed in Q4 (March 2025)?,"[11, 12]",12,5,p0170_000,[170],False,FINANCIAL STATEMENTS,Unknown,Note 24. EVENTS AFTER THE END OF THE REPORTING PERIOD There are no significant events which have occurred after the 31 March 2025 which would have a material effect on the financial statements.
Q_EFF_2024_01,How many milestones were significantly delayed in Q4 (March 2025)?,"[11, 12]",12,6,p0014_000,[14],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,PERFORMANCE REPORT B PERFORMANCE ANALYSIS 2. Non-Financial Performance Summary 2.1 Key National Treatment Targets Our performance against the key national treatment targets is summarised below: Attendance at Accident & Emergency 98% of patients should wait no 
Q_EFF_2024_01,How many milestones were significantly delayed in Q4 (March 2025)?,"[11, 12]",12,7,p0009_000,[9],False,PERFORMANCE REPORT,A OVERVIEW,PERFORMANCE REPORT A OVERVIEW Summary of Key Issues Affecting Overall Delivery - Enduring levels of high pressure across the system which impact on the need to re- prioritise capacity and reduce ability to release time to engage with core service delivery has 
Q_EFF_2024_01,How many milestones were significantly delayed in Q4 (March 2025)?,"[11, 12]",12,8,p0016_000,[16],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"PERFORMANCE REPORT B PERFORMANCE ANALYSIS  Patients spent 5,237 days in hospital due to delays in discharge in Grampian in March 2025 (5,106 in March 2024). Treatment Time Guarantee 12-week in-patient / daycase Treatment Time Guarantee (TTG) and 12 weeks for "
Q_EFF_2024_01,How many milestones were significantly delayed in Q4 (March 2025)?,"[11, 12]",12,9,p0142_000,[142],False,FINANCIAL STATEMENTS,Unknown,"9. TRADE AND OTHER RECEIVABLES (Cont) 2024/25 2023/24 Movements on the provision for impairment of receivables are as follows: £’000 £’000 At 1 April 3,882 3,783 Provision for debtors impairment 0 99 Receivables written off during the year as uncollectable 35 "
Q_EFF_2024_01,How many milestones were significantly delayed in Q4 (March 2025)?,"[11, 12]",12,10,p0016_001,[16],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,2024/25.  The proportion of patients waiting over 12 weeks for in-patient/daycase treatment was 73.1% at the end of 2024/25 (77.1% at the end of 2023/24)  58.1% of patients on the new outpatient list were waiting over 12 weeks at the end of 2024/25 (54.1% at
Q_EFF_2024_02,What proportion of milestones were complete at the end of Q4 (March 2025)?,"[11, 12]",45%,1,p0011_001,[11],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,of enquiry and learning rather than to be punitive or seek to assign blame for under-performance. - Dual purpose of performance reporting within NHS Grampian; it is not only to provide assurance to the Board and Chief Executive Team whether targets are being m
Q_EFF_2024_02,What proportion of milestones were complete at the end of Q4 (March 2025)?,"[11, 12]",45%,2,p0170_000,[170],False,FINANCIAL STATEMENTS,Unknown,Note 24. EVENTS AFTER THE END OF THE REPORTING PERIOD There are no significant events which have occurred after the 31 March 2025 which would have a material effect on the financial statements.
Q_EFF_2024_02,What proportion of milestones were complete at the end of Q4 (March 2025)?,"[11, 12]",45%,3,p0013_000,[13],False,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"PERFORMANCE REPORT B PERFORMANCE ANALYSIS Places: - 50% of 34 Deliverables reported in Q4 are complete, 12% reported as significant delay, 3% postponed, and 35% minor delay. - Progress on areas such as o Achieved savings target through Value & Sustainability o"
