query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_subsection,expected_pages,evidence_layout,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_2025_FIN_01,FIN,2025,1,1,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[29],['Grampian-2024-2025:p0029_000'],['Grampian-2024-2025']
Q_2025_FIN_01,FIN,2025,1,3,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,"[29, 30, 28]","['Grampian-2024-2025:p0029_000', 'Grampian-2024-2025:p0030_000', 'Grampian-2024-2025:p0028_001']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_2025_FIN_01,FIN,2025,1,5,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,0.25,0.3333333333333333,1.0,0.2,0.3333333333333333,"[29, 30, 28, 9]","['Grampian-2024-2025:p0029_000', 'Grampian-2024-2025:p0030_000', 'Grampian-2024-2025:p0028_001', 'Grampian-2024-2025:p0029_002', 'Grampian-2024-2025:p0009_001']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_2025_FIN_01,FIN,2025,1,10,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,0.14285714285714285,0.3333333333333333,1.0,0.2,0.3333333333333333,"[29, 30, 28, 9, 35, 81, 62]","['Grampian-2024-2025:p0029_000', 'Grampian-2024-2025:p0030_000', 'Grampian-2024-2025:p0028_001', 'Grampian-2024-2025:p0029_002', 'Grampian-2024-2025:p0009_001']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_2025_FIN_02,FIN,2025,2,1,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2024-2025:p0028_001'],['Grampian-2024-2025']
Q_2025_FIN_02,FIN,2025,2,3,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[28, 29]","['Grampian-2024-2025:p0028_001', 'Grampian-2024-2025:p0029_000', 'Grampian-2024-2025:p0028_000']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_2025_FIN_02,FIN,2025,2,5,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,"[28, 29, 94, 30]","['Grampian-2024-2025:p0028_001', 'Grampian-2024-2025:p0029_000', 'Grampian-2024-2025:p0028_000', 'Grampian-2024-2025:p0094_001', 'Grampian-2024-2025:p0030_002']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_2025_FIN_02,FIN,2025,2,10,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,0.125,1.0,1.0,0.2,1.0,"[28, 29, 94, 30, 4, 148, 3, 14]","['Grampian-2024-2025:p0028_001', 'Grampian-2024-2025:p0029_000', 'Grampian-2024-2025:p0028_000', 'Grampian-2024-2025:p0094_001', 'Grampian-2024-2025:p0030_002']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_2025_FIN_03,FIN,2025,3,1,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2024-2025:p0028_001'],['Grampian-2024-2025']
Q_2025_FIN_03,FIN,2025,3,3,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[28, 29]","['Grampian-2024-2025:p0028_001', 'Grampian-2024-2025:p0029_000', 'Grampian-2024-2025:p0028_000']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
