query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_pages,route_intent,route_confidence,gold_exists,gold_chunk_count,gold_pages_found,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_13_FIN_01,FIN,13,1,1,number,Grampian-2012-2013,,[69],table_metric_financial_statements,0.8,True,6,[69],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[69],['Grampian-2012-2013:p0069_001'],['Grampian-2012-2013']
Q_13_FIN_01,FIN,13,1,3,number,Grampian-2012-2013,,[69],table_metric_financial_statements,0.8,True,6,[69],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,"[69, 46, 26]","['Grampian-2012-2013:p0069_001', 'Grampian-2012-2013:table_ocr_p0046', 'Grampian-2012-2013:table_ocr_p0026']","['Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013']"
Q_13_FIN_01,FIN,13,1,5,number,Grampian-2012-2013,,[69],table_metric_financial_statements,0.8,True,6,[69],hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,"[69, 46, 26, 10, 5]","['Grampian-2012-2013:p0069_001', 'Grampian-2012-2013:table_ocr_p0046', 'Grampian-2012-2013:table_ocr_p0026', 'Grampian-2012-2013:p0010_001', 'Grampian-2012-2013:p0005_002']","['Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013']"
Q_13_FIN_01,FIN,13,1,10,number,Grampian-2012-2013,,[69],table_metric_financial_statements,0.8,True,6,[69],hit,0,0.0,[],1.0,0.125,1.0,1.0,0.2,1.0,"[69, 46, 26, 10, 5, 47, 72, 73]","['Grampian-2012-2013:p0069_001', 'Grampian-2012-2013:table_ocr_p0046', 'Grampian-2012-2013:table_ocr_p0026', 'Grampian-2012-2013:p0010_001', 'Grampian-2012-2013:p0005_002']","['Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013']"
Q_13_FIN_02,FIN,13,2,1,number,Grampian-2012-2013,,[43],table_metric_staff_costs,0.85,True,1,[43],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[69],['Grampian-2012-2013:p0069_001'],['Grampian-2012-2013']
Q_13_FIN_02,FIN,13,2,3,number,Grampian-2012-2013,,[43],table_metric_staff_costs,0.85,True,1,[43],hit,0,0.0,[],1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,"[69, 43, 47]","['Grampian-2012-2013:p0069_001', 'Grampian-2012-2013:table_ocr_p0043', 'Grampian-2012-2013:table_ocr_p0047']","['Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013']"
Q_13_FIN_02,FIN,13,2,5,number,Grampian-2012-2013,,[43],table_metric_staff_costs,0.85,True,1,[43],hit,0,0.0,[],1.0,0.25,0.5,1.0,0.2,0.5,"[69, 43, 47, 72]","['Grampian-2012-2013:p0069_001', 'Grampian-2012-2013:table_ocr_p0043', 'Grampian-2012-2013:table_ocr_p0047', 'Grampian-2012-2013:p0069_000', 'Grampian-2012-2013:p0072_002']","['Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013']"
Q_13_FIN_02,FIN,13,2,10,number,Grampian-2012-2013,,[43],table_metric_staff_costs,0.85,True,1,[43],hit,0,0.0,[],1.0,0.125,0.5,1.0,0.1,0.5,"[69, 43, 47, 72, 5, 16, 46, 15]","['Grampian-2012-2013:p0069_001', 'Grampian-2012-2013:table_ocr_p0043', 'Grampian-2012-2013:table_ocr_p0047', 'Grampian-2012-2013:p0069_000', 'Grampian-2012-2013:p0072_002']","['Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013']"
Q_13_FIN_03,FIN,13,3,1,number,Grampian-2012-2013,,[10],table_metric_financial_targets,0.85,True,3,[10],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[10],['Grampian-2012-2013:p0010_001'],['Grampian-2012-2013']
Q_13_FIN_03,FIN,13,3,3,number,Grampian-2012-2013,,[10],table_metric_financial_targets,0.85,True,3,[10],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[10, 72]","['Grampian-2012-2013:p0010_001', 'Grampian-2012-2013:p0010_000', 'Grampian-2012-2013:p0072_002']","['Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013']"
Q_13_FIN_03,FIN,13,3,5,number,Grampian-2012-2013,,[10],table_metric_financial_targets,0.85,True,3,[10],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.4,1.0,"[10, 72, 69]","['Grampian-2012-2013:p0010_001', 'Grampian-2012-2013:p0010_000', 'Grampian-2012-2013:p0072_002', 'Grampian-2012-2013:p0069_000', 'Grampian-2012-2013:p0069_001']","['Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013']"
Q_13_FIN_03,FIN,13,3,10,number,Grampian-2012-2013,,[10],table_metric_financial_targets,0.85,True,3,[10],hit,0,0.0,[],1.0,0.14285714285714285,1.0,1.0,0.2,1.0,"[10, 72, 69, 27, 12, 5, 6]","['Grampian-2012-2013:p0010_001', 'Grampian-2012-2013:p0010_000', 'Grampian-2012-2013:p0072_002', 'Grampian-2012-2013:p0069_000', 'Grampian-2012-2013:p0069_001']","['Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013']"
Q_13_FIN_04,FIN,13,4,1,number,Grampian-2012-2013,,[10],table_metric_financial_targets,0.85,True,3,[10],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[10],['Grampian-2012-2013:p0010_001'],['Grampian-2012-2013']
Q_13_FIN_04,FIN,13,4,3,number,Grampian-2012-2013,,[10],table_metric_financial_targets,0.85,True,3,[10],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[10, 67]","['Grampian-2012-2013:p0010_001', 'Grampian-2012-2013:p0067_000', 'Grampian-2012-2013:p0010_000']","['Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013']"
Q_13_FIN_04,FIN,13,4,5,number,Grampian-2012-2013,,[10],table_metric_financial_targets,0.85,True,3,[10],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.4,1.0,"[10, 67, 72]","['Grampian-2012-2013:p0010_001', 'Grampian-2012-2013:p0067_000', 'Grampian-2012-2013:p0010_000', 'Grampian-2012-2013:p0067_001', 'Grampian-2012-2013:p0072_002']","['Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013', 'Grampian-2012-2013']"
