arm,query_id,doc_id,difficulty,gold_pages,predicted_pages_top3,hit3,strict_correct,quote_support,failure_mode,extracted_answer,cited_pages,cited_spans,context_chars_used,latency_ms,table_query,violations
baseline,Q_2021_GOV_03,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"32,340",[28],"[""Non-Core Revenue Resource Limit 32,340 32,340 -""]",4304,6781.471,0,
baseline,Q_2021_CAP_02,Grampian-2020-2021,LEX,[32],"[28, 32]",1,1,1,strict_correct,£43.316 million,[32],"[""capital funding from the SGHSCD (\u00a343.316 million, see note 7d)""]",4384,3867.909,0,
baseline,Q_2021_IJB_07,Grampian-2020-2021,LEX,[31],"[17, 30, 132]",0,0,0,did_not_identify_gold,,[],[],3000,2149.28,0,
baseline,Q_2021_IJB_03,Grampian-2020-2021,LEX,[27],"[27, 28, 34]",1,1,1,strict_correct,£20.449 million,[27],"[""Aberdeenshire IJB reported a surplus for the year of \u00a320.449 million (2019/20: deficit of \u00a31.288m) increasing the retained reserves carried forward to \u00a320.566 million (2019/20 \u00a30.117 million).""]",3648,4684.335,0,
baseline,Q_2021_IJB_01,Grampian-2020-2021,MOD,[26],"[23, 88, 132]",0,0,0,did_not_identify_gold,,[],[],3279,3111.295,0,
baseline,Q_2021_SAV_P2,Grampian-2020-2021,MOD,[29],[29],1,0,0,did_not_identify_gold,,[],[],4113,5106.895,0,parse_or_generation_error
baseline,Q_2021_GOV_01,Grampian-2020-2021,STR,[28],"[7, 28]",1,0,0,did_not_identify_gold,,[],[],4318,5666.168,0,parse_or_generation_error
baseline,Q_2021_IJB_06,Grampian-2020-2021,LEX,[27],"[26, 27]",1,0,0,did_not_identify_gold,,[],[],2106,2308.313,0,
baseline,Q_2021_IJB_P1,Grampian-2020-2021,STR,[27],"[23, 28]",0,0,0,did_not_identify_gold,NHS Grampian,[28],"[""Recognising the exceptional nature of 2020-21 and the impact on delivery of financial plans, additional non- repayable funding was provided to support in-year financial balance across all NHS Boards. NHS Grampian received \u00a347.3m.""]",2551,3911.197,0,
baseline,Q_2021_COV_03,Grampian-2020-2021,LEX,[30],"[30, 63]",1,0,0,did_not_identify_gold,,[],[],4257,5237.574,0,parse_or_generation_error
baseline,Q_2022_GOV_P1,Grampian-2021-2022,STR,[31],"[31, 53]",1,0,0,did_not_identify_gold,,[],[],4027,4991.901,0,evidence_span_not_in_context
baseline,Q_2022_SAV_P2,Grampian-2021-2022,MOD,[22],"[22, 28]",1,0,0,did_not_identify_gold,,[],[],4242,5399.232,0,parse_or_generation_error
baseline,Q_2022_IJB_05,Grampian-2021-2022,LEX,[20],"[17, 20, 146]",1,1,1,strict_correct,£10.679 million,[20],"[""Moray IJB reported a surplus for the year of \u00a310.679 million (2020/21: \u00a36.155m) increasing the retained reserves carried forward to \u00a317.021 million (2020/21 \u00a36.342 million).""]",1772,3844.152,0,
baseline,Q_2022_FIN_01,Grampian-2021-2022,STR,[21],"[12, 21, 22]",1,0,0,did_not_identify_gold,,[],[],4254,3520.442,0,
baseline,Q_2022_STR_04,Grampian-2021-2022,STR,[15],"[15, 46]",1,0,0,did_not_identify_gold,,[],[],4038,5224.826,0,evidence_span_not_in_context
baseline,Q_2022_AE_P1,Grampian-2021-2022,MOD,[12],"[12, 32]",1,0,0,did_not_identify_gold,,[],[],3629,5419.065,0,parse_or_generation_error
baseline,Q_2022_IJB_02,Grampian-2021-2022,LEX,[19],"[19, 20, 140]",1,1,1,strict_correct,£51.392 million,[19],"[""increasing the retained reserves carried forward to \u00a351.392 million (2020/21 \u00a318.236 million).""]",2309,3889.821,0,
baseline,Q_2022_GOPES_01,Grampian-2021-2022,STR,[54],"[37, 38, 54]",1,0,0,did_not_identify_gold,,[],[],4051,5326.99,0,parse_or_generation_error
baseline,Q_2022_FIN_08,Grampian-2021-2022,LEX,[23],"[27, 71, 80]",0,0,0,did_not_identify_gold,2.7%,[71],"[""Median (Total pay & benefits) | 33.0 | 32.2 | 2.7%""]",7561,8587.19,0,
baseline,Q_2022_FIN_P2,Grampian-2021-2022,MOD,[23],"[23, 71, 76]",1,0,0,did_not_identify_gold,,[],[],7593,10357.105,0,parse_or_generation_error
baseline,Q_2023_FIN_15,Grampian-2022-2023,LEX,[25],"[21, 24, 25]",1,1,1,strict_correct,3.97,[25],"[""Test & Protect 3.97""]",3107,3324.424,0,
baseline,Q_2023_FIN_14,Grampian-2022-2023,LEX,[25],"[24, 25, 78]",1,0,0,did_not_identify_gold,,[],[],3717,5674.006,0,parse_or_generation_error
baseline,Q_2023_FIN_P2,Grampian-2022-2023,MOD,[25],"[25, 67]",1,0,0,did_not_identify_gold,,[],[],3510,5928.945,0,evidence_span_not_in_context
baseline,Q_2023_FIN_02,Grampian-2022-2023,LEX,[23],"[23, 24]",1,1,1,strict_correct,"1,291,879",[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3632,4543.893,0,
baseline,Q_2023_FIN_16,Grampian-2022-2023,LEX,[25],"[24, 77]",0,0,0,did_not_identify_gold,£23.1 million,[24],"[""Expenditure of \u00a323.1 million was incurred on non-delegated Board services. The main areas incurring additional costs were in additional Personal Protective equipment, vaccinations programmes, testing and contact tracing and staffing and other costs to support infection control measures.""]",3578,4428.532,0,
baseline,Q_2023_FIN_07,Grampian-2022-2023,STR,[25],"[20, 78]",0,0,0,did_not_identify_gold,,[],[],3711,3901.772,0,
