variant_base,doc_id,query_id,hit3_base,gold_pages_base,pred_pages_base,variant_fix12,hit3_fix12,gold_pages_fix12,pred_pages_fix12,delta_hit
baseline,Grampian-2020-2021,Q_2021_FIN_01,1,[28],"[28, 29]",fix12,1,[28],"[28, 29]",0
baseline,Grampian-2020-2021,Q_2021_FIN_02,1,[28],"[28, 29]",fix12,1,[28],"[28, 29]",0
baseline,Grampian-2020-2021,Q_2021_FIN_03,1,[28],"[28, 89]",fix12,1,[28],"[28, 105]",0
baseline,Grampian-2020-2021,Q_2021_FIN_P1,1,[28],"[28, 89]",fix12,1,[28],"[28, 105]",0
baseline,Grampian-2020-2021,Q_2021_FIN_04,1,[28],"[28, 34]",fix12,1,[28],"[28, 34, 84]",0
baseline,Grampian-2020-2021,Q_2021_FIN_05,1,[28],"[28, 89]",fix12,1,[28],"[28, 115]",0
baseline,Grampian-2020-2021,Q_2021_FIN_06,1,[28],"[28, 89]",fix12,1,[28],"[28, 115]",0
baseline,Grampian-2020-2021,Q_2021_FIN_07,1,[28],"[27, 28]",fix12,1,[28],"[28, 105, 115]",0
baseline,Grampian-2020-2021,Q_2021_FIN_P2,1,[28],"[28, 89]",fix12,1,[28],"[28, 89]",0
baseline,Grampian-2020-2021,Q_2021_SAV_01,1,[29],[29],fix12,1,[29],"[29, 40]",0
baseline,Grampian-2020-2021,Q_2021_SAV_02,0,[29],"[34, 127]",fix12,0,[29],"[34, 68]",0
baseline,Grampian-2020-2021,Q_2021_SAV_03,1,[29],"[27, 28, 29]",fix12,1,[29],"[28, 29]",0
baseline,Grampian-2020-2021,Q_2021_SAV_04,1,[29],[29],fix12,1,[29],[29],0
baseline,Grampian-2020-2021,Q_2021_SAV_P1,1,[29],[29],fix12,1,[29],[29],0
baseline,Grampian-2020-2021,Q_2021_COV_01,1,[29],"[28, 29]",fix12,1,[29],"[28, 29]",0
baseline,Grampian-2020-2021,Q_2021_COV_02,0,[29],[30],fix12,0,[29],[30],0
baseline,Grampian-2020-2021,Q_2021_COV_P1,1,[28],"[7, 24, 28]",fix12,0,[28],"[7, 14, 24]",-1
baseline,Grampian-2020-2021,Q_2021_IJB_01,0,[26],"[80, 82, 132]",fix12,0,[26],"[80, 82, 132]",0
baseline,Grampian-2020-2021,Q_2021_IJB_02,1,[26],"[26, 27, 132]",fix12,1,[26],"[26, 27, 132]",0
baseline,Grampian-2020-2021,Q_2021_IJB_03,1,[27],"[27, 34, 82]",fix12,1,[27],"[27, 34, 84]",0
baseline,Grampian-2020-2021,Q_2021_IJB_04,1,[27],"[27, 132]",fix12,1,[27],"[27, 132]",0
baseline,Grampian-2020-2021,Q_2021_IJB_05,1,[27],"[23, 27, 28]",fix12,1,[27],"[23, 27, 28]",0
baseline,Grampian-2020-2021,Q_2021_IJB_06,1,[27],"[26, 27]",fix12,1,[27],"[26, 27]",0
