variant,doc_id,query_id,hit3,pred_pages,gold_pages
baseline,Grampian-2020-2021,Q_2021_FIN_01,1,"[28, 29]",[28]
baseline,Grampian-2020-2021,Q_2021_FIN_02,1,"[28, 29]",[28]
baseline,Grampian-2020-2021,Q_2021_FIN_03,1,"[28, 89]",[28]
baseline,Grampian-2020-2021,Q_2021_FIN_P1,1,"[28, 89]",[28]
baseline,Grampian-2020-2021,Q_2021_FIN_04,1,"[28, 34]",[28]
baseline,Grampian-2020-2021,Q_2021_FIN_05,1,"[28, 89]",[28]
baseline,Grampian-2020-2021,Q_2021_FIN_06,1,"[28, 89]",[28]
baseline,Grampian-2020-2021,Q_2021_FIN_07,1,"[27, 28]",[28]
baseline,Grampian-2020-2021,Q_2021_FIN_P2,1,"[28, 89]",[28]
baseline,Grampian-2020-2021,Q_2021_SAV_01,1,[29],[29]
baseline,Grampian-2020-2021,Q_2021_SAV_02,0,"[34, 127]",[29]
baseline,Grampian-2020-2021,Q_2021_SAV_03,1,"[27, 28, 29]",[29]
baseline,Grampian-2020-2021,Q_2021_SAV_04,1,[29],[29]
baseline,Grampian-2020-2021,Q_2021_SAV_P1,1,[29],[29]
baseline,Grampian-2020-2021,Q_2021_COV_01,1,"[28, 29]",[29]
baseline,Grampian-2020-2021,Q_2021_COV_02,0,[30],[29]
baseline,Grampian-2020-2021,Q_2021_COV_P1,1,"[7, 24, 28]",[28]
baseline,Grampian-2020-2021,Q_2021_IJB_01,0,"[80, 82, 132]",[26]
baseline,Grampian-2020-2021,Q_2021_IJB_02,1,"[26, 27, 132]",[26]
baseline,Grampian-2020-2021,Q_2021_IJB_03,1,"[27, 34, 82]",[27]
baseline,Grampian-2020-2021,Q_2021_IJB_04,1,"[27, 132]",[27]
baseline,Grampian-2020-2021,Q_2021_IJB_05,1,"[23, 27, 28]",[27]
baseline,Grampian-2020-2021,Q_2021_IJB_06,1,"[26, 27]",[27]
baseline,Grampian-2020-2021,Q_2021_IJB_P1,0,"[28, 30]",[27]
baseline,Grampian-2020-2021,Q_2021_GOV_01,1,"[7, 28]",[28]
baseline,Grampian-2020-2021,Q_2021_GOV_02,1,"[28, 31]",[28]
baseline,Grampian-2020-2021,Q_2021_STR_01,0,"[38, 74, 127]",[6]
baseline,Grampian-2020-2021,Q_2021_STR_02,1,"[6, 30, 89]",[6]
baseline,Grampian-2020-2021,Q_2021_STR_03,1,"[6, 38, 63]",[6]
baseline,Grampian-2020-2021,Q_2021_STR_P1,0,"[22, 38, 131]",[6]
baseline,Grampian-2020-2021,Q_2021_CAP_01,1,"[24, 32, 73]",[32]
baseline,Grampian-2020-2021,Q_2021_CAP_02,1,"[28, 32]",[32]
baseline,Grampian-2020-2021,Q_2021_CAP_P1,1,"[28, 29]",[28]
baseline,Grampian-2020-2021,Q_2021_COV_03,1,"[30, 63]",[30]
baseline,Grampian-2020-2021,Q_2021_COV_04,1,"[30, 60, 63]",[30]
baseline,Grampian-2020-2021,Q_2021_GOV_03,1,"[28, 89]",[28]
baseline,Grampian-2020-2021,Q_2021_IJB_07,0,"[17, 30, 132]",[31]
baseline,Grampian-2020-2021,Q_2021_IJB_P2,1,"[29, 30]",[30]
baseline,Grampian-2020-2021,Q_2021_FIN_08,1,"[30, 75, 122]",[30]
baseline,Grampian-2020-2021,Q_2021_CAP_03,1,"[4, 32]",[32]
baseline,Grampian-2020-2021,Q_2021_COV_P2,1,"[29, 30]",[29]
baseline,Grampian-2020-2021,Q_2021_STR_04,1,"[7, 8, 17]",[17]
baseline,Grampian-2020-2021,Q_2021_GOV_04,0,"[88, 114]",[23]
baseline,Grampian-2020-2021,Q_2021_STR_05,1,"[7, 34, 38]",[7]
baseline,Grampian-2020-2021,Q_2021_STR_P2,1,"[7, 28, 34]",[7]
baseline,Grampian-2020-2021,Q_2021_CAP_04,1,"[30, 32, 63]",[32]
baseline,Grampian-2020-2021,Q_2021_FIN_P3,0,"[28, 29]",[30]
baseline,Grampian-2020-2021,Q_2021_GOV_P1,0,"[37, 89, 132]",[23]
baseline,Grampian-2020-2021,Q_2021_SAV_P2,1,[29],[29]
baseline,Grampian-2020-2021,Q_2021_IJB_08,1,"[26, 27, 132]",[26]
baseline,Grampian-2021-2022,Q_2022_FIN_01,1,"[12, 21, 22]",[21]
baseline,Grampian-2021-2022,Q_2022_FIN_02,1,"[21, 22]",[21]
baseline,Grampian-2021-2022,Q_2022_FIN_03,1,"[21, 22]",[21]
baseline,Grampian-2021-2022,Q_2022_FIN_04,1,"[21, 22]",[21]
baseline,Grampian-2021-2022,Q_2022_FIN_05,1,"[21, 22]",[21]
baseline,Grampian-2021-2022,Q_2022_FIN_06,1,"[21, 22]",[21]
baseline,Grampian-2021-2022,Q_2022_FIN_07,1,"[21, 22]",[21]
baseline,Grampian-2021-2022,Q_2022_FIN_P1,0,"[21, 27, 36]",[22]
baseline,Grampian-2021-2022,Q_2022_SAV_01,1,"[22, 43]",[22]
baseline,Grampian-2021-2022,Q_2022_SAV_02,0,"[27, 28, 31]",[22]
baseline,Grampian-2021-2022,Q_2022_SAV_03,1,"[22, 135]",[22]
baseline,Grampian-2021-2022,Q_2022_SAV_04,1,"[9, 22]",[22]
