id,x,y,label,text,page,section,category,highlight
scottish_budget_2024_25:p0001_000,-2.3793194,-6.374854,SPICE BRIEFING,"SPICe Briefing Pàipear-ullachaidh SPICe Scottish Budget 2024-25 Ross Burnside, Ailsa Burn-Murdoch, Andrew Feeney-Seale, Nicola Hudson, Greig Liddell, Rob Watts This briefing considers the Scottish Government's spending…",1,SPICE BRIEFING,Financial narrative,False
scottish_budget_2024_25:p0002_000,-5.8010783,-8.093538,CONTEXT FOR SCOTTISH BUDGET 2024-25________________________________________9,Contents Executive Summary: Income tax increases and budget cuts to fund government priorities _______________________________________________________________4 Context for Scottish Budget 2024-25________________________…,2,CONTEXT FOR SCOTTISH BUDGET 2024-25________________________________________9,Financial narrative,False
scottish_budget_2024_25:p0003_000,-5.019261,-8.740389,THE SCOTTISH FISCAL COMMISSION FORECASTS _________________________________41,Other devolved taxes _________________________________________________39 The Scottish Fiscal Commission forecasts _________________________________41 Economic growth and living standards ________________________________…,3,THE SCOTTISH FISCAL COMMISSION FORECASTS _________________________________41,Strategy / narrative,False
scottish_budget_2024_25:p0004_000,-2.415886,-6.422327,EXECUTIVE SUMMARY: INCOME TAX,"Executive Summary: Income tax increases and budget cuts to fund government priorities ""Values"" drive Budget choices It is often said that budgets are about choices, a representation of the priorities of the government o…",4,EXECUTIVE SUMMARY: INCOME TAX,Financial narrative,False
scottish_budget_2024_25:p0004_001,-1.7110823,-7.013249,EXECUTIVE SUMMARY: INCOME TAX,"of 75% rates relief to the retail, hospitality and leisure sector in England. Social Security has also been prioritised. Devolved benefits, as in the rest of the UK, will increase by 6.7% next year, but the Scottish Bud…",4,EXECUTIVE SUMMARY: INCOME TAX,Financial narrative,False
scottish_budget_2024_25:p0004_002,-1.5488276,-6.637582,EXECUTIVE SUMMARY: INCOME TAX,"period in 2028-29. Spending £1 billion over and above the block grant addition to the Scottish budget, means that there is £1 billion less for the other parts of the Scottish budget. Another budgetary choice. Local gove…",4,EXECUTIVE SUMMARY: INCOME TAX,Financial narrative,False
scottish_budget_2024_25:p0004_003,-1.7486656,-6.6440454,EXECUTIVE SUMMARY: INCOME TAX,"funding formally ring-fenced for national policies is also smaller than last year. This should allow councils more flexibility over how they spend their allocations, and allow them to use more of their budgets to fund l…",4,EXECUTIVE SUMMARY: INCOME TAX,Financial narrative,False
scottish_budget_2024_25:p0005_000,-6.0254073,-9.223195,EXECUTIVE SUMMARY: INCOME TAX,"Additional funding of £144 million is provided to local authorities next year, provided they all agree to freeze council tax. With the freeze applying to all properties, including the largest and most expensive, it is a…",5,EXECUTIVE SUMMARY: INCOME TAX,Financial narrative,False
scottish_budget_2024_25:p0005_001,-6.088066,-8.928873,EXECUTIVE SUMMARY: INCOME TAX,"and to invest £3.5 billion in the AHSP this parliamentary term. Those with the ""broadest shoulders"" are certainly contributing more when it comes to income tax. The introduction of the new ""advanced"" rate tax band means…",5,EXECUTIVE SUMMARY: INCOME TAX,Financial narrative,False
scottish_budget_2024_25:p0005_002,-6.1974273,-8.81238,EXECUTIVE SUMMARY: INCOME TAX,"in the rest of the UK. This accounts for just over half (51%) of all Scottish taxpayers. Above this earnings level, Scottish taxpayers pay more tax than they would in the rest of the UK and the gap widens rapidly for th…",5,EXECUTIVE SUMMARY: INCOME TAX,Financial narrative,False
