config,max_context_chunks,max_context_chars,doc_id,query_id,difficulty,generation_status,generated_answer,answer_correct,answer_status,latency_ms,context_chunks_used,context_chars_used,context_truncated
chunks3,3,9000,Grampian-2020-2021,Q_2021_GOV_03,LEX,ok,"32,340",False,partial,7724.518,3,5150,True
chunks3,3,9000,Grampian-2020-2021,Q_2021_CAP_02,LEX,insufficient_evidence,,False,incorrect,2655.305,3,3809,True
chunks3,3,9000,Grampian-2020-2021,Q_2021_IJB_07,LEX,insufficient_evidence,,False,incorrect,1879.412,3,2887,True
chunks3,3,9000,Grampian-2020-2021,Q_2021_IJB_03,LEX,ok,Aberdeenshire IJB reported a surplus for the year of £20.449 million (2019/20: deficit of £1.288m) increasing the retained reserves carried forward to £20.566 million (2019/20 £0.117 million).,True,correct,6106.469,3,4428,True
chunks3,3,9000,Grampian-2020-2021,Q_2021_IJB_01,MOD,insufficient_evidence,,False,incorrect,5660.231,3,5049,True
chunks3,3,9000,Grampian-2020-2021,Q_2021_SAV_P2,MOD,ok,"Efficiency savings of £6.7 million were achieved against a target of £12.2 million for NHS Grampian services, mainly from the reduction in the use of agency medical and nursing staff compared to 2019/20.",False,partial,4229.035,3,4109,True
chunks3,3,9000,Grampian-2020-2021,Q_2021_GOV_01,STR,ok,The three statutory financial targets NHS Boards must meet according to the 2020/21 annual report are: Revenue Resource Limit (RRL) – a resource budget for ongoing activity; Capital Resource Limit (CRL) – a resource budget for net capital investment; and Cash Requirement – a financing requirement to fund the cash consequences of ongoing activity and net capital investment.,False,partial,5159.644,3,4314,True
chunks3,3,9000,Grampian-2020-2021,Q_2021_IJB_06,LEX,insufficient_evidence,,False,incorrect,1892.391,3,2160,True
chunks3,3,9000,Grampian-2020-2021,Q_2021_IJB_P1,STR,insufficient_evidence,,False,incorrect,2496.562,3,3117,True
chunks3,3,9000,Grampian-2020-2021,Q_2021_COV_03,LEX,ok,"Independent Primary care service costs increased by £8.6 million mainly due to the additional support available to General Medical, Pharmaceutical, General Dental and General Ophthalmic practitioners, to ensure accessibility and sustainability of critical primary care services throughout the COVID-19 pandemic.",True,correct,4240.694,3,4253,True
