arm,doc_id,query_id,difficulty,hit3,chunk_text_truncations,context_truncated,context_chars_used,expected_answer_in_trimmed_context
baseline,Grampian-2020-2021,Q_2021_FIN_01,MOD,1,0,False,6899,False
baseline,Grampian-2020-2021,Q_2021_FIN_02,MOD,1,0,False,7109,False
baseline,Grampian-2020-2021,Q_2021_FIN_03,MOD,1,0,False,7026,False
baseline,Grampian-2020-2021,Q_2021_FIN_P1,MOD,1,0,False,7029,False
baseline,Grampian-2020-2021,Q_2021_FIN_04,MOD,1,0,False,7059,False
baseline,Grampian-2020-2021,Q_2021_FIN_05,LEX,1,0,False,6984,False
baseline,Grampian-2020-2021,Q_2021_FIN_06,LEX,1,0,False,7096,False
baseline,Grampian-2020-2021,Q_2021_FIN_07,LEX,1,0,False,5630,False
baseline,Grampian-2020-2021,Q_2021_FIN_P2,STR,1,0,False,7090,False
baseline,Grampian-2020-2021,Q_2021_SAV_01,MOD,1,0,False,6874,True
baseline,Grampian-2020-2021,Q_2021_SAV_02,MOD,0,0,False,6485,False
baseline,Grampian-2020-2021,Q_2021_SAV_03,MOD,1,0,False,6590,True
baseline,Grampian-2020-2021,Q_2021_SAV_04,LEX,1,0,False,6226,True
baseline,Grampian-2020-2021,Q_2021_SAV_P1,STR,1,0,False,6972,False
baseline,Grampian-2020-2021,Q_2021_COV_01,MOD,1,0,False,6427,True
baseline,Grampian-2020-2021,Q_2021_COV_02,LEX,0,0,False,5890,True
baseline,Grampian-2020-2021,Q_2021_COV_P1,MOD,1,0,False,6883,False
baseline,Grampian-2020-2021,Q_2021_IJB_01,MOD,0,0,False,4463,True
baseline,Grampian-2020-2021,Q_2021_IJB_02,LEX,1,0,False,3734,True
baseline,Grampian-2020-2021,Q_2021_IJB_03,LEX,1,0,False,6427,True
baseline,Grampian-2020-2021,Q_2021_IJB_04,LEX,1,0,False,3734,True
baseline,Grampian-2020-2021,Q_2021_IJB_05,MOD,1,0,False,4968,True
baseline,Grampian-2020-2021,Q_2021_IJB_06,LEX,1,0,False,3734,True
baseline,Grampian-2020-2021,Q_2021_IJB_P1,STR,0,0,False,5054,False
baseline,Grampian-2020-2021,Q_2021_GOV_01,STR,1,0,False,7161,False
baseline,Grampian-2020-2021,Q_2021_GOV_02,LEX,1,0,False,6193,False
baseline,Grampian-2020-2021,Q_2021_STR_01,STR,1,0,False,6930,True
baseline,Grampian-2020-2021,Q_2021_STR_02,LEX,1,0,False,6288,True
baseline,Grampian-2020-2021,Q_2021_STR_03,LEX,1,0,False,5872,True
