query_id,k,answer_type,num_variants,expected_pages,recall_at_k,precision_at_k,mrr_at_k,top_pages
Q_2024_FIN_01,1,number,1,[26],1.0,1.0,1.0,[26]
Q_2024_FIN_01,3,number,1,[26],1.0,0.3333333333333333,1.0,"[26, 27, 64]"
Q_2024_FIN_01,5,number,1,[26],1.0,0.2,1.0,"[26, 27, 64, 23, 154]"
Q_2024_FIN_01,10,number,1,[26],1.0,0.14285714285714285,1.0,"[26, 27, 64, 23, 154, 28, 147]"
Q_2024_FIN_02,1,number,1,"[26, 118]",0.0,0.0,0.0,[64]
Q_2024_FIN_02,3,number,1,"[26, 118]",1.0,0.3333333333333333,0.3333333333333333,"[64, 4, 26]"
Q_2024_FIN_02,5,number,1,"[26, 118]",1.0,0.2,0.3333333333333333,"[64, 4, 26, 27, 28]"
Q_2024_FIN_02,10,number,1,"[26, 118]",1.0,0.125,0.3333333333333333,"[64, 4, 26, 27, 28, 65, 154, 22]"
Q_2024_FIN_03,1,number,2,[26],0.0,0.0,0.0,[27]
Q_2024_FIN_03,3,number,2,[26],1.0,0.5,0.5,"[27, 26]"
Q_2024_FIN_03,5,number,2,[26],1.0,0.25,0.5,"[27, 26, 28, 64]"
Q_2024_FIN_03,10,number,2,[26],1.0,0.14285714285714285,0.5,"[27, 26, 28, 64, 147, 29, 31]"
Q_2024_FIN_04,1,number,2,[27],1.0,1.0,1.0,[27]
Q_2024_FIN_04,3,number,2,[27],1.0,0.3333333333333333,1.0,"[27, 26, 31]"
Q_2024_FIN_04,5,number,2,[27],1.0,0.25,1.0,"[27, 26, 31, 25]"
Q_2024_FIN_04,10,number,2,[27],1.0,0.125,1.0,"[27, 26, 31, 25, 70, 147, 30, 109]"
Q_2024_FIN_05,1,number,1,[27],0.0,0.0,0.0,[28]
Q_2024_FIN_05,3,number,1,[27],1.0,0.3333333333333333,0.3333333333333333,"[28, 8, 27]"
Q_2024_FIN_05,5,number,1,[27],1.0,0.25,0.3333333333333333,"[28, 8, 27, 39]"
Q_2024_FIN_05,10,number,1,[27],1.0,0.1111111111111111,0.3333333333333333,"[28, 8, 27, 39, 64, 53, 70, 4, 154]"
Q_2024_FIN_06,1,number,1,[26],1.0,1.0,1.0,[26]
Q_2024_FIN_06,3,number,1,[26],1.0,0.3333333333333333,1.0,"[26, 31, 128]"
Q_2024_FIN_06,5,number,1,[26],1.0,0.2,1.0,"[26, 31, 128, 83, 74]"
Q_2024_FIN_06,10,number,1,[26],1.0,0.1,1.0,"[26, 31, 128, 83, 74, 75, 118, 77, 145, 27]"
Q_2024_FIN_07,1,number,1,[29],0.0,0.0,0.0,[22]
Q_2024_FIN_07,3,number,1,[29],0.0,0.0,0.0,"[22, 23, 154]"
Q_2024_FIN_07,5,number,1,[29],0.0,0.0,0.0,"[22, 23, 154, 64, 27]"
Q_2024_FIN_07,10,number,1,[29],0.0,0.0,0.0,"[22, 23, 154, 64, 27, 28, 31, 85]"
Q_2024_FIN_08,1,number,1,[29],0.0,0.0,0.0,[28]
Q_2024_FIN_08,3,number,1,[29],1.0,0.5,0.5,"[28, 29]"
Q_2024_FIN_08,5,number,1,[29],1.0,0.25,0.5,"[28, 29, 64, 154]"
Q_2024_FIN_08,10,number,1,[29],1.0,0.125,0.5,"[28, 29, 64, 154, 4, 85, 27, 65]"
Q_2024_FIN_09,1,number,2,[27],1.0,1.0,1.0,[27]
Q_2024_FIN_09,3,number,2,[27],1.0,0.3333333333333333,1.0,"[27, 70, 25]"
Q_2024_FIN_09,5,number,2,[27],1.0,0.2,1.0,"[27, 70, 25, 31, 24]"
Q_2024_FIN_09,10,number,2,[27],1.0,0.14285714285714285,1.0,"[27, 70, 25, 31, 24, 53, 108]"
Q_2024_FIN_10,1,number,1,[29],1.0,1.0,1.0,[29]
Q_2024_FIN_10,3,number,1,[29],1.0,0.5,1.0,"[29, 64]"
Q_2024_FIN_10,5,number,1,[29],1.0,0.3333333333333333,1.0,"[29, 64, 27]"
Q_2024_FIN_10,10,number,1,[29],1.0,0.125,1.0,"[29, 64, 27, 85, 73, 23, 26, 123]"
Q_2024_FIN_11,1,number,1,[30],0.0,0.0,0.0,[138]
Q_2024_FIN_11,3,number,1,[30],0.0,0.0,0.0,"[138, 116]"
Q_2024_FIN_11,5,number,1,[30],0.0,0.0,0.0,"[138, 116, 85]"
Q_2024_FIN_11,10,number,1,[30],0.0,0.0,0.0,"[138, 116, 85, 110, 147, 64, 65, 154]"
Q_2024_FIN_12,1,number,1,[23],1.0,1.0,1.0,[23]
Q_2024_FIN_12,3,number,1,[23],1.0,0.5,1.0,"[23, 22]"
Q_2024_FIN_12,5,number,1,[23],1.0,0.3333333333333333,1.0,"[23, 22, 154]"
Q_2024_FIN_12,10,number,1,[23],1.0,0.14285714285714285,1.0,"[23, 22, 154, 106, 50, 85, 100]"
Q_2024_FIN_13,1,number,1,[5],0.0,0.0,0.0,[85]
Q_2024_FIN_13,3,number,1,[5],0.0,0.0,0.0,"[85, 84, 65]"
Q_2024_FIN_13,5,number,1,[5],0.0,0.0,0.0,"[85, 84, 65, 34, 64]"
Q_2024_FIN_13,10,number,1,[5],0.0,0.0,0.0,"[85, 84, 65, 34, 64, 154, 78, 27, 48]"
Q_2024_FIN_14,1,number,1,[118],0.0,0.0,0.0,[31]
