query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_pages,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_2023_FIN_01,FIN,2023,1,1,number,Grampian-2022-2023,PERFORMANCE REPORT,[23],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[23],['Grampian-2022-2023:p0023_000'],['Grampian-2022-2023']
Q_2023_FIN_01,FIN,2023,1,3,number,Grampian-2022-2023,PERFORMANCE REPORT,[23],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[23, 24]","['Grampian-2022-2023:p0023_000', 'Grampian-2022-2023:p0024_000', 'Grampian-2022-2023:p0023_001']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_2023_FIN_01,FIN,2023,1,5,number,Grampian-2022-2023,PERFORMANCE REPORT,[23],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.4,1.0,"[23, 24, 148]","['Grampian-2022-2023:p0023_000', 'Grampian-2022-2023:p0024_000', 'Grampian-2022-2023:p0023_001', 'Grampian-2022-2023:p0024_001', 'Grampian-2022-2023:p0148_002']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_2023_FIN_01,FIN,2023,1,10,number,Grampian-2022-2023,PERFORMANCE REPORT,[23],hit,0,0.0,[],1.0,0.125,1.0,1.0,0.2,1.0,"[23, 24, 148, 7, 151, 30, 6, 20]","['Grampian-2022-2023:p0023_000', 'Grampian-2022-2023:p0024_000', 'Grampian-2022-2023:p0023_001', 'Grampian-2022-2023:p0024_001', 'Grampian-2022-2023:p0148_002']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_2023_FIN_02,FIN,2023,2,1,number,Grampian-2022-2023,PERFORMANCE REPORT,[23],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[23],['Grampian-2022-2023:p0023_001'],['Grampian-2022-2023']
Q_2023_FIN_02,FIN,2023,2,3,number,Grampian-2022-2023,PERFORMANCE REPORT,[23],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[23, 24]","['Grampian-2022-2023:p0023_001', 'Grampian-2022-2023:p0024_000', 'Grampian-2022-2023:p0023_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_2023_FIN_02,FIN,2023,2,5,number,Grampian-2022-2023,PERFORMANCE REPORT,[23],hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,"[23, 24, 93, 121]","['Grampian-2022-2023:p0023_001', 'Grampian-2022-2023:p0024_000', 'Grampian-2022-2023:p0023_000', 'Grampian-2022-2023:p0093_000', 'Grampian-2022-2023:p0121_003']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_2023_FIN_02,FIN,2023,2,10,number,Grampian-2022-2023,PERFORMANCE REPORT,[23],hit,0,0.0,[],1.0,0.16666666666666666,1.0,1.0,0.2,1.0,"[23, 24, 93, 121, 27, 141]","['Grampian-2022-2023:p0023_001', 'Grampian-2022-2023:p0024_000', 'Grampian-2022-2023:p0023_000', 'Grampian-2022-2023:p0093_000', 'Grampian-2022-2023:p0121_003']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_2023_FIN_03,FIN,2023,3,1,number,Grampian-2022-2023,PERFORMANCE REPORT,[23],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[23],['Grampian-2022-2023:p0023_001'],['Grampian-2022-2023']
Q_2023_FIN_03,FIN,2023,3,3,number,Grampian-2022-2023,PERFORMANCE REPORT,[23],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[23, 24]","['Grampian-2022-2023:p0023_001', 'Grampian-2022-2023:p0024_000', 'Grampian-2022-2023:p0023_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
