query_id,k,answer_type,num_variants,expected_pages,recall_at_k,precision_at_k,mrr_at_k,top_pages
Q_2024_FIN_01,1,number,2,[27],1.0,1.0,1.0,[27]
Q_2024_FIN_01,3,number,2,[27],1.0,0.3333333333333333,1.0,"[27, 26, 31]"
Q_2024_FIN_01,5,number,2,[27],1.0,0.25,1.0,"[27, 26, 31, 25]"
Q_2024_FIN_01,10,number,2,[27],1.0,0.125,1.0,"[27, 26, 31, 25, 70, 147, 30, 109]"
Q_2024_FIN_02,1,number,2,[27],0.0,0.0,0.0,[31]
Q_2024_FIN_02,3,number,2,[27],1.0,0.3333333333333333,0.5,"[31, 27, 26]"
Q_2024_FIN_02,5,number,2,[27],1.0,0.25,0.5,"[31, 27, 26, 109]"
Q_2024_FIN_02,10,number,2,[27],1.0,0.14285714285714285,0.5,"[31, 27, 26, 109, 25, 102, 75]"
Q_2024_FIN_03,1,number,1,[27],1.0,1.0,1.0,[27]
Q_2024_FIN_03,3,number,1,[27],1.0,0.3333333333333333,1.0,"[27, 70, 39]"
Q_2024_FIN_03,5,number,1,[27],1.0,0.25,1.0,"[27, 70, 39, 154]"
Q_2024_FIN_03,10,number,1,[27],1.0,0.125,1.0,"[27, 70, 39, 154, 28, 99, 148, 151]"
Q_2024_FIN_04,1,number,2,[27],1.0,1.0,1.0,[27]
Q_2024_FIN_04,3,number,2,[27],1.0,0.3333333333333333,1.0,"[27, 31, 26]"
Q_2024_FIN_04,5,number,2,[27],1.0,0.25,1.0,"[27, 31, 26, 30]"
Q_2024_FIN_04,10,number,2,[27],1.0,0.1111111111111111,1.0,"[27, 31, 26, 30, 128, 29, 25, 77, 118]"
Q_2024_FIN_P1,1,number,1,[27],1.0,1.0,1.0,[27]
Q_2024_FIN_P1,3,number,1,[27],1.0,0.3333333333333333,1.0,"[27, 26, 31]"
Q_2024_FIN_P1,5,number,1,[27],1.0,0.25,1.0,"[27, 26, 31, 83]"
Q_2024_FIN_P1,10,number,1,[27],1.0,0.1111111111111111,1.0,"[27, 26, 31, 83, 70, 29, 108, 145, 118]"
Q_2024_FIN_05,1,number,1,[26],1.0,1.0,1.0,[26]
Q_2024_FIN_05,3,number,1,[26],1.0,0.3333333333333333,1.0,"[26, 31, 27]"
Q_2024_FIN_05,5,number,1,[26],1.0,0.2,1.0,"[26, 31, 27, 25, 85]"
Q_2024_FIN_05,10,number,1,[26],1.0,0.125,1.0,"[26, 31, 27, 25, 85, 145, 128, 23]"
Q_2024_FIN_06,1,number,1,[29],0.0,0.0,0.0,[22]
Q_2024_FIN_06,3,number,1,[29],0.0,0.0,0.0,"[22, 154, 23]"
Q_2024_FIN_06,5,number,1,[29],0.0,0.0,0.0,"[22, 154, 23, 85]"
Q_2024_FIN_06,10,number,1,[29],0.0,0.0,0.0,"[22, 154, 23, 85, 27, 64, 31, 28]"
Q_2024_FIN_07,1,number,1,[29],0.0,0.0,0.0,[31]
Q_2024_FIN_07,3,number,1,[29],1.0,0.3333333333333333,0.5,"[31, 29, 25]"
Q_2024_FIN_07,5,number,1,[29],1.0,0.25,0.5,"[31, 29, 25, 27]"
Q_2024_FIN_07,10,number,1,[29],1.0,0.1111111111111111,0.5,"[31, 29, 25, 27, 26, 22, 128, 102, 23]"
Q_2024_FIN_P2,1,number,1,[29],0.0,0.0,0.0,[23]
Q_2024_FIN_P2,3,number,1,[29],0.0,0.0,0.0,"[23, 28, 154]"
Q_2024_FIN_P2,5,number,1,[29],0.0,0.0,0.0,"[23, 28, 154, 22]"
Q_2024_FIN_P2,10,number,1,[29],0.0,0.0,0.0,"[23, 28, 154, 22, 64, 4, 27]"
Q_2024_SAV_01,1,number,1,[29],0.0,0.0,0.0,[37]
Q_2024_SAV_01,3,number,1,[29],0.0,0.0,0.0,"[37, 28, 31]"
Q_2024_SAV_01,5,number,1,[29],0.0,0.0,0.0,"[37, 28, 31, 27, 25]"
Q_2024_SAV_01,10,number,1,[29],1.0,0.1111111111111111,0.16666666666666666,"[37, 28, 31, 27, 25, 29, 26, 32, 83]"
Q_2024_SAV_02,1,number,1,[29],0.0,0.0,0.0,[131]
Q_2024_SAV_02,3,number,1,[29],0.0,0.0,0.0,"[131, 25, 147]"
Q_2024_SAV_02,5,number,1,[29],0.0,0.0,0.0,"[131, 25, 147, 31, 27]"
Q_2024_SAV_02,10,number,1,[29],0.0,0.0,0.0,"[131, 25, 147, 31, 27, 148, 159, 30, 145]"
Q_2024_SAV_03,1,number,1,[29],0.0,0.0,0.0,[131]
Q_2024_SAV_03,3,number,1,[29],0.0,0.0,0.0,"[131, 159, 25]"
Q_2024_SAV_03,5,number,1,[29],0.0,0.0,0.0,"[131, 159, 25, 31]"
Q_2024_SAV_03,10,number,1,[29],0.0,0.0,0.0,"[131, 159, 25, 31, 30, 27, 147, 148, 118]"
Q_2024_SAV_P1,1,number,1,[29],0.0,0.0,0.0,[25]
Q_2024_SAV_P1,3,number,1,[29],0.0,0.0,0.0,"[25, 31, 30]"
Q_2024_SAV_P1,5,number,1,[29],0.0,0.0,0.0,"[25, 31, 30, 77, 118]"
Q_2024_SAV_P1,10,number,1,[29],0.0,0.0,0.0,"[25, 31, 30, 77, 118, 27, 131, 147, 75]"
Q_2024_IJB_01,1,number,2,[24],1.0,1.0,1.0,[24]
Q_2024_IJB_01,3,number,2,[24],1.0,0.5,1.0,"[24, 25]"
Q_2024_IJB_01,5,number,2,[24],1.0,0.25,1.0,"[24, 25, 70, 22]"
Q_2024_IJB_01,10,number,2,[24],1.0,0.1111111111111111,1.0,"[24, 25, 70, 22, 154, 29, 30, 27, 99]"
Q_2024_IJB_02,1,number,2,[24],1.0,1.0,1.0,[24]
Q_2024_IJB_02,3,number,2,[24],1.0,0.5,1.0,"[24, 25]"
Q_2024_IJB_02,5,number,2,[24],1.0,0.25,1.0,"[24, 25, 30, 154]"
Q_2024_IJB_02,10,number,2,[24],1.0,0.125,1.0,"[24, 25, 30, 154, 99, 22, 5, 39]"
Q_2024_IJB_03,1,number,2,[24],1.0,1.0,1.0,[24]
