id,doc_id,start_year,report_year,section,text_preview,page_start_num,page_end_num,x,y
Grampian-2004-2005:p0001_000,Grampian-2004-2005,2004,2005,59 /54¢/0,Annual Accounts _~- OU 135¢90 59 /54¢/0 19410*50 a 06¢ OO + sl o 2) gs es - ' + of Breet lls ae ty Age 123006¢710 +t + + + + + 2004 / 2005,1,1,6.494998,6.4769754
Grampian-2004-2005:p0003_000,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,Contents 1 Directors’ Report 7 Statement of The Chief Executive’s Responsibilities as The Accountable Officer of Grampian Health Board 8 Statement of Health Board Members’ Responsibilities 9 Statement on Internal Contro…,3,3,-0.4058508,-3.7102692
Grampian-2004-2005:p0004_000,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,Grampian Health Board Directors’ Report Accounting Convention The Annual Accounts and Notes have been prepared under the historical cost convention modified to reflect changes in the value of fixed assets and in accorda…,4,4,-0.12809883,3.51789
Grampian-2004-2005:p0004_001,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"been accounted for using merger accounting, as directed by the Resource Accounting Manual. The main effect of this is that the results and cashflows of the trusts for the prior year are brought into account as if the tr…",4,4,0.15118201,1.718304
Grampian-2004-2005:p0004_002,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,improved health services within a framework of clear strategic direction and rigorous performance management. The role of NHS Grampian is to: - improve and protect the health of the local people; - improve health servic…,4,4,0.29901242,1.5068583
Grampian-2004-2005:p0005_000,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"Following the dissolution of Grampian Primary Care NHS Trust and Grampian University Hospitals NHS Trust on 31 March 2004, an integrated health system was established in NHS Grampian with effect from 1 April 2004. Key a…",5,5,0.25027418,1.6301185
Grampian-2004-2005:p0005_001,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"patients; - Improved working with local authority partners to plan the seamless provision of services across traditional health / local authority boundaries, including preparation for the creation of Community Health Pa…",5,5,0.18158777,1.6571655
Grampian-2004-2005:p0005_002,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"March 2005 as required by the NHS Reform (Scotland) Act 2004. A new Scottish Health Council has been established as part of NHS Quality Improvement Scotland, and local advisory councils will also be established in each…",5,5,-1.1999024,2.4947965
Grampian-2004-2005:p0005_003,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"Information Technology, £1.1million on a modular theatre at Woodend Hospital, and £6million on infrastructure projects. Financial targets The Scottish Executive continues to set 3 financial limits at a health board leve…",5,5,1.8354039,2.8119273
Grampian-2004-2005:p0006_000,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"Performance against financial targets Limit as set Actual Variance by SEHD Out-turn (Over)/Under £000 £000 £000 Revenue Resource limit 609,577 620,351 (10,774) Capital Resource Limit 10,487 10,054 433 Cash Requirement 5…",6,6,1.7874718,2.0384102
Grampian-2004-2005:p0006_001,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,Grampian to sustainable financial balance. Payment policy NHS Grampian makes every effort to comply with the principles of the CBI prompt payment code by processing suppliers’ invoices for payment without unnecessary de…,6,6,-2.2905405,1.3175045
