query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_subsection,expected_pages,evidence_layout,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,table_chunk_hit_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_15_FIN_01,FIN,15,1,1,number,Grampian-2014-2015,,,[31],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,[31],['Grampian-2014-2015:table_ocr_p0031'],['Grampian-2014-2015']
Q_15_FIN_01,FIN,15,1,3,number,Grampian-2014-2015,,,[31],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,"[31, 71, 50]","['Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:p0071_002', 'Grampian-2014-2015:table_ocr_p0050']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_01,FIN,15,1,5,number,Grampian-2014-2015,,,[31],,hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,1.0,"[31, 71, 50, 34, 17]","['Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:p0071_002', 'Grampian-2014-2015:table_ocr_p0050', 'Grampian-2014-2015:table_ocr_p0034', 'Grampian-2014-2015:table_ocr_p0017']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_01,FIN,15,1,10,number,Grampian-2014-2015,,,[31],,hit,0,0.0,[],1.0,0.1111111111111111,1.0,1.0,0.1,1.0,1.0,"[31, 71, 50, 34, 17, 16, 49, 32, 74]","['Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:p0071_002', 'Grampian-2014-2015:table_ocr_p0050', 'Grampian-2014-2015:table_ocr_p0034', 'Grampian-2014-2015:table_ocr_p0017']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_03,FIN,15,3,1,number,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,[17],['Grampian-2014-2015:table_ocr_p0017'],['Grampian-2014-2015']
Q_15_FIN_03,FIN,15,3,3,number,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,"[17, 31, 16]","['Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:p0016_004']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_03,FIN,15,3,5,number,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,0.25,1.0,1.0,0.2,1.0,1.0,"[17, 31, 16, 36]","['Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:p0016_004', 'Grampian-2014-2015:p0036_002', 'Grampian-2014-2015:p0036_001']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_03,FIN,15,3,10,number,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,0.125,1.0,1.0,0.1,1.0,1.0,"[17, 31, 16, 36, 32, 71, 26, 52]","['Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:table_ocr_p0031', 'Grampian-2014-2015:p0016_004', 'Grampian-2014-2015:p0036_002', 'Grampian-2014-2015:p0036_001']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
Q_15_FIN_04,FIN,15,4,1,number,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,[17],['Grampian-2014-2015:table_ocr_p0017'],['Grampian-2014-2015']
Q_15_FIN_04,FIN,15,4,3,number,Grampian-2014-2015,,,[17],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,"[17, 16, 31]","['Grampian-2014-2015:table_ocr_p0017', 'Grampian-2014-2015:p0016_004', 'Grampian-2014-2015:table_ocr_p0031']","['Grampian-2014-2015', 'Grampian-2014-2015', 'Grampian-2014-2015']"
