max_context_chunks,max_context_chars,doc_id,query_id,difficulty,answer_type,generation_status,generation_model,latency_ms,context_chunks_used,context_chars_used,context_truncated,citations_valid,answer_correct,answer_status,generated_answer_empty
3,6000,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,3804.702,3,3437,True,1,True,correct,False
3,6000,Grampian-2020-2021,Q_2021_FIN_02,MOD,number,insufficient_evidence,qwen2.5:7b-instruct,2989.535,3,4358,True,0,False,incorrect,True
3,6000,Grampian-2020-2021,Q_2021_FIN_P2,STR,text,ok,qwen2.5:7b-instruct,4192.375,3,4290,True,1,False,partial,False
3,6000,Grampian-2021-2022,Q_2022_FIN_04,LEX,number,ok,qwen2.5:7b-instruct,4056.787,3,4298,True,1,True,correct,False
3,6000,Grampian-2021-2022,Q_2022_SAV_03,MOD,number,ok,qwen2.5:7b-instruct,3600.421,3,4283,True,1,True,correct,False
3,6000,Grampian-2021-2022,Q_2022_IJB_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,1883.126,3,3183,True,0,False,incorrect,True
3,6000,Grampian-2022-2023,Q_2023_DEL_02,LEX,number,ok,qwen2.5:7b-instruct,3279.623,3,2890,True,1,True,correct,False
3,6000,Grampian-2022-2023,Q_2023_DEL_01,MOD,number,ok,qwen2.5:7b-instruct,2626.223,3,2756,True,1,False,partial,False
3,6000,Grampian-2022-2023,Q_2023_PLAN_02,STR,text,insufficient_evidence,qwen2.5:7b-instruct,2224.079,3,3584,True,0,False,incorrect,True
3,6000,Grampian-2023-2024,Q_2024_SAV_01,LEX,number,ok,qwen2.5:7b-instruct,3746.61,3,4202,True,1,True,correct,False
3,6000,Grampian-2023-2024,Q_2024_AE_04,MOD,number,insufficient_evidence,qwen2.5:7b-instruct,2695.97,3,3314,True,0,False,incorrect,True
3,6000,Grampian-2023-2024,Q_2024_IJB_08,STR,number,insufficient_evidence,qwen2.5:7b-instruct,1569.657,3,1400,True,0,False,incorrect,True
3,6000,Grampian-2024-2025,Q_2025_FIN_07,LEX,number,insufficient_evidence,qwen2.5:7b-instruct,2328.037,3,3410,True,0,False,incorrect,True
3,6000,Grampian-2024-2025,Q_2025_SAV_P1,MOD,text,ok,qwen2.5:7b-instruct,4643.519,3,3853,True,1,False,partial,False
3,6000,Grampian-2024-2025,Q_2025_FIN_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,2439.075,3,3423,True,0,False,incorrect,True
3,9000,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,3698.624,3,3437,True,1,True,correct,False
3,9000,Grampian-2020-2021,Q_2021_FIN_02,MOD,number,insufficient_evidence,qwen2.5:7b-instruct,3273.288,3,4358,True,0,False,incorrect,True
3,9000,Grampian-2020-2021,Q_2021_FIN_P2,STR,text,ok,qwen2.5:7b-instruct,4705.261,3,4290,True,1,False,partial,False
3,9000,Grampian-2021-2022,Q_2022_FIN_04,LEX,number,ok,qwen2.5:7b-instruct,4491.273,3,4298,True,1,True,correct,False
3,9000,Grampian-2021-2022,Q_2022_SAV_03,MOD,number,ok,qwen2.5:7b-instruct,4048.501,3,4283,True,1,True,correct,False
3,9000,Grampian-2021-2022,Q_2022_IJB_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,2106.483,3,3183,True,0,False,incorrect,True
3,9000,Grampian-2022-2023,Q_2023_DEL_02,LEX,number,ok,qwen2.5:7b-instruct,3493.523,3,2890,True,1,True,correct,False
3,9000,Grampian-2022-2023,Q_2023_DEL_01,MOD,number,ok,qwen2.5:7b-instruct,2842.456,3,2756,True,1,False,partial,False
3,9000,Grampian-2022-2023,Q_2023_PLAN_02,STR,text,insufficient_evidence,qwen2.5:7b-instruct,2403.513,3,3584,True,0,False,incorrect,True
3,9000,Grampian-2023-2024,Q_2024_SAV_01,LEX,number,ok,qwen2.5:7b-instruct,3949.016,3,4202,True,1,True,correct,False
3,9000,Grampian-2023-2024,Q_2024_AE_04,MOD,number,insufficient_evidence,qwen2.5:7b-instruct,2888.013,3,3314,True,0,False,incorrect,True
3,9000,Grampian-2023-2024,Q_2024_IJB_08,STR,number,insufficient_evidence,qwen2.5:7b-instruct,1611.166,3,1400,True,0,False,incorrect,True
3,9000,Grampian-2024-2025,Q_2025_FIN_07,LEX,number,insufficient_evidence,qwen2.5:7b-instruct,2390.26,3,3410,True,0,False,incorrect,True
3,9000,Grampian-2024-2025,Q_2025_SAV_P1,MOD,text,ok,qwen2.5:7b-instruct,4690.198,3,3853,True,1,False,partial,False
3,9000,Grampian-2024-2025,Q_2025_FIN_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,2673.673,3,3423,True,0,False,incorrect,True
3,12000,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,3647.864,3,3437,True,1,True,correct,False
3,12000,Grampian-2020-2021,Q_2021_FIN_02,MOD,number,insufficient_evidence,qwen2.5:7b-instruct,3401.869,3,4358,True,0,False,incorrect,True
