max_context_chunks,max_context_chars,doc_id,query_id,difficulty,answer_type,generation_status,generation_model,latency_ms,context_chunks_used,context_chars_used,context_truncated,citations_valid,answer_correct,answer_status,generated_answer_empty
3,6000,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,3545.231,3,3437,True,1,True,correct,False
3,6000,Grampian-2020-2021,Q_2021_FIN_02,MOD,number,insufficient_evidence,qwen2.5:7b-instruct,2945.922,3,4358,True,0,False,incorrect,True
3,6000,Grampian-2020-2021,Q_2021_FIN_P2,STR,text,ok,qwen2.5:7b-instruct,4305.141,3,4290,True,1,False,partial,False
3,6000,Grampian-2021-2022,Q_2022_FIN_04,LEX,number,ok,qwen2.5:7b-instruct,4175.274,3,4298,True,1,True,correct,False
3,6000,Grampian-2021-2022,Q_2022_SAV_03,MOD,number,ok,qwen2.5:7b-instruct,3749.908,3,4283,True,1,True,correct,False
3,6000,Grampian-2021-2022,Q_2022_IJB_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,1920.083,3,3183,True,0,False,incorrect,True
3,6000,Grampian-2022-2023,Q_2023_DEL_02,LEX,number,ok,qwen2.5:7b-instruct,3323.476,3,2890,True,1,True,correct,False
3,6000,Grampian-2022-2023,Q_2023_DEL_01,MOD,number,ok,qwen2.5:7b-instruct,2618.767,3,2756,True,1,False,partial,False
3,6000,Grampian-2022-2023,Q_2023_PLAN_02,STR,text,insufficient_evidence,qwen2.5:7b-instruct,2223.199,3,3584,True,0,False,incorrect,True
3,6000,Grampian-2023-2024,Q_2024_SAV_01,LEX,number,ok,qwen2.5:7b-instruct,3747.485,3,4202,True,1,True,correct,False
3,6000,Grampian-2023-2024,Q_2024_AE_04,MOD,number,insufficient_evidence,qwen2.5:7b-instruct,2738.132,3,3314,True,0,False,incorrect,True
3,6000,Grampian-2023-2024,Q_2024_IJB_08,STR,number,insufficient_evidence,qwen2.5:7b-instruct,1541.963,3,1400,True,0,False,incorrect,True
3,6000,Grampian-2024-2025,Q_2025_FIN_07,LEX,number,insufficient_evidence,qwen2.5:7b-instruct,2304.749,3,3410,True,0,False,incorrect,True
3,6000,Grampian-2024-2025,Q_2025_SAV_P1,MOD,text,ok,qwen2.5:7b-instruct,4549.15,3,3853,True,1,False,partial,False
3,6000,Grampian-2024-2025,Q_2025_FIN_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,2427.721,3,3423,True,0,False,incorrect,True
3,9000,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,3598.603,3,3437,True,1,True,correct,False
3,9000,Grampian-2020-2021,Q_2021_FIN_02,MOD,number,insufficient_evidence,qwen2.5:7b-instruct,3307.194,3,4358,True,0,False,incorrect,True
3,9000,Grampian-2020-2021,Q_2021_FIN_P2,STR,text,ok,qwen2.5:7b-instruct,4668.483,3,4290,True,1,False,partial,False
3,9000,Grampian-2021-2022,Q_2022_FIN_04,LEX,number,ok,qwen2.5:7b-instruct,4549.348,3,4298,True,1,True,correct,False
3,9000,Grampian-2021-2022,Q_2022_SAV_03,MOD,number,ok,qwen2.5:7b-instruct,4075.843,3,4283,True,1,True,correct,False
3,9000,Grampian-2021-2022,Q_2022_IJB_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,2134.958,3,3183,True,0,False,incorrect,True
3,9000,Grampian-2022-2023,Q_2023_DEL_02,LEX,number,ok,qwen2.5:7b-instruct,3550.925,3,2890,True,1,True,correct,False
3,9000,Grampian-2022-2023,Q_2023_DEL_01,MOD,number,ok,qwen2.5:7b-instruct,2779.767,3,2756,True,1,False,partial,False
3,9000,Grampian-2022-2023,Q_2023_PLAN_02,STR,text,insufficient_evidence,qwen2.5:7b-instruct,2333.316,3,3584,True,0,False,incorrect,True
3,9000,Grampian-2023-2024,Q_2024_SAV_01,LEX,number,ok,qwen2.5:7b-instruct,3866.843,3,4202,True,1,True,correct,False
