query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_pages,route_intent,route_confidence,gold_exists,gold_chunk_count,gold_pages_found,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_DEF_2023_01,DEF,2023,1,1,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),[21],unknown,0.5,True,1,[21],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[22],['Grampian-2022-2023:p0022_000'],['Grampian-2022-2023']
Q_DEF_2023_01,DEF,2023,1,3,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),[21],unknown,0.5,True,1,[21],hit,0,0.0,[],1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,"[22, 21, 26]","['Grampian-2022-2023:p0022_000', 'Grampian-2022-2023:p0021_000', 'Grampian-2022-2023:p0026_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_01,DEF,2023,1,5,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),[21],unknown,0.5,True,1,[21],hit,0,0.0,[],1.0,0.2,0.5,1.0,0.2,0.5,"[22, 21, 26, 35, 148]","['Grampian-2022-2023:p0022_000', 'Grampian-2022-2023:p0021_000', 'Grampian-2022-2023:p0026_000', 'Grampian-2022-2023:p0035_000', 'Grampian-2022-2023:p0148_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_01,DEF,2023,1,10,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),[21],unknown,0.5,True,1,[21],hit,0,0.0,[],1.0,0.1,0.5,1.0,0.1,0.5,"[22, 21, 26, 35, 148, 25, 19, 123, 149, 43]","['Grampian-2022-2023:p0022_000', 'Grampian-2022-2023:p0021_000', 'Grampian-2022-2023:p0026_000', 'Grampian-2022-2023:p0035_000', 'Grampian-2022-2023:p0148_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_REV_2023_01,REV,2023,1,1,number,Grampian-2022-2023,"Performance Report, Performance Analysis",[28],unknown,0.5,True,1,[28],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2022-2023:p0028_000'],['Grampian-2022-2023']
Q_REV_2023_01,REV,2023,1,3,number,Grampian-2022-2023,"Performance Report, Performance Analysis",[28],unknown,0.5,True,1,[28],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,"[28, 25, 115]","['Grampian-2022-2023:p0028_000', 'Grampian-2022-2023:p0025_000', 'Grampian-2022-2023:p0115_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_REV_2023_01,REV,2023,1,5,number,Grampian-2022-2023,"Performance Report, Performance Analysis",[28],unknown,0.5,True,1,[28],hit,0,0.0,[],1.0,0.25,1.0,1.0,0.2,1.0,"[28, 25, 115, 78]","['Grampian-2022-2023:p0028_000', 'Grampian-2022-2023:p0025_000', 'Grampian-2022-2023:p0115_000', 'Grampian-2022-2023:p0115_001', 'Grampian-2022-2023:p0078_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_REV_2023_01,REV,2023,1,10,number,Grampian-2022-2023,"Performance Report, Performance Analysis",[28],unknown,0.5,True,1,[28],hit,0,0.0,[],1.0,0.1111111111111111,1.0,1.0,0.1,1.0,"[28, 25, 115, 78, 79, 139, 117, 5, 20]","['Grampian-2022-2023:p0028_000', 'Grampian-2022-2023:p0025_000', 'Grampian-2022-2023:p0115_000', 'Grampian-2022-2023:p0115_001', 'Grampian-2022-2023:p0078_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_02,DEF,2023,2,1,text,Grampian-2022-2023,"Independent auditor’s report, Risks of material misstatement",[82],unknown,0.5,True,1,[82],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[82],['Grampian-2022-2023:p0082_000'],['Grampian-2022-2023']
Q_DEF_2023_02,DEF,2023,2,3,text,Grampian-2022-2023,"Independent auditor’s report, Risks of material misstatement",[82],unknown,0.5,True,1,[82],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,"[82, 84, 83]","['Grampian-2022-2023:p0082_000', 'Grampian-2022-2023:p0084_000', 'Grampian-2022-2023:p0083_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_02,DEF,2023,2,5,text,Grampian-2022-2023,"Independent auditor’s report, Risks of material misstatement",[82],unknown,0.5,True,1,[82],hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,"[82, 84, 83, 81, 85]","['Grampian-2022-2023:p0082_000', 'Grampian-2022-2023:p0084_000', 'Grampian-2022-2023:p0083_000', 'Grampian-2022-2023:p0081_000', 'Grampian-2022-2023:p0085_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_02,DEF,2023,2,10,text,Grampian-2022-2023,"Independent auditor’s report, Risks of material misstatement",[82],unknown,0.5,True,1,[82],hit,0,0.0,[],1.0,0.1,1.0,1.0,0.1,1.0,"[82, 84, 83, 81, 85, 115, 55, 63, 105, 54]","['Grampian-2022-2023:p0082_000', 'Grampian-2022-2023:p0084_000', 'Grampian-2022-2023:p0083_000', 'Grampian-2022-2023:p0081_000', 'Grampian-2022-2023:p0085_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_ACC_2023_01,ACC,2023,1,1,text,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,[73],unknown,0.5,True,1,[73],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[73],['Grampian-2022-2023:p0073_000'],['Grampian-2022-2023']
Q_ACC_2023_01,ACC,2023,1,3,text,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,[73],unknown,0.5,True,1,[73],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,"[73, 72, 77]","['Grampian-2022-2023:p0073_000', 'Grampian-2022-2023:p0072_000', 'Grampian-2022-2023:p0077_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_ACC_2023_01,ACC,2023,1,5,text,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,[73],unknown,0.5,True,1,[73],hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,"[73, 72, 77, 78, 66]","['Grampian-2022-2023:p0073_000', 'Grampian-2022-2023:p0072_000', 'Grampian-2022-2023:p0077_000', 'Grampian-2022-2023:p0078_000', 'Grampian-2022-2023:p0066_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_ACC_2023_01,ACC,2023,1,10,text,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,[73],unknown,0.5,True,1,[73],hit,0,0.0,[],1.0,0.1,1.0,1.0,0.1,1.0,"[73, 72, 77, 78, 66, 62, 8, 2, 58, 6]","['Grampian-2022-2023:p0073_000', 'Grampian-2022-2023:p0072_000', 'Grampian-2022-2023:p0077_000', 'Grampian-2022-2023:p0078_000', 'Grampian-2022-2023:p0066_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_ACC_2023_02,ACC,2023,2,1,number,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,[73],unknown,0.5,True,1,[73],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[73],['Grampian-2022-2023:p0073_000'],['Grampian-2022-2023']
Q_ACC_2023_02,ACC,2023,2,3,number,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,[73],unknown,0.5,True,1,[73],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,"[73, 79, 5]","['Grampian-2022-2023:p0073_000', 'Grampian-2022-2023:p0079_000', 'Grampian-2022-2023:p0005_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_ACC_2023_02,ACC,2023,2,5,number,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,[73],unknown,0.5,True,1,[73],hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,"[73, 79, 5, 31, 49]","['Grampian-2022-2023:p0073_000', 'Grampian-2022-2023:p0079_000', 'Grampian-2022-2023:p0005_000', 'Grampian-2022-2023:p0031_000', 'Grampian-2022-2023:p0049_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_ACC_2023_02,ACC,2023,2,10,number,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,[73],unknown,0.5,True,1,[73],hit,0,0.0,[],1.0,0.1,1.0,1.0,0.1,1.0,"[73, 79, 5, 31, 49, 78, 72, 48, 66, 65]","['Grampian-2022-2023:p0073_000', 'Grampian-2022-2023:p0079_000', 'Grampian-2022-2023:p0005_000', 'Grampian-2022-2023:p0031_000', 'Grampian-2022-2023:p0049_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_ACC_2023_03,ACC,2023,3,1,number,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,[73],unknown,0.5,True,1,[73],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[79],['Grampian-2022-2023:p0079_000'],['Grampian-2022-2023']
Q_ACC_2023_03,ACC,2023,3,3,number,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,[73],unknown,0.5,True,1,[73],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,"[79, 10, 72]","['Grampian-2022-2023:p0079_000', 'Grampian-2022-2023:p0010_000', 'Grampian-2022-2023:p0072_000']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
