id,x,y,label,text,page,section,category,highlight
Grampian-2005-2006:p0002_000,4.4507833,22.08563,DIRECTORS’ REPORT,Contents 1 Annual Report 1 Directors’ Report 6 Operating and Financial Review 11 Remuneration Report 17 Statement of The Chief Executive’s Responsibilities as The Accountable Officer of the Health Board 18 Statement of…,2,DIRECTORS’ REPORT,Financial narrative,False
Grampian-2005-2006:p0003_000,4.148939,21.724781,DIRECTORS’ REPORT,Annual Report The Annual Report of Grampian Health Board for 2005/06 contains the following three sections: Directors’ Report; Operating and Financial Review; and Remuneration Report. DIRECTORS’ REPORT Accounting Conven…,3,DIRECTORS’ REPORT,Financial narrative,False
Grampian-2005-2006:p0003_001,4.3215413,22.698895,DIRECTORS’ REPORT,the Resource Accounting Manual (RAM). Appointment of Auditors The Public Finance and Accountability (Scotland) Act 2000 places personal responsibility on the Auditor General for Scotland to decide who is to undertake th…,3,DIRECTORS’ REPORT,Financial narrative,False
Grampian-2005-2006:p0003_002,4.089499,23.46608,DIRECTORS’ REPORT,members are selected and appointed through the public appointment process on the basis of their current organisational roles and particular expertise which enables them to contribute to the decision making process at a…,3,DIRECTORS’ REPORT,Governance,False
Grampian-2005-2006:p0004_000,3.9373703,22.808971,COUNCILLOR GEORGE MCINTYRE,Councillor George McIntyre Mr Gordon Stephen (appointed 1 October 2005) Mr Anthony Ward Dr Stuart Watson Executive members Mr Richard Carey Chief Operating Officer (resigned 17 January 2006) Chief Executive (appointed 1…,4,COUNCILLOR GEORGE MCINTYRE,Strategy / narrative,False
Grampian-2005-2006:p0004_001,3.499421,22.801233,COUNCILLOR GEORGE MCINTYRE,"in advance any potential business or other relationship, which they felt could influence, or could be seen to influence, the exercise of their judgement. During the year, no Board Member had to exempt themselves from an…",4,COUNCILLOR GEORGE MCINTYRE,Governance,False
Grampian-2005-2006:p0004_002,3.8336012,23.26779,COUNCILLOR GEORGE MCINTYRE,invoices by value and 65% of invoices by volume were paid within 30 days. Corporate Governance Grampian NHS Board meets regularly throughout the year to progress the business of NHS Grampian. The Board has adopted a sch…,4,COUNCILLOR GEORGE MCINTYRE,Governance,False
Grampian-2005-2006:p0005_000,4.426405,23.186869,CLINICAL GOVERNANCE COMMITTEE,Clinical Governance Committee The main duties of the Clinical Governance Committee are as follows: - Systems assurance – to ensure that clinical governance mechanisms are in place and effective throughout the local NHS…,5,CLINICAL GOVERNANCE COMMITTEE,Governance,False
Grampian-2005-2006:p0005_001,4.5325336,23.568932,CLINICAL GOVERNANCE COMMITTEE,"systems are maintained and corporate governance matters are observed. Membership: Mr Anthony Ward (Chair), Dr David Cameron, Professor Valerie Maehle, Councillor George McIntyre and Mr Gordon Stephen. Staff Governance C…",5,CLINICAL GOVERNANCE COMMITTEE,Governance,False
Grampian-2005-2006:p0005_002,4.4909034,23.51723,CLINICAL GOVERNANCE COMMITTEE,Ethics Committees Research Ethics Committee The Grampian Research Ethics Committee (REC) operates as two committees reflecting the extent and detail of the workload and is convened to provide independent advice to parti…,5,CLINICAL GOVERNANCE COMMITTEE,Governance,False
Grampian-2005-2006:p0006_000,4.3571124,23.601238,CLINICAL ETHICS COMMITTEE,"Clinical Ethics Committee The NHS Grampian Clinical Ethics Committee aims to provide advice to all professionals and organisations within NHS Grampian on ethical matters and to raise their awareness of ethics, as distin…",6,CLINICAL ETHICS COMMITTEE,Governance,False
Grampian-2005-2006:p0006_001,4.308399,23.819454,CLINICAL ETHICS COMMITTEE,"of the NHS Grampian Health Plan, Modernisation and Joint Future programmes, whilst also supporting the strategic priorities of the NHS in Scotland. Endowment Committee: Chairperson: Mrs Barbara Bruce The Endowment Commi…",6,CLINICAL ETHICS COMMITTEE,Governance,False
Grampian-2005-2006:p0007_000,3.3242726,24.378132,HUMAN RESOURCES,"In a challenging year for the Human Resources Directorate, NHS Grampian has made significant progress in the following areas: - As part of the Pay Modernisation Programme, NHS Grampian has developed a Benefits Delivery…",7,HUMAN RESOURCES,Strategy / narrative,False
Grampian-2005-2006:p0007_001,3.5889373,24.339771,HUMAN RESOURCES,"be provided in the future. As part of its Staff Governance Action Plan, NHS Grampian provides employees with information on matters of concern to them as employees. This is achieved through communication strategies, inc…",7,HUMAN RESOURCES,Governance,False
Grampian-2005-2006:p0008_000,2.8516428,23.742008,OPERATING AND FINANCIAL REVIEW,"Annual Report OPERATING AND FINANCIAL REVIEW Principal Activities and Review of the Year Grampian Health Board was established in 1974. On 31 March 2004, the assets and liabilities of Grampian Primary Care NHS Trust and…",8,OPERATING AND FINANCIAL REVIEW,Financial narrative,False
Grampian-2005-2006:p0008_001,2.8742847,24.008528,OPERATING AND FINANCIAL REVIEW,"and delivering the healthcare it requires. The overall purpose of the unified board is to ensure efficient, effective and accountable governance of the local NHS system and to provide strategic leadership and direction…",8,OPERATING AND FINANCIAL REVIEW,Financial narrative,False
Grampian-2005-2006:p0008_002,2.415019,23.524326,OPERATING AND FINANCIAL REVIEW,"year for NHS Grampian, as it strived to build on its strengths and achievements, while taking on the challenges associated with building a modern and sustainable health service for the people of Grampian. NHS Grampian c…",8,OPERATING AND FINANCIAL REVIEW,Financial narrative,False
Grampian-2005-2006:p0008_003,2.7924678,23.212517,OPERATING AND FINANCIAL REVIEW,"by the SEHD to hold Boards to account. Information on NHS Grampian’s performance in relation to these indicators is detailed in the section on Performance Against Key Targets on page 7. Family Health Services In 2005, N…",8,OPERATING AND FINANCIAL REVIEW,Financial narrative,False
Grampian-2005-2006:p0009_000,2.3642056,22.460777,INFRASTRUCTURE AND EQUIPMENT,"NHS Grampian invested £19.7million during the year on infrastructure and equipment. The major areas of spend included £7.6million on medical equipment, £1.3million on Information Technology and £10.8million on infrastru…",9,INFRASTRUCTURE AND EQUIPMENT,Financial narrative,False
Grampian-2005-2006:p0009_001,2.457308,23.222643,INFRASTRUCTURE AND EQUIPMENT,"was as follows: Limit as set Actual Variance by SEHD Out-turn (Over)/Under £000 £000 £000 Revenue Resource Limit 652,074 651,618 456 Capital Resource Limit 10,468 10,468 - Cash Requirement 619,881 619,849 32 NHS Grampia…",9,INFRASTRUCTURE AND EQUIPMENT,Strategy / narrative,False
Grampian-2005-2006:p0009_002,2.8920515,24.227556,INFRASTRUCTURE AND EQUIPMENT,"priority for the organisation, bringing recurring commitments into line with available and projected recurring resources. Performance Against Key Targets NHS Grampian measures the quality of service for its users throug…",9,INFRASTRUCTURE AND EQUIPMENT,Clinical performance,False
Grampian-2005-2006:p0010_000,2.4608877,24.300703,HEALTH IMPROVEMENT,The SEHD assesses NHS Grampian’s performance each year through the Annual Review process. The Annual Review consists of a meeting in public at which key areas of performance are discussed. The outcome is captured in a f…,10,HEALTH IMPROVEMENT,Clinical performance,False
Grampian-2005-2006:p0010_001,2.2835772,24.402058,HEALTH IMPROVEMENT,Grampian will deliver this target through continued implementation of its health improvement policies and programmes. Implementation of the ‘public smoking ban’ will support NHS Grampian’s focus to reduce smoking among…,10,HEALTH IMPROVEMENT,Strategy / narrative,False
Grampian-2005-2006:p0010_002,2.5603573,24.467812,HEALTH IMPROVEMENT,to December 2005 which represents a steady improvement on previous rates (the Scottish average for 2005 was 89.9%). Mental Health is an NHS Grampian health improvement priority and action being taken will contribute to…,10,HEALTH IMPROVEMENT,Strategy / narrative,False
Grampian-2005-2006:p0010_003,2.7211697,24.752892,HEALTH IMPROVEMENT,"staff absence rates and already experiences a low rate of absence when compared to other NHS bodies in Scotland. Its current absence rate is close to 5%, which represents a slight increase on the previous year. This is…",10,HEALTH IMPROVEMENT,Strategy / narrative,False
Grampian-2005-2006:p0011_000,2.4551318,24.77045,HEALTH IMPROVEMENT,beginning to reverse a declining trend. The Community Dental Service continues to deliver a significant part of dental care in Grampian and around a fifth of all Scottish community dental activity is undertaken in Gramp…,11,HEALTH IMPROVEMENT,Governance,False
Grampian-2005-2006:p0011_001,2.404882,24.67011,HEALTH IMPROVEMENT,improvements to Accident and Emergency waiting times are being delivered. In 2005/06 the percentage treated and discharged within 4 hours was generally in excess of 90%. This is predicted to improve to 95% by December 2…,11,HEALTH IMPROVEMENT,Governance,False
Grampian-2005-2006:p0011_002,2.1047926,24.164156,HEALTH IMPROVEMENT,"be achieved through implementation of the Board’s Change and Innovation Programme which aims to prevent hospital admission and facilitate discharge. As of the April 2006 census date, there were 154 delayed discharges. F…",11,HEALTH IMPROVEMENT,Governance,False
Grampian-2005-2006:p0011_003,2.0871167,24.03423,HEALTH IMPROVEMENT,"ecosystem. NHS Grampian has therefore put in place the means to effectively monitor and target the consumption of utilities, of which fossil fuels and electricity are the major part. In addition, NHS Grampian measures,…",11,HEALTH IMPROVEMENT,Governance,False
Grampian-2005-2006:p0012_000,1.8286202,23.893198,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,NHS Grampian Energy Trends and Targets 902000 140 GJ/100m 3 873000 130 2% Target 844000 120 Consumption (GJ) Consumption 815000 110 (GJ) GJ/100m 3 786000 100 757000 90 728000 80 699000 70 670000 60 641000 50 612000 40 1…,12,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,Strategy / narrative,False
Grampian-2005-2006:table_p0013,6.958104,3.1126661,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,Financial table on page 13 (Staff Costs) Contains 39 line items across 9 columns. Row labels: AnnualReport; REMUNERATIONREPORT; FORTHEYEARENDED31MAR. Key items: FORTHEYEARENDED31MAR | CH2006; Totalaccrued | CashEquivale…,13,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,Financial table,False
Grampian-2005-2006:table_p0014,6.782575,3.0466404,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,Financial table on page 14 (Staff Costs) Contains 12 line items across 9 columns. Row labels: NonExecutiveMembers(continued). Key items: Totalaccrued | CashEquivalent | CashEquivalent; Realincreasein | pensionatage60at…,14,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,Financial table,False
Grampian-2005-2006:table_p0015,6.563742,2.880049,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,Financial table on page 15 (Staff Costs) Contains 42 line items across 9 columns. Row labels: AnnualReport; REMUNERATIONREPORT(c; FORTHEYEARENDED31M. Key items: REMUNERATIONREPORT(c | ontinued); FORTHEYEARENDED31M | ARC…,15,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,Financial table,False
Grampian-2005-2006:table_p0016,6.6159596,2.7435567,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,Financial table on page 16 (Staff Costs) Contains 13 line items across 9 columns. Row labels: AnnualReport; REMUNERATIONREPORT(conti; FORTHEYEARENDED31MARC. Key items: REMUNERATIONREPORT(conti | nued); FORTHEYEARENDED31…,16,SUSTAINABILITY AND ENVIRONMENTAL REPORTING,Financial table,False
Grampian-2005-2006:p0017_000,3.5389183,23.63539,REMUNERATION REPORT,Annual Report REMUNERATION REPORT (continued) Remuneration of Executive and Non Executive Members The remuneration of Executive and Non Executive Members is determined by the Scottish Executive Health Department (SEHD)…,17,REMUNERATION REPORT,Governance,False
Grampian-2005-2006:p0017_001,3.7393837,23.775803,REMUNERATION REPORT,"Executive Members of the Grampian NHS Board; - to monitor arrangements for the pay and conditions of service of senior managers, being those reporting to Executive Members and other Directors; and - to regularly review…",17,REMUNERATION REPORT,Governance,False
Grampian-2005-2006:p0017_002,3.5768523,23.9096,REMUNERATION REPORT,follow the nationally prescribed format and are directly linked to the improved performance of NHS Grampian in the delivery of its objectives. Written evidence relating to the performance ratings for executive members i…,17,REMUNERATION REPORT,Governance,False
Grampian-2005-2006:p0018_000,3.7602406,23.921192,ASSESSMENT OF PERFORMANCE,Assessment of Performance (continued) The progression of Executive Members through the pay range is subject to the fully acceptable performance of the individual. Performance Related Pay is subject to Ministerial Direct…,18,ASSESSMENT OF PERFORMANCE,Clinical performance,False
Grampian-2005-2006:p0019_000,4.2799425,22.166561,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,"GRAMPIAN HEALTH BOARD ANNUAL ACCOUNTS 2005/06 STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE OFFICER OF THE HEALTH BOARD Under Section 15 of the Public Finance and Accountability (Scotland) Act,…",19,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,Financial narrative,False
Grampian-2005-2006:p0020_000,4.0721264,21.990084,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,"GRAMPIAN HEALTH BOARD ANNUAL ACCOUNTS 2005/06 STATEMENT OF HEALTH BOARD MEMBERS’ RESPONSIBILITIES IN RESPECT OF THE ACCOUNTS Under the National Health Service (Scotland) Act 1978, the Health Board is required to prepare…",20,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,Financial narrative,False
