query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_subsection,expected_pages,evidence_layout,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,table_chunk_hit_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_21_FIN_01,FIN,21,1,1,number,Shetland-2020-2021,,,[15],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[15],['Shetland-2020-2021:p0015_002'],['Shetland-2020-2021']
Q_21_FIN_01,FIN,21,1,3,number,Shetland-2020-2021,,,[15],,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.0,"[15, 2]","['Shetland-2020-2021:p0015_002', 'Shetland-2020-2021:p0015_001', 'Shetland-2020-2021:p0002_001']","['Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021']"
Q_21_FIN_01,FIN,21,1,5,number,Shetland-2020-2021,,,[15],,hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,0.0,"[15, 2, 78, 28]","['Shetland-2020-2021:p0015_002', 'Shetland-2020-2021:p0015_001', 'Shetland-2020-2021:p0002_001', 'Shetland-2020-2021:p0078_000', 'Shetland-2020-2021:p0028_002']","['Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021']"
Q_21_FIN_01,FIN,21,1,10,number,Shetland-2020-2021,,,[15],,hit,0,0.0,[],1.0,0.125,1.0,1.0,0.2,1.0,0.0,"[15, 2, 78, 28, 53, 95, 71, 25]","['Shetland-2020-2021:p0015_002', 'Shetland-2020-2021:p0015_001', 'Shetland-2020-2021:p0002_001', 'Shetland-2020-2021:p0078_000', 'Shetland-2020-2021:p0028_002']","['Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021']"
Q_21_FIN_03,FIN,21,3,1,number,Shetland-2020-2021,,,[78],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[78],['Shetland-2020-2021:p0078_000'],['Shetland-2020-2021']
Q_21_FIN_03,FIN,21,3,3,number,Shetland-2020-2021,,,[78],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.0,"[78, 153, 152]","['Shetland-2020-2021:p0078_000', 'Shetland-2020-2021:p0153_000', 'Shetland-2020-2021:p0152_000']","['Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021']"
Q_21_FIN_03,FIN,21,3,5,number,Shetland-2020-2021,,,[78],,hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,0.0,"[78, 153, 152, 2, 6]","['Shetland-2020-2021:p0078_000', 'Shetland-2020-2021:p0153_000', 'Shetland-2020-2021:p0152_000', 'Shetland-2020-2021:p0002_001', 'Shetland-2020-2021:p0006_000']","['Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021']"
Q_21_FIN_03,FIN,21,3,10,number,Shetland-2020-2021,,,[78],,hit,0,0.0,[],1.0,0.1,1.0,1.0,0.1,1.0,0.0,"[78, 153, 152, 2, 6, 14, 25, 53, 28, 70]","['Shetland-2020-2021:p0078_000', 'Shetland-2020-2021:p0153_000', 'Shetland-2020-2021:p0152_000', 'Shetland-2020-2021:p0002_001', 'Shetland-2020-2021:p0006_000']","['Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021']"
Q_21_STF_01,STF,21,1,1,number,Shetland-2020-2021,,,[53],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[53],['Shetland-2020-2021:p0053_000'],['Shetland-2020-2021']
Q_21_STF_01,STF,21,1,3,number,Shetland-2020-2021,,,[53],,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.0,"[53, 26]","['Shetland-2020-2021:p0053_000', 'Shetland-2020-2021:p0026_001', 'Shetland-2020-2021:p0053_001']","['Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021']"
Q_21_STF_01,STF,21,1,5,number,Shetland-2020-2021,,,[53],,hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,0.0,"[53, 26, 4, 154]","['Shetland-2020-2021:p0053_000', 'Shetland-2020-2021:p0026_001', 'Shetland-2020-2021:p0053_001', 'Shetland-2020-2021:p0004_000', 'Shetland-2020-2021:p0154_000']","['Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021']"
Q_21_STF_01,STF,21,1,10,number,Shetland-2020-2021,,,[53],,hit,0,0.0,[],1.0,0.1111111111111111,1.0,1.0,0.2,1.0,0.0,"[53, 26, 4, 154, 24, 2, 69, 21, 33]","['Shetland-2020-2021:p0053_000', 'Shetland-2020-2021:p0026_001', 'Shetland-2020-2021:p0053_001', 'Shetland-2020-2021:p0004_000', 'Shetland-2020-2021:p0154_000']","['Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021', 'Shetland-2020-2021']"
