strategy,doc_id,query_id,failure_type,page_hit
rrf,Grampian-2020-2021,Q_2021_FIN_01,FP5_WRONG_FORMAT,1
rrf,Grampian-2020-2021,Q_2021_FIN_02,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_FIN_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_FIN_P1,FP4_NOT_EXTRACTED,1
rrf,Grampian-2020-2021,Q_2021_FIN_04,FP5_WRONG_FORMAT,1
rrf,Grampian-2020-2021,Q_2021_FIN_05,FP7_INCOMPLETE,1
rrf,Grampian-2020-2021,Q_2021_FIN_06,FP7_INCOMPLETE,1
rrf,Grampian-2020-2021,Q_2021_FIN_07,FP4_NOT_EXTRACTED,1
rrf,Grampian-2020-2021,Q_2021_FIN_P2,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2020-2021,Q_2021_SAV_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_SAV_02,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2020-2021,Q_2021_SAV_03,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_SAV_04,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_SAV_P1,FP3_NOT_IN_CONTEXT,1
rrf,Grampian-2020-2021,Q_2021_COV_01,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_COV_02,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2020-2021,Q_2021_COV_P1,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_IJB_01,FP2_MISSED_TOP_RANK,0
rrf,Grampian-2020-2021,Q_2021_IJB_02,HIT,1
rrf,Grampian-2020-2021,Q_2021_IJB_03,HIT,1
rrf,Grampian-2020-2021,Q_2021_IJB_04,HIT,1
rrf,Grampian-2020-2021,Q_2021_IJB_05,FP6_INCORRECT_SPECIFICITY,1
rrf,Grampian-2020-2021,Q_2021_IJB_06,HIT,1
