doc_id,page,proposed_subsection,toc_subsection,reason,top_lines_snippet
Shetland-2023-2024,3,Note 5. —Segmental Analysis .............................................................................. 105,,allow_list_reject(score=0.170),"Note 5—Segmental Analysis .............................................................................. 105 Note 6—Intangible Assets .................................................................................. 106 Note 7a—Property, Plant and Equipment—Consolidated and Board ................. 107 Note 7b—Assets Held for Sale—Consolidated and Board ................................. 113 Note 7c—Property, Plant and Equipment Disclosures ........................................ 113 Note 8—Inventories and Work in Progress ......................................................... 115 Note 9—Trade and Other Receivables ............................................................... 116 Note 10—Investments ........................................................................................ 120 Note 11—Cash and Cash Equivalents ............................................................... 120 Note 12—Trade and Other Payables.................................................................. 121 Note 13—Provisions ........................................................................................... 123 Note 14—Contingent Liabilities .......................................................................... 127 Note 15—Events after the end of the reporting year .......................................... 127 Note 16—Commitments ..................................................................................... 128 Note 17—Leases Assets .................................................................................... 128 Note 18—Pension Costs .................................................................................... 129 Pension Scheme Declaration ............................................................................. 129 Note 19—Financial Instruments ......................................................................... 133 Note 20—Related Party Transactions ................................................................ 140 Note 21—Consolidation of Subsidiaries and Disclosure of Interest in Associates and Joint Ventures .............................................................................................. 142 Glossary of commonly abbreviated terms and acronyms, as well as local terms, in the report ................................................................................................................ 155 Direction by the Scottish Ministers ......................................................................... 158"
Shetland-2023-2024,50,A complete review of the corporate risks was undertaken during the year. The revised,Corporate Governance Report,allow_list_reject(score=0.324),"and is utilised organisation-wide. The output from this review is included in the Risk Register. The strategic risks are reviewed on a regular basis by both the RMG and the relevant governance committee along with the actions taken to mitigate the risk. The Strategic Risk Register is aligned to the corporate objectives of the Board and is focussed on key strategic risks. The Strategic Risk Register Report is published on the Board’s website and is formally reviewed by the Board and the Audit and Risk Committee. A complete review of the corporate risks was undertaken during the year. The revised Strategic Risk Register was last approved by the Board at its April 2024 meeting . The review includes both issues over which the Board has full autonomy, and external factors. More generally, the Board is committed to continuous development and improvement; developing systems in response to any relevant reviews; and developments in best practice. The Risk Management Summary Report 2023–24 was presented to the April 2024 Board meeting. It summarises the activities undertaken in 2023–24, and the plans for 2024–25. Annual Service Reports National Services Scotland (NSS) appoints service auditors to review and report on various services, providing assurance to all Boards regarding the internal control frameworks for services delivered on behalf of NHS Scotland. This includes payments to Practitioners and Information Technology (IT). A qualification in a service audit report relates to the design or operating effectiveness of controls in order to meet the stated control objectives rather than indicating that the underlying transactions are necessarily incorrectly processed. An adverse opinion would occur where controls were absent or failed. In 2023–24, the payments to Practitioners service audits reports found an issue with a specific control in Dental contractors standing data during this year causing a qualified opinion. Outside this issue, audit concluded other controls operated effectively. The 2022–23 service audit also found controls operated effectively throughout the year. National IT Services Service Audit report in 2023–24 audit found that controls in place operated effectively except in relation to controls for five specific applications that led to a qualified opinion. In respect of 2022–23, the service audit found that the controls operated effectively throughout the year. NHS Shetland has considered these qualifications and has been assured by NSS that sufficient actions are being taken to address these issues. The risk to the Board is therefore considered immaterial. NHS Ayrshire and Arran hosts NHS Scotland National Single Instance Financial Ledger Services. The annual service audit found financial ledger service operated effectively throughout 2023–24, from 1 April 2023 to 31 March 2024. The previous years’ service audit concluded that the service operated effectively throughout 2022–23."
Shetland-2023-2024,53,I can confirm that the Board is compliant in all material respects with the aspects of the,Corporate Governance Report,allow_list_reject(score=0.256),"in their annual reports. All the committees advised they delivered best value and are content in respect of assurances received for best value delivery during 2023–24. In addition, the Board continues to seek opportunities to enhance the system of internal control with a specific focus on the delivery of safe and effective patient care, achievement of priority access targets, and demonstrating best value and the efficient use of resources. Board Compliance with SPFM I can confirm that the Board is compliant in all material respects with the aspects of the UK Corporate Governance Code as set out in the guidance issued by the SGHSCD to Chief Executives as being applicable to NHS Boards. This includes ensuring self-evaluation and KPIs are in place to identify and address the development needs of Executive and Non-Executive Board Members. Review of Effectiveness As Accountable Officer, I have responsibility for reviewing the effectiveness of the system of internal control and the quality of data used throughout the organisation. My review is informed by: - the executive managers within the organisation who have responsibility for the development and maintenance of the internal control framework; - the work of the internal auditor, who submit to the organisation's Audit and Risk Committee regular reports which include Internal Audit’s independent and objective opinion on the adequacy and effectiveness of the Board's systems of internal control together with recommendations for improvement; - comments made by the External Auditor in their management letters and reports; and - the work of the service auditors in relation to the control frameworks operated by the following, which are reported through the Annual Service Audit Reports: ▪ Practitioner and Counter Fraud Services (PCFS) in the discharge of their services to support the payments of family health services practitioners on behalf of NHS Scotland Health Boards ▪ Atos and NSS Digital and Security in the discharge of their services to support National IT Services on behalf of NHS Scotland Health Boards ▪ NHS Ayrshire and Arran in the discharge of their services to operate the National Single Instance (NSI) financial ledger services on behalf of NHS Scotland Boards. For the year 2023–24, all three of these Service Audit Reports received a clear opinion that relevant controls were properly in place throughout the year. As part of this process, the Directors and Committee Chairs have provided formal written Certificates of Assurance for their relevant committees or areas of responsibility."
Shetland-2023-2024,54,I have been advised on the implications of the result of my review of the effectiveness of,Corporate Governance Report,allow_list_reject(score=0.298),"achieves its corporate objectives. As described above, progress against these objectives is monitored by regular performance reports to the Board and these have demonstrated good progress over the past year. The RMG has maintained an overview of all risks. The Internal Auditor draws up reports that consider various aspects of the Board’s control systems and reports findings to the Audit and Risk Committee. These reports consider the extent to which the Board’s processes support its system control objectives and offer an opinion as to the degree of risk to which the Board is exposed. I have been advised on the implications of the result of my review of the effectiveness of the system of internal control by the Board, the Audit and Risk Committee, Staff Governance Committee, FPC, CGC, and RMG. Appropriate action is in place to address weaknesses and ensure continuous improvement of the system is in place. Significant Governance Issues During the financial year there were no other significant control weaknesses or issues that have arisen, other than those covered below, and no significant failures have arisen in the expected standards for good governance, risk management and control that require to be reported to the Scottish Government. 1. As highlighted in the Chief Internal auditor and the Audit and Risk Committee annual report the management of IT assets where there are significant issues about the tracking of assets across the organisation and lack of supporting policies and procedures. A management action plan is in place to address this weakness."
Shetland-2023-2024,73,I have audited the financial statements in the annual report and accounts of NHS,Corporate Governance Report,allow_list_reject(score=0.398),"Independent auditor’s report to the members of NHS Shetland, the Auditor General for Scotland and the Scottish Parliament Reporting on the audit of the financial statements Opinion on financial statements I have audited the financial statements in the annual report and accounts of NHS Shetland and its group for the year ended 31 March 2024 under the National Health Service (Scotland) Act 1978. The financial statements comprise the Statement of Consolidated Comprehensive Net Expenditure, Consolidated Statement of Financial Position, Consolidated Statement of Cash Flows, Consolidated Statement of Changes in Taxpayers’ Equity and notes to the financial statements, including material accounting policy information. The financial reporting framework that has been applied in their preparation is applicable law and UK adopted international accounting standards, as interpreted and adapted by the 2023/24 Government Financial Reporting Manual (the 2023/24 FReM). In my opinion the accompanying financial statements: - give a true and fair view of the state of the affairs of the board and its group as at 31 March 2024 and of the net expenditure for the year then ended; - have been properly prepared in accordance with UK adopted international accounting standards, as interpreted and adapted by the 2023/24 FReM; and - have been prepared in accordance with the requirements of the National Health Service (Scotland) Act 1978 and directions made thereunder by the Scottish Ministers. Basis for opinion I conducted my audit in accordance with applicable law and International Standards on Auditing (UK) (ISAs (UK)), as required by the Code of Audit Practice approved by the Auditor General for Scotland. My responsibilities under those standards are further described in the auditor’s responsibilities for the audit of the financial statements section of my report. I was appointed by the Auditor General on 03 April 2024. My period of appointment is four years, covering 2023/24 to 2026/27. I am independent of the board and its group in accordance with the ethical requirements that are relevant to my audit of the financial statements in the UK including the Financial Reporting Council’s Ethical Standard, and I have fulfilled my other ethical responsibilities in accordance with these requirements. Non-audit services prohibited by the Ethical Standard were not provided to the board. I believe that the audit evidence I have obtained is sufficient and appropriate to provide a basis for my opinion . Conclusions relating to going concern basis of accounting I have concluded that the use of the going concern basis of accounting in the preparation of the financial statements is appropriate. Based on the work I have performed, I have not identified any material uncertainties relating to events or conditions that, individually or collectively, may cast significant doubt on the ability of the board and its group to continue to adopt the going concern"
Shetland-2023-2024,74,I report in my separate Annual Audit Report the most significant assessed risks of,Corporate Governance Report,allow_list_reject(score=0.390),"statements are authorised for issue. These conclusions are not intended to, nor do they, provide assurance on the current or future financial sustainability of the board and its group. However, I report on the board’s arrangements for financial sustainability in a separate Annual Audit Report available from the Audit Scotland website . Risks of material misstatement I report in my separate Annual Audit Report the most significant assessed risks of material misstatement that I identified and my judgements thereon. Responsibil i ties of the Accountable Officer for the financial statements As explained more fully in the Statement of Accountable Officer’s Responsibilities, the Accountable Officer is responsible for the preparation of financial statements that give a true and fair view in accordance with the financial reporting framework, and for such internal control as the Accountable Officer determines is necessary to enable the preparation of financial statements that are free from material misstatement, whether due to fraud or error. In preparing the financial statements, the Accountable Officer is responsible for assessing the ability of the board and its group to continue as a going concern, disclosing, as applicable, matters related to going concern and using the going concern basis of accounting unless there is an intention to discontinue the board’s operations. Auditor’s responsibilities for the audit of the financial statements My objectives are to obtain reasonable assurance about whether the financial statements as a whole are free from material misstatement, whether due to fraud or error, and to issue an auditor’s report that includes my opinion. Reasonable assurance is a high level of assurance, but is not a guarantee that an audit conducted in accordance with ISAs (UK) will always detect a material misstatement when it exists. Misstatements can arise from fraud or error and are considered material if, individually or in the aggregate, they could reasonably be expected to influence the decisions of users taken on the basis of these financial statements. Irregularities, including fraud, are instances of non-compliance with laws and regulations. I design procedures in line with my responsibilities outlined above to detect material misstatements in respect of irregularities, including fraud. Procedures include: - using my understanding of the health sector to identify that the National Health Service (Scotland) Act 1978 and directions made thereunder by the Scottish Ministers are significant in the context of the board; - inquiring of the Accountable Officer as to other laws or regulations that may be expected to have a fundamental effect on the operations of the board; - inquiring of the Accountable Officer concerning the board’s policies and procedures regarding compliance with the applicable legal and regulatory framework; - discussions among my audit team on the susceptibility of the financial statements to material misstatement, including how fraud might occur; and"
Shetland-2023-2024,76,I am required to report that fact. I have nothing to report in this regard.,Corporate Governance Report,allow_list_reject(score=0.283),"Report. My responsibility is to read all the other information and, in doing so, consider whether the other information is materially inconsistent with the financial statements or my knowledge obtained in the course of the audit or otherwise appears to be materially misstated. If I identify such material inconsistencies or apparent material misstatements, I am required to determine whether this gives rise to a material misstatement in the financial statements themselves. If, based on the work I have performed, I conclude that there is a material misstatement of this other information, I am required to report that fact. I have nothing to report in this regard. My opinion on the financial statements does not cover the other information and I do not express any form of assurance conclusion thereon except on the Performance Report and Governance Statement to the extent explicitly stated in the following opinions prescribed by the Auditor General for Scotland. Opinions prescribed by the Auditor General for Scotland on the Performance Report and Governance Statement In my opinion, based on the work undertaken in the course of the audit: - the information given in the Performance Report for the financial year for which the financial statements are prepared is consistent with the financial statements and that report has been prepared in accordance with the National Health Service (Scotland) Act 1978 and directions made thereunder by the Scottish Ministers; and - the information given in the Governance Statement for the financial year for which the financial statements are prepared is consistent with the financial statements and that report has been prepared in accordance with the National Health Service (Scotland) Act 1978 and directions made thereunder by the Scottish Ministers. Matters on which I am required to report by exception I am required by the Auditor General for Scotland to report to you if, in my opinion: - adequate accounting records have not been kept; or - the financial statements and the audited parts of the Remuneration and Staff Report are not in agreement with the accounting records; or - I have not received all the information and explanations I require for my audit; or - there has been a failure to achieve a prescribed financial objective. I have nothing to report in respect of these matters. Conclusions on wider scope responsibilities In addition to my responsibilities for the annual report and accounts, my conclusions on the wider scope responsibilities specified in the Code of Audit Practice are set out in my Annual Audit Report."
Shetland-2023-2024,86,Note 1. —Accounting Policies,Corporate Governance Report,allow_list_reject(score=0.343),"Note 1—Accounting Policies Authority In accordance with the accounts direction issued by Scottish Ministers under section 19(4) of the Public Finance and Accountability (Scotland) Act 2000 appended, these accounts have been prepared in accordance with the FReM issued by HM Treasury, which follows IFRSs, IFRIC Interpretations and the Companies Act 2006 to the extent that they are meaningful and appropriate to the public sector. They have been applied consistently in dealing with items considered material in relation to the accounts. The preparation of accounts in conformity with IFRSs requires the use of certain critical accounting estimates. It also requires management to exercise its judgement in the process of applying the accounting policies. The areas involving a higher degree of judgement or complexity, or areas where assumptions and estimates are significant to the accounts are disclosed in section 28 below. Adoption of new and revised Standards - Standards, amendments and interpretations effective in the current year There are no new standards, amendments or interpretations effective in the year 2023-2024. However 23/24 FREM mandates reporting indexation linked payments in PPP liabilities in accordance with IFRS 16 from 2023–24. - Standards, amendments and interpretations early adopted this year There are no new standards, amendments or interpretations early adopted this year. - Standards, amendments and interpretations issued but not adopted this year The table below summarises recent standards, amendments and interpretations issued but not adopted in the 2023–24 financial year. Standard Current status IFRS 17 Insurance Contracts Effective for accounting periods beginning on or after 1 January 2023. However this Standard is not yet adopted by the FReM. Expected adoption by the FReM from April 2025. IFRS 17 will have no impact on NHS Shetland’s accounts as none of its liabilities involve or will involve a contractual transfer of risk"
Shetland-2023-2024,98,A financial asset may be held at fair value through other comprehensive income,Corporate Governance Report,allow_list_reject(score=0.324),"ii. the contractual terms of the financial asset give rise to cash flows that are solely payments of principal and related interest. c) Financial assets at fair value through other comprehensive income A financial asset may be held at fair value through other comprehensive income where both of the following conditions are met: i. the financial asset is held within a business model where the objective is to collect contractual cash flows and sell the asset; and ii. the contractual terms of the financial asset give rise to cash flows that are solely payments of principal and related interest. - Impairment of financial assets: Provisions for impairment of financial assets are made on the basis of expected credit losses. The Board recognises a loss allowance for expected credit losses on financial assets and this is recognised in other comprehensive income, rather than reducing the carrying amount of the asset in the Statement of Financial Position. Lifetime expected credit losses are recognised and applied to financial assets by the Board where there has been a significant increase in credit risk since the asset’s initial recognition. Where the Board does not hold reasonable and supportable information to measure lifetime expected credit losses on an individual instrument basis, the losses are recognised on a collective basis which considers comprehensive credit risk information. - Recognition and measurement: Financial assets are recognised when the Board becomes party to the contractual provisions of the financial instrument. Financial assets are derecognised when the rights to receive cash flows from the asset have expired or have been transferred and the Board has transferred substantially all risks and rewards of ownership. a) Financial assets at fair value through profit or loss. Financial assets carried at fair value through profit or loss are initially recognised at fair value, and transaction costs are expensed in the Statement of Comprehensive Net Expenditure. Financial assets carried at fair value through profit or loss are subsequently measured at fair value. Gains or losses arising from changes in the fair value are presented in the Statement of Comprehensive Net Expenditure. b) Financial assets held at amortised cost. Loans and receivables are recognised initially at fair value and subsequently measured at amortised cost using the effective interest method. This is calculated by applying the effective interest rate to the gross carrying amount of the asset."
Shetland-2023-2024,102,Note 2. —Notes to the Cash Flow Statement,Corporate Governance Report,allow_list_reject(score=0.440),"Note 2—Notes to the Cash Flow Statement - 2a. Summary of Resource Out-turn (SoRO) for the Year Ended 31 March 2024 - Summary of Core Revenue Resource Out-turn 2024 Summary of Core Revenue Resource Out-turn Note £000 Net expenditure SoCNE 84,577 Total non-core expenditure (see below) (2,813) Family Health Services non-discretionary allocation (2,077) Endowment net expenditure 23 Associates and joint ventures accounted for on an equity (292) basis Total core expenditure 79,418 Core RRL 79,418 Saving against Core RRL 0 - Summary of Non-Core Revenue Resource Out-turn 2024 Summary of Non-Core Revenue Resource Out-turn Note £000 Depreciation/amortisation 7a 2,484 Right of Use (RoU) Asset Depreciation 17a 719 AME—impairments 7a 6 AME—provisions 70 AME—depreciation of donated assets 34 Donated assets income (500) Total Non-Core Expenditure 2,813 Non-Core RRL 2,813 Saving against Non-Core RRL 0 The Notes to the Accounts, numbered 1 to 21, form an integral part of these Accounts."
