doc_id,query_id,question,expected_answer,answer_type,difficulty
Grampian-2020-2021,Q_2021_FIN_01,What resource budget ceiling was set for NHS Grampian's core ongoing activities in 2020/21?,"£1,278,771 (£000)",number,MOD
Grampian-2020-2021,Q_2021_FIN_02,How much did NHS Grampian actually spend against its core resource budget in 2020/21?,"£1,278,002 (£000)",number,MOD
Grampian-2020-2021,Q_2021_FIN_03,By how much did NHS Grampian's actual core expenditure differ from its revenue resource limit in 2020/21?,£769 (£000) surplus,number,MOD
Grampian-2020-2021,Q_2021_FIN_P1,"Did NHS Grampian overspend or underspend its Core Revenue Resource Limit in 2020/21, and by how much?","Underspend of £769,000",number,MOD
Grampian-2020-2021,Q_2021_FIN_04,What was the approved cash financing requirement for NHS Grampian in 2020/21?,"£1,298,124 (£000)",number,MOD
Grampian-2020-2021,Q_2021_FIN_05,What was the Total Revenue Resource Limit for 2020/21?,"£1,311,111 (£000)",number,LEX
Grampian-2020-2021,Q_2021_FIN_06,What was the Core Capital Resource Limit for 2020/21?,"£42,246 (£000)",number,LEX
Grampian-2020-2021,Q_2021_FIN_P2,How did NHS Grampian's total cash financing requirement compare to the limit set by the Scottish Government in 2020/21?,"NHS Grampian met the Cash Requirement exactly at £1,298,124 with no variance",text,STR
Grampian-2020-2021,Q_2021_CAP_P1,What was the combined capital funding allocation for core and non-core purposes in 2020/21?,"£43,316 (£000) total capital resource limit",number,MOD
Grampian-2020-2021,Q_2021_GOV_03,What was the Non-Core Revenue Resource Limit for 2020/21?,"£32,340 (£000)",number,LEX
Grampian-2020-2021,Q_2021_GOV_04,What were the total consolidated net assets of NHS Grampian group at 31 March 2021?,"£418,000 (£000)",number,LEX
Grampian-2021-2022,Q_2022_FIN_01,What ceiling did the Scottish Government place on NHS Grampian's core operational spending for 2021/22?,"£1,358,066 (£000)",number,STR
Grampian-2021-2022,Q_2022_FIN_02,How much did NHS Grampian actually spend against its core resource budget in 2021/22?,"£1,357,936 (£000)",number,MOD
Grampian-2021-2022,Q_2022_FIN_03,What was the variance surplus against the Core Revenue Resource Limit in 2021/22?,£130 (£000),number,LEX
