query_id,rank,score
Q_DEF_2023_01,1,
Q_REV_2023_01,1,
Q_DEF_2023_02,1,
Q_ACC_2023_01,1,
Q_ACC_2023_02,1,
Q_ACC_2023_03,1,
Q_ACC_2023_04,1,
Q_ACC_2023_05,1,
Q_ACC_2023_06,1,
Q_ACC_2023_07,1,
Q_ACC_2023_08,1,
Q_TABLE_2023_01,1,
Q_TABLE_2023_02,1,
Q_TABLE_2023_03,1,
Q_TABLE_2023_04,1,
Q_TABLE_2023_05,1,
Q_TABLE_2023_06,1,
Q_2024_FIN_01,1,
Q_2024_FIN_02,1,
Q_2024_FIN_03,1,
Q_2024_FIN_04,1,
Q_2024_FIN_P1,1,
Q_2024_FIN_05,1,
Q_2024_FIN_06,1,
Q_2024_FIN_07,1,
Q_2024_FIN_P2,1,
Q_2024_SAV_01,1,
Q_2024_SAV_02,1,
Q_2024_SAV_03,1,
Q_2024_SAV_P1,1,
Q_2024_IJB_01,1,
Q_2024_IJB_02,1,
Q_2024_IJB_03,1,
Q_2024_IJB_04,1,
Q_2024_IJB_P1,1,
Q_2024_DEL_01,1,
Q_2024_DEL_02,1,
Q_2024_DEL_03,1,
Q_2024_DEL_P1,1,
Q_2024_STR_01,1,
Q_2024_STR_P1,1,
Q_2024_AE_01,1,
Q_2024_AE_02,1,
Q_2024_AE_P1,1,
Q_2024_GOV_01,1,
Q_2024_GOV_02,1,
Q_2024_GOV_03,1,
Q_2024_GOV_P1,1,
Q_2024_ESC_01,1,
Q_2024_PLAN_01,1,
Q_2024_GOPES_01,1,
Q_2024_GOPES_P1,1,
Q_EFF_2024_01,1,
Q_EFF_2024_02,1,
Q_EFF_2024_03,1,
Q_DEF_2023_01,2,
Q_REV_2023_01,2,
Q_DEF_2023_02,2,
Q_ACC_2023_01,2,
Q_ACC_2023_02,2,
Q_ACC_2023_03,2,
Q_ACC_2023_04,2,
Q_ACC_2023_05,2,
Q_ACC_2023_06,2,
Q_ACC_2023_07,2,
Q_ACC_2023_08,2,
Q_TABLE_2023_01,2,
Q_TABLE_2023_02,2,
Q_TABLE_2023_03,2,
Q_TABLE_2023_04,2,
Q_TABLE_2023_05,2,
Q_TABLE_2023_06,2,
Q_2024_FIN_01,2,
Q_2024_FIN_02,2,
Q_2024_FIN_03,2,
Q_2024_FIN_04,2,
Q_2024_FIN_P1,2,
Q_2024_FIN_05,2,
Q_2024_FIN_06,2,
Q_2024_FIN_07,2,
Q_2024_FIN_P2,2,
Q_2024_SAV_01,2,
Q_2024_SAV_02,2,
Q_2024_SAV_03,2,
Q_2024_SAV_P1,2,
Q_2024_IJB_01,2,
Q_2024_IJB_02,2,
Q_2024_IJB_03,2,
Q_2024_IJB_04,2,
Q_2024_IJB_P1,2,
Q_2024_DEL_01,2,
Q_2024_DEL_02,2,
Q_2024_DEL_03,2,
Q_2024_DEL_P1,2,
Q_2024_STR_01,2,
Q_2024_STR_P1,2,
Q_2024_AE_01,2,
Q_2024_AE_02,2,
Q_2024_AE_P1,2,
Q_2024_GOV_01,2,
Q_2024_GOV_02,2,
Q_2024_GOV_03,2,
Q_2024_GOV_P1,2,
Q_2024_ESC_01,2,
Q_2024_PLAN_01,2,
Q_2024_GOPES_01,2,
Q_2024_GOPES_P1,2,
Q_EFF_2024_01,2,
Q_EFF_2024_02,2,
Q_EFF_2024_03,2,
