query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_pages,route_intent,route_confidence,gold_exists,gold_chunk_count,gold_pages_found,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_EFF_2024_01,EFF,2024,1,1,number,Grampian-2024-2025,PERFORMANCE REPORT,[12],table_metric_significant_delay,0.95,True,1,[12],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[13],['Grampian-2024-2025:p0013_000'],['Grampian-2024-2025']
Q_EFF_2024_01,EFF,2024,1,3,number,Grampian-2024-2025,PERFORMANCE REPORT,[12],table_metric_significant_delay,0.95,True,1,[12],hit,0,0.0,[],1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,"[13, 11, 12]","['Grampian-2024-2025:p0013_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:table_p0012']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_01,EFF,2024,1,5,number,Grampian-2024-2025,PERFORMANCE REPORT,[12],table_metric_significant_delay,0.95,True,1,[12],hit,0,0.0,[],1.0,0.2,0.3333333333333333,1.0,0.2,0.3333333333333333,"[13, 11, 12, 16, 15]","['Grampian-2024-2025:p0013_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:table_p0012', 'Grampian-2024-2025:p0016_001', 'Grampian-2024-2025:p0015_000']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_01,EFF,2024,1,10,number,Grampian-2024-2025,PERFORMANCE REPORT,[12],table_metric_significant_delay,0.95,True,1,[12],hit,0,0.0,[],1.0,0.1111111111111111,0.3333333333333333,1.0,0.1,0.3333333333333333,"[13, 11, 12, 16, 15, 20, 35, 14, 62]","['Grampian-2024-2025:p0013_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:table_p0012', 'Grampian-2024-2025:p0016_001', 'Grampian-2024-2025:p0015_000']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_02,EFF,2024,2,1,number,Grampian-2024-2025,PERFORMANCE REPORT,[12],table_metric_complete_ratio,0.9,True,1,[12],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[11],['Grampian-2024-2025:p0011_001'],['Grampian-2024-2025']
Q_EFF_2024_02,EFF,2024,2,3,number,Grampian-2024-2025,PERFORMANCE REPORT,[12],table_metric_complete_ratio,0.9,True,1,[12],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,"[11, 13, 126]","['Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0013_000', 'Grampian-2024-2025:p0126_001']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_02,EFF,2024,2,5,number,Grampian-2024-2025,PERFORMANCE REPORT,[12],table_metric_complete_ratio,0.9,True,1,[12],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,"[11, 13, 126, 15, 16]","['Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0013_000', 'Grampian-2024-2025:p0126_001', 'Grampian-2024-2025:p0015_000', 'Grampian-2024-2025:p0016_001']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_02,EFF,2024,2,10,number,Grampian-2024-2025,PERFORMANCE REPORT,[12],table_metric_complete_ratio,0.9,True,1,[12],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,"[11, 13, 126, 15, 16, 33, 31, 35]","['Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0013_000', 'Grampian-2024-2025:p0126_001', 'Grampian-2024-2025:p0015_000', 'Grampian-2024-2025:p0016_001']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_03,EFF,2024,3,1,number,Grampian-2024-2025,PERFORMANCE REPORT,[12],table_metric_on_track,0.95,True,1,[12],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[12],['Grampian-2024-2025:table_p0012'],['Grampian-2024-2025']
Q_EFF_2024_03,EFF,2024,3,3,number,Grampian-2024-2025,PERFORMANCE REPORT,[12],table_metric_on_track,0.95,True,1,[12],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,"[12, 11, 13]","['Grampian-2024-2025:table_p0012', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0013_000']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
