id,x,y,label,text,page,section,category,highlight
Shetland-2023-2024:p0002_000,-0.8635334,2.793526,Unknown,Table of Contents Annual Accounts and Notes for Year Ended 31 March 2024 ..................................... 1 Performance Overview Report ..............................................................................…,2,Unknown,Financial narrative,False
Shetland-2023-2024:p0002_001,-0.6125198,2.9020455,Unknown,Year Ended 31 March 2024 .......................................................................................... 75 Consolidated Statement of Financial Position as at 31 March 2024 ..................... 76 Consolidat…,2,Unknown,Financial narrative,False
Shetland-2023-2024:p0003_000,0.2781906,2.05004,Unknown,Note 5—Segmental Analysis .............................................................................. 105 Note 6—Intangible Assets .................................................................................. 10…,3,Unknown,Strategy / narrative,False
Shetland-2023-2024:p0004_000,7.566541,11.037185,PERFORMANCE OVERVIEW REPORT,Annual Accounts and Notes for Year Ended 31 March 2024 Performance Overview Report Section 1 - Chief Executive’s Statement It gives me great pleasure to compose the Chief Executive’s statement on the Annual Accounts for…,4,PERFORMANCE OVERVIEW REPORT,Financial narrative,False
Shetland-2023-2024:p0004_001,7.346921,11.255581,PERFORMANCE OVERVIEW REPORT,"Shetland I set out my Chief Executive Priorities, which are to focus on eight key areas: - Strategic Planning - Workforce - Valuing Staff - Culture - Sustainability - Quality and safe service provision - Technology and…",4,PERFORMANCE OVERVIEW REPORT,Clinical performance,False
Shetland-2023-2024:p0005_000,8.621587,11.676834,PERFORMANCE OVERVIEW REPORT,"of these strategies help with sustaining our system over the next five to ten years. Despite challenges, NHS Shetland managed to sustain good performance when benchmarked across NHS Scotland. Data from the hospital cont…",5,PERFORMANCE OVERVIEW REPORT,Clinical performance,False
Shetland-2023-2024:p0005_001,8.823818,11.619117,PERFORMANCE OVERVIEW REPORT,"for example against the 31-day cancer target. Access to diagnostics has again remained above the national target, with more than 90% of people meeting the six-week target for eight key diagnostic tests. This is a really…",5,PERFORMANCE OVERVIEW REPORT,Clinical performance,False
Shetland-2023-2024:p0005_002,7.7335925,10.941079,PERFORMANCE OVERVIEW REPORT,service stronger still and give better outcomes for our patients. Our organisation has refocused on recruitment and retention and in particular the “grow your own” ethos across all roles. We have linked up strategically…,5,PERFORMANCE OVERVIEW REPORT,Clinical performance,False
Shetland-2023-2024:p0005_003,7.7989197,10.956808,PERFORMANCE OVERVIEW REPORT,"have heard about the challenges regarding accommodation and childcare. I have also tried to be a better communicator, for example with the Chief Executive Monthly Organisational Brief meetings for all staff, to ensure e…",5,PERFORMANCE OVERVIEW REPORT,Clinical performance,False
Shetland-2023-2024:p0006_000,8.030831,11.003187,PERFORMANCE OVERVIEW REPORT,"by the successful completion by two cohorts of the Leading Empowered Organisations course, as well as good representation on some of the national leadership development pathways. We have been successful in our applicati…",6,PERFORMANCE OVERVIEW REPORT,Clinical performance,False
Shetland-2023-2024:p0006_001,7.8145103,11.068147,PERFORMANCE OVERVIEW REPORT,"years. On a more positive note, we remain on track to deliver a functioning MRI (magnetic resonance imaging) scanner by the end of summer 2024. As we look ahead to 2024–25, we will continue to deliver against our key st…",6,PERFORMANCE OVERVIEW REPORT,Clinical performance,False
Shetland-2023-2024:p0007_000,7.5089746,11.4293995,SECTION 2 - OVERVIEW,"This overview will give the reader a summary of what an NHS Board does. It will also describe the nature of NHS Shetland, our purpose, the key risks to the achievement of our objectives , and our performance during 2023…",7,SECTION 2 - OVERVIEW,Governance,False
Shetland-2023-2024:p0007_001,7.6772943,11.4907055,SECTION 2 - OVERVIEW,improving and protecting the health of the local people; - providing an improved health service for local people; - focusing clearly on health outcomes and people’s experience of their local NHS system; - promoting inte…,7,SECTION 2 - OVERVIEW,Strategy / narrative,False
Shetland-2023-2024:p0008_000,7.443291,11.396627,FIGURE 1—MAP OF SHETLAND,"Figure 2 below outlines a summary of NHS Shetland’s organisational structure. The detailed organisational management structure for NHS Shetland is available on our website, along with the organisational governance struc…",8,FIGURE 1—MAP OF SHETLAND,Governance,False
