query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_subsection,expected_pages,evidence_layout,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_DEF_2023_01,DEF,2023,1,1,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),B PERFORMANCE ANALYSIS,[21],table,missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[22],['Grampian-2022-2023:p0022_004'],['Grampian-2022-2023']
Q_DEF_2023_01,DEF,2023,1,3,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),B PERFORMANCE ANALYSIS,[21],table,hit,0,0.0,[],1.0,0.5,0.5,1.0,0.6666666666666666,0.5,"[22, 21]","['Grampian-2022-2023:p0022_004', 'Grampian-2022-2023:p0021_007', 'Grampian-2022-2023:p0021_004']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_01,DEF,2023,1,5,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),B PERFORMANCE ANALYSIS,[21],table,hit,0,0.0,[],1.0,0.5,0.5,1.0,0.4,0.5,"[22, 21]","['Grampian-2022-2023:p0022_004', 'Grampian-2022-2023:p0021_007', 'Grampian-2022-2023:p0021_004', 'Grampian-2022-2023:p0022_001', 'Grampian-2022-2023:p0022_002']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_01,DEF,2023,1,10,number,Grampian-2022-2023,3.1.2.2 Aberdeenshire Integration Joint Board (IJB),B PERFORMANCE ANALYSIS,[21],table,hit,0,0.0,[],1.0,0.14285714285714285,0.5,1.0,0.2,0.5,"[22, 21, 148, 26, 70, 71, 35]","['Grampian-2022-2023:p0022_004', 'Grampian-2022-2023:p0021_007', 'Grampian-2022-2023:p0021_004', 'Grampian-2022-2023:p0022_001', 'Grampian-2022-2023:p0022_002']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_REV_2023_01,REV,2023,1,1,number,Grampian-2022-2023,"Performance Report, Performance Analysis",B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2022-2023:p0028_000'],['Grampian-2022-2023']
Q_REV_2023_01,REV,2023,1,3,number,Grampian-2022-2023,"Performance Report, Performance Analysis",B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,"[28, 132, 29]","['Grampian-2022-2023:p0028_000', 'Grampian-2022-2023:p0132_000', 'Grampian-2022-2023:p0029_001']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_REV_2023_01,REV,2023,1,5,number,Grampian-2022-2023,"Performance Report, Performance Analysis",B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,"[28, 132, 29, 100, 148]","['Grampian-2022-2023:p0028_000', 'Grampian-2022-2023:p0132_000', 'Grampian-2022-2023:p0029_001', 'Grampian-2022-2023:p0100_000', 'Grampian-2022-2023:p0148_003']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_REV_2023_01,REV,2023,1,10,number,Grampian-2022-2023,"Performance Report, Performance Analysis",B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,0.1,1.0,1.0,0.1,1.0,"[28, 132, 29, 100, 148, 61, 25, 24, 3, 78]","['Grampian-2022-2023:p0028_000', 'Grampian-2022-2023:p0132_000', 'Grampian-2022-2023:p0029_001', 'Grampian-2022-2023:p0100_000', 'Grampian-2022-2023:p0148_003']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_02,DEF,2023,2,1,text,Grampian-2022-2023,"Independent auditor’s report, Risks of material misstatement",C PARLIAMENTARY ACCOUNTABILITY REPORT,[82],table,missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[84],['Grampian-2022-2023:p0084_000'],['Grampian-2022-2023']
Q_DEF_2023_02,DEF,2023,2,3,text,Grampian-2022-2023,"Independent auditor’s report, Risks of material misstatement",C PARLIAMENTARY ACCOUNTABILITY REPORT,[82],table,hit,0,0.0,[],1.0,0.5,0.5,1.0,0.3333333333333333,0.5,"[84, 82]","['Grampian-2022-2023:p0084_000', 'Grampian-2022-2023:p0082_000', 'Grampian-2022-2023:p0084_001']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_02,DEF,2023,2,5,text,Grampian-2022-2023,"Independent auditor’s report, Risks of material misstatement",C PARLIAMENTARY ACCOUNTABILITY REPORT,[82],table,hit,0,0.0,[],1.0,0.25,0.5,1.0,0.2,0.5,"[84, 82, 55, 38]","['Grampian-2022-2023:p0084_000', 'Grampian-2022-2023:p0082_000', 'Grampian-2022-2023:p0084_001', 'Grampian-2022-2023:p0055_002', 'Grampian-2022-2023:p0038_002']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_DEF_2023_02,DEF,2023,2,10,text,Grampian-2022-2023,"Independent auditor’s report, Risks of material misstatement",C PARLIAMENTARY ACCOUNTABILITY REPORT,[82],table,hit,0,0.0,[],1.0,0.16666666666666666,0.5,1.0,0.2,0.5,"[84, 82, 55, 38, 83, 81]","['Grampian-2022-2023:p0084_000', 'Grampian-2022-2023:p0082_000', 'Grampian-2022-2023:p0084_001', 'Grampian-2022-2023:p0055_002', 'Grampian-2022-2023:p0038_002']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
Q_ACC_2023_01,ACC,2023,1,1,text,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,B REMUNERATION AND STAFF REPORT,[73],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[73],['Grampian-2022-2023:p0073_000'],['Grampian-2022-2023']
Q_ACC_2023_01,ACC,2023,1,3,text,Grampian-2022-2023,ACCOUNTABILITY REPORT | B REMUNERATION AND STAFF REPORT,B REMUNERATION AND STAFF REPORT,[73],table,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,"[73, 76, 6]","['Grampian-2022-2023:p0073_000', 'Grampian-2022-2023:p0076_002', 'Grampian-2022-2023:p0006_002']","['Grampian-2022-2023', 'Grampian-2022-2023', 'Grampian-2022-2023']"
