query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_pages,route_intent,route_confidence,gold_exists,gold_chunk_count,gold_pages_found,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_2024_FIN_01,FIN,2024,1,1,number,Grampian-2023-2024,PERFORMANCE REPORT,[27],unknown,0.5,True,3,[27],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[27],['Grampian-2023-2024:p0027_000'],['Grampian-2023-2024']
Q_2024_FIN_01,FIN,2024,1,3,number,Grampian-2023-2024,PERFORMANCE REPORT,[27],unknown,0.5,True,3,[27],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,"[27, 26, 118]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0118_000']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_01,FIN,2024,1,5,number,Grampian-2023-2024,PERFORMANCE REPORT,[27],unknown,0.5,True,3,[27],hit,0,0.0,[],1.0,0.25,1.0,1.0,0.2,1.0,"[27, 26, 118, 25]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0118_000', 'Grampian-2023-2024:p0118_002', 'Grampian-2023-2024:p0025_003']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_01,FIN,2024,1,10,number,Grampian-2023-2024,PERFORMANCE REPORT,[27],unknown,0.5,True,3,[27],hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,"[27, 26, 118, 25, 31]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0118_000', 'Grampian-2023-2024:p0118_002', 'Grampian-2023-2024:p0025_003']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_02,FIN,2024,2,1,number,Grampian-2023-2024,PERFORMANCE REPORT,[27],unknown,0.5,True,3,[27],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[27],['Grampian-2023-2024:p0027_000'],['Grampian-2023-2024']
Q_2024_FIN_02,FIN,2024,2,3,number,Grampian-2023-2024,PERFORMANCE REPORT,[27],unknown,0.5,True,3,[27],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[27, 26]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0027_001']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_02,FIN,2024,2,5,number,Grampian-2023-2024,PERFORMANCE REPORT,[27],unknown,0.5,True,3,[27],hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,"[27, 26, 118, 31]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0118_000', 'Grampian-2023-2024:p0031_001']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_02,FIN,2024,2,10,number,Grampian-2023-2024,PERFORMANCE REPORT,[27],unknown,0.5,True,3,[27],hit,0,0.0,[],1.0,0.16666666666666666,1.0,1.0,0.2,1.0,"[27, 26, 118, 31, 25, 24]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0118_000', 'Grampian-2023-2024:p0031_001']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_03,FIN,2024,3,1,number,Grampian-2023-2024,PERFORMANCE REPORT,[27],unknown,0.5,True,3,[27],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[27],['Grampian-2023-2024:p0027_001'],['Grampian-2023-2024']
Q_2024_FIN_03,FIN,2024,3,3,number,Grampian-2023-2024,PERFORMANCE REPORT,[27],unknown,0.5,True,3,[27],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[27, 132]","['Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0132_002']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
