arm,query_id,doc_id,difficulty,gold_pages,predicted_pages_top3,hit3,strict_correct,quote_support,failure_mode,extracted_answer,cited_pages,cited_spans,context_chars_used,latency_ms,table_query,financial_table_query,violations
two_stage,Q_2021_FIN_01,Grampian-2020-2021,MOD,[28],"[28, 29]",1,1,1,strict_correct,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4362,4933.779,1,0,
two_stage,Q_2021_FIN_02,Grampian-2020-2021,MOD,[28],"[28, 29]",1,0,0,did_not_identify_gold,,[],[],4362,4114.31,1,0,answer_not_in_context
two_stage,Q_2021_FIN_03,Grampian-2020-2021,MOD,[28],"[28, 89]",1,1,1,strict_correct,769,[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4304,4358.231,1,0,
two_stage,Q_2021_FIN_P1,Grampian-2020-2021,MOD,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5732.184,1,0,parse_or_generation_error
two_stage,Q_2021_FIN_04,Grampian-2020-2021,MOD,[28],"[28, 34]",1,1,1,strict_correct,"1,298,124",[28],"[""Cash Requirement 1,298,124 1,298,124 -""]",4300,4056.981,1,0,
two_stage,Q_2021_FIN_05,Grampian-2020-2021,LEX,[28],"[28, 89]",1,0,0,did_not_identify_gold,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4304,4007.235,1,0,
two_stage,Q_2021_FIN_06,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"42,246",[28],"[""Core Capital Resource Limit 42,246 42,246 -""]",4304,3779.002,1,0,
two_stage,Q_2021_FIN_P2,Grampian-2020-2021,STR,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5468.171,1,0,parse_or_generation_error
two_stage,Q_2021_CAP_P1,Grampian-2020-2021,MOD,[28],"[28, 29]",1,1,1,strict_correct,"43,316",[28],"[""Core Capital Resource Limit 42,246 42,246 - Non-Core Capital Resource Limit 1,070 1,070 - Total 43,316 43,316 -""]",4362,4728.875,1,0,
two_stage,Q_2021_GOV_03,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"32,340",[28],"[""Non-Core Revenue Resource Limit 32,340 32,340 -""]",4304,3834.028,1,0,
