arm,query_id,doc_id,difficulty,gold_pages,predicted_pages_top3,hit3,strict_correct,quote_support,failure_mode,extracted_answer,cited_pages,cited_spans,context_chars_used,latency_ms,table_query,financial_table_query,violations
baseline,Q_2021_FIN_01,Grampian-2020-2021,MOD,[28],"[28, 29]",1,1,1,strict_correct,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4362,6978.619,1,0,
baseline,Q_2021_FIN_02,Grampian-2020-2021,MOD,[28],"[28, 29]",1,1,1,strict_correct,"1,278,002",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4362,3858.781,1,0,
baseline,Q_2021_FIN_03,Grampian-2020-2021,MOD,[28],"[28, 89]",1,1,1,strict_correct,769,[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4304,3609.912,1,0,
baseline,Q_2021_FIN_P1,Grampian-2020-2021,MOD,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5096.841,1,0,parse_or_generation_error
baseline,Q_2021_FIN_04,Grampian-2020-2021,MOD,[28],"[28, 34]",1,1,1,strict_correct,"1,298,124",[28],"[""Cash Requirement 1,298,124 1,298,124 -""]",4300,3694.32,1,0,
baseline,Q_2021_FIN_05,Grampian-2020-2021,LEX,[28],"[24, 28]",1,0,0,did_not_identify_gold,"1,278,771",[28],"[""Core Revenue Resource Limit 1,278,771 1,278,002 769""]",4188,3914.373,1,0,
baseline,Q_2021_FIN_06,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"42,246",[28],"[""Core Capital Resource Limit 42,246 42,246 -""]",4304,3583.503,1,0,
baseline,Q_2021_FIN_P2,Grampian-2020-2021,STR,[28],"[28, 89]",1,0,0,did_not_identify_gold,,[],[],4304,5377.254,1,0,parse_or_generation_error
baseline,Q_2021_CAP_P1,Grampian-2020-2021,MOD,[28],"[28, 29]",1,1,1,strict_correct,"43,316",[28],"[""Core Capital Resource Limit 42,246 42,246 - Non-Core Capital Resource Limit 1,070 1,070 - Total 43,316 43,316 -""]",4362,4547.793,1,0,
baseline,Q_2021_GOV_03,Grampian-2020-2021,LEX,[28],"[28, 89]",1,1,1,strict_correct,"32,340",[28],"[""Non-Core Revenue Resource Limit 32,340 32,340 -""]",4304,4013.115,1,0,
baseline,Q_2021_GOV_04,Grampian-2020-2021,LEX,[23],"[23, 88, 114]",1,0,0,did_not_identify_gold,£45.441 million,[23],"[""The Charity had net assets of \u00a345.441 million at 31 March 2021 (\u00a336.767 million at 31 March 2020).""]",3877,4692.481,1,0,
baseline,Q_2022_FIN_01,Grampian-2021-2022,STR,[21],"[12, 21, 22]",1,0,0,did_not_identify_gold,,[],[],4254,3229.659,1,0,
baseline,Q_2022_FIN_02,Grampian-2021-2022,MOD,[21],"[21, 22]",1,1,1,strict_correct,"1,357,936",[21],"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",4302,4292.957,1,0,
baseline,Q_2022_FIN_03,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,130,[21],"[""Core Revenue Resource Variance Surplus in 2021/22 130""]",4302,3990.475,1,0,
baseline,Q_2022_FIN_04,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"1,434,610",[21],"[""Cash Requirement 1,434,610 1,434,610 -""]",4302,4106.201,1,0,
baseline,Q_2022_FIN_05,Grampian-2021-2022,LEX,[21],"[21, 22]",1,0,0,did_not_identify_gold,"1,358,066",[21],"[""Core Revenue Resource Limit 1,358,066 1,357,936 130""]",4302,4310.802,1,0,
baseline,Q_2022_FIN_06,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"64,166",[21],"[""Core Capital Resource Limit 64,166 64,166 -""]",4302,4059.145,1,0,
baseline,Q_2022_GOV_02,Grampian-2021-2022,LEX,[21],"[21, 22]",1,1,1,strict_correct,"28,485",[21],"[""Non-Core Revenue Resource Limit 28,485 28,485 -""]",4302,4042.466,1,0,
baseline,Q_2022_STR_03,Grampian-2021-2022,STR,[16],"[16, 29, 135]",1,1,1,strict_correct,28.4%,[16],"[""Aberdeen City 28.4% 23.1%""]",4120,3470.823,1,0,
baseline,Q_2022_GOV_03,Grampian-2021-2022,LEX,[17],"[17, 96, 122]",1,0,0,did_not_identify_gold,49.308 million,[17],"[""The Charity had net assets of \u00a349.308 million at 31 March 2022 (\u00a345.921 million * restated at 31 March 2021).""]",3762,4665.547,1,0,
baseline,Q_2023_FIN_01,Grampian-2022-2023,MOD,[23],"[23, 24]",1,1,1,strict_correct,"1,292,491",[23],"[""Core Revenue Resource Limit 1,292,491 1,291,879 612""]",3661,3693.176,1,0,
