arm,doc_id,query_id,difficulty,answer_type,generation_status,generation_model,latency_ms,prompt_chars,context_chunks_used,context_chars_used,context_truncated,citations_parsed,citations_valid,citations_rejected,parse_mode,quote_present,answer_correct,answer_status,generated_answer_empty
baseline,Grampian-2020-2021,Q_2021_FIN_02,MOD,number,insufficient_evidence,qwen2.5:7b-instruct,4085.025,7712,5,7107,False,0,0,0,json,False,False,incorrect,True
baseline,Grampian-2020-2021,Q_2021_FIN_P2,STR,text,ok,qwen2.5:7b-instruct,5715.343,7733,5,7094,False,1,1,0,json,False,False,partial,False
baseline,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,5931.792,6232,5,5633,False,1,1,0,json,False,True,correct,False
baseline,Grampian-2021-2022,Q_2022_FIN_04,LEX,number,ok,qwen2.5:7b-instruct,4948.8,7115,5,6531,False,1,1,0,json,False,False,partial,False
baseline,Grampian-2021-2022,Q_2022_IJB_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,7739.808,9219,5,8583,False,0,0,0,json,False,False,incorrect,True
baseline,Grampian-2021-2022,Q_2022_SAV_03,MOD,number,ok,qwen2.5:7b-instruct,6036.674,7545,5,6957,False,1,1,0,json,False,True,correct,False
baseline,Grampian-2022-2023,Q_2023_DEL_01,MOD,number,ok,qwen2.5:7b-instruct,4039.919,5724,5,5082,False,1,1,0,json,False,False,partial,False
baseline,Grampian-2022-2023,Q_2023_DEL_02,LEX,number,ok,qwen2.5:7b-instruct,4363.73,5719,5,5099,False,1,1,0,json,False,True,correct,False
baseline,Grampian-2022-2023,Q_2023_PLAN_02,STR,text,insufficient_evidence,qwen2.5:7b-instruct,3816.499,6935,5,6350,False,0,0,0,json,False,False,incorrect,True
baseline,Grampian-2023-2024,Q_2024_AE_04,MOD,number,ok,qwen2.5:7b-instruct,5216.039,5721,5,5100,False,1,1,0,json,False,True,correct,False
baseline,Grampian-2023-2024,Q_2024_IJB_08,STR,number,ok,qwen2.5:7b-instruct,5871.08,4522,5,3916,False,1,1,0,json,False,True,correct,False
baseline,Grampian-2023-2024,Q_2024_SAV_01,LEX,number,ok,qwen2.5:7b-instruct,5575.599,7727,5,7128,False,1,1,0,json,False,True,correct,False
baseline,Grampian-2024-2025,Q_2025_FIN_01,STR,number,insufficient_evidence,qwen2.5:7b-instruct,3886.898,6897,5,6274,False,0,0,0,json,False,False,incorrect,True
baseline,Grampian-2024-2025,Q_2025_FIN_07,LEX,number,insufficient_evidence,qwen2.5:7b-instruct,3709.738,6750,5,6150,False,0,0,0,json,False,False,incorrect,True
