doc_id,year,section_title,total_pages_in_section,unknown_subsection_pages,unknown_subsection_rate
Grampian-2004-2005,2004-2005,10. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2004-2005,2004-2005,27(C) RESTATED BALANCE SHEET AT 1 APRIL 2004,1,1,1.0
Grampian-2004-2005,2004-2005,27(D) RESTATED CASHFLOW STATEMENT AT 1 APRIL 2004,1,1,1.0
Grampian-2004-2005,2004-2005,ACCOUNTING POLICIES,1,1,1.0
Grampian-2004-2005,2004-2005,ASSETS UNDER,1,1,1.0
Grampian-2004-2005,2004-2005,BALANCE SHEET AS AT 31 MARCH 2005,1,1,1.0
Grampian-2004-2005,2004-2005,BY PROVIDER,1,1,1.0
Grampian-2004-2005,2004-2005,CAPITAL COMMITMENTS,1,1,1.0
Grampian-2004-2005,2004-2005,CASH EQUIVALENT,3,3,1.0
Grampian-2004-2005,2004-2005,CLINICAL SERVICES COSTS,2,2,1.0
Grampian-2004-2005,2004-2005,DIRECTORS’ REPORT,2,2,1.0
Grampian-2004-2005,2004-2005,EXPENDITURE NOT PAID IN CASH,1,1,1.0
Grampian-2004-2005,2004-2005,FUTURE COMMITMENTS,1,1,1.0
Grampian-2004-2005,2004-2005,HCH INCOME,1,1,1.0
Grampian-2004-2005,2004-2005,HEALTH BOARDS & COMMON SERVICES AGENCY,1,1,1.0
Grampian-2004-2005,2004-2005,HUMAN RESOURCES,1,1,1.0
Grampian-2004-2005,2004-2005,INTANGIBLE ASSETS,1,1,1.0
Grampian-2004-2005,2004-2005,LIQUID RESOURCES,1,1,1.0
Grampian-2004-2005,2004-2005,MR ALEXANDER SMITH,1,1,1.0
Grampian-2004-2005,2004-2005,NON EXECUTIVE,1,1,1.0
Grampian-2004-2005,2004-2005,PENSION PROVISION,1,1,1.0
Grampian-2004-2005,2004-2005,REVALUATION RESERVE,1,1,1.0
Grampian-2004-2005,2004-2005,SALARIES & WAGES,1,1,1.0
Grampian-2004-2005,2004-2005,STAFF GOVERNANCE COMMITTEE,1,1,1.0
Grampian-2004-2005,2004-2005,STATEMENT ON INTERNAL CONTROL,2,1,0.5
Grampian-2004-2005,2004-2005,INDEPENDENT AUDITOR'S REPORT,3,1,0.3333333333333333
Grampian-2004-2005,2004-2005,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,1,0,0.0
Grampian-2005-2006,2005-2006,10. ANALYSIS OF CAPITAL EXPENDITURE,1,1,1.0
Grampian-2005-2006,2005-2006,ACCOUNTING POLICIES,1,1,1.0
Grampian-2005-2006,2005-2006,ASSESSMENT OF PERFORMANCE,1,1,1.0
Grampian-2005-2006,2005-2006,BALANCE SHEET AS AT 31 MARCH 2006,1,1,1.0
Grampian-2005-2006,2005-2006,CLINICAL ETHICS COMMITTEE,1,1,1.0
