query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_pages,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_2024_FIN_01,FIN,2024,1,1,number,,,[27],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[27],['Grampian-2023-2024:p0027_000'],['Grampian-2023-2024']
Q_2024_FIN_01,FIN,2024,1,3,number,,,[27],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.3333333333333333,1.0,"[27, 26]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0026_000']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_01,FIN,2024,1,5,number,,,[27],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.4,1.0,"[27, 26, 129]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0026_000', 'Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:table_p0129']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_01,FIN,2024,1,10,number,,,[27],hit,0,0.0,[],1.0,0.125,1.0,1.0,0.2,1.0,"[27, 26, 129, 147, 99, 28, 70, 25]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0026_000', 'Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:table_p0129']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_02,FIN,2024,2,1,number,,,[27],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[26],['Grampian-2023-2024:p0026_001'],['Grampian-2023-2024']
Q_2024_FIN_02,FIN,2024,2,3,number,,,[27],hit,0,0.0,[],1.0,0.5,0.5,1.0,0.3333333333333333,0.5,"[26, 27]","['Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_000']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_02,FIN,2024,2,5,number,,,[27],hit,0,0.0,[],1.0,0.3333333333333333,0.5,1.0,0.4,0.5,"[26, 27, 99]","['Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_000', 'Grampian-2023-2024:p0099_002', 'Grampian-2023-2024:p0027_001']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_02,FIN,2024,2,10,number,,,[27],hit,0,0.0,[],1.0,0.14285714285714285,0.5,1.0,0.2,0.5,"[26, 27, 99, 147, 129, 70, 28]","['Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_000', 'Grampian-2023-2024:p0099_002', 'Grampian-2023-2024:p0027_001']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_03,FIN,2024,3,1,number,,,[27],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[27],['Grampian-2023-2024:p0027_001'],['Grampian-2023-2024']
Q_2024_FIN_03,FIN,2024,3,3,number,,,[27],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[27, 4]","['Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0004_000']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_03,FIN,2024,3,5,number,,,[27],hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,"[27, 4, 70, 53]","['Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0004_000', 'Grampian-2023-2024:p0070_000', 'Grampian-2023-2024:p0053_001']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_03,FIN,2024,3,10,number,,,[27],hit,0,0.0,[],1.0,0.1111111111111111,1.0,1.0,0.2,1.0,"[27, 4, 70, 53, 31, 24, 28, 33, 8]","['Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0004_000', 'Grampian-2023-2024:p0070_000', 'Grampian-2023-2024:p0053_001']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_04,FIN,2024,4,1,number,,,[27],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[27],['Grampian-2023-2024:p0027_000'],['Grampian-2023-2024']
Q_2024_FIN_04,FIN,2024,4,3,number,,,[27],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[27, 26]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0026_001']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_04,FIN,2024,4,5,number,,,[27],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.4,1.0,"[27, 26, 129]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0026_000', 'Grampian-2023-2024:table_p0129']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_04,FIN,2024,4,10,number,,,[27],hit,0,0.0,[],1.0,0.14285714285714285,1.0,1.0,0.2,1.0,"[27, 26, 129, 99, 24, 28, 147]","['Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0026_000', 'Grampian-2023-2024:table_p0129']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_P1,FIN,2024,P1,1,number,,,[27],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[27],['Grampian-2023-2024:p0027_001'],['Grampian-2023-2024']
Q_2024_FIN_P1,FIN,2024,P1,3,number,,,[27],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[27, 26]","['Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0027_000']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_P1,FIN,2024,P1,5,number,,,[27],hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.4,1.0,"[27, 26, 28]","['Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_000', 'Grampian-2023-2024:p0028_000']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_P1,FIN,2024,P1,10,number,,,[27],hit,0,0.0,[],1.0,0.125,1.0,1.0,0.2,1.0,"[27, 26, 28, 129, 99, 70, 24, 4]","['Grampian-2023-2024:p0027_001', 'Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0027_000', 'Grampian-2023-2024:p0026_000', 'Grampian-2023-2024:p0028_000']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
Q_2024_FIN_05,FIN,2024,5,1,number,,,[26],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[26],['Grampian-2023-2024:p0026_001'],['Grampian-2023-2024']
Q_2024_FIN_05,FIN,2024,5,3,number,,,[26],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[26, 27]","['Grampian-2023-2024:p0026_001', 'Grampian-2023-2024:p0026_000', 'Grampian-2023-2024:p0027_000']","['Grampian-2023-2024', 'Grampian-2023-2024', 'Grampian-2023-2024']"
